Type,Date,Count
Common in Multiple Stations,08-15-2016,3
Common in Multiple Stations,09-10-2018,3
Common in Multiple Stations,08-16-2016,3
Common in Multiple Stations,10-27-2015,2
Common in Multiple Stations,10-26-2015,2
Common in Multiple Stations,09-09-2018,2
Common in Multiple Stations,10-29-2015,2
Common in Multiple Stations,10-31-2015,2
Common in Multiple Stations,08-18-2016,2
Common in Multiple Stations,10-02-2017,2
Common in Multiple Stations,08-17-2016,2
Common in Multiple Stations,10-28-2015,2
Common in Multiple Stations,10-01-2017,2
Common in Multiple Stations,10-30-2015,2
