Date,Ppt,Tair,RH,Wind speed,Wind direction,Srad
2015-01-01 00:00:00,0.0,-2.493,98.8,0.072,340.0,0.23
2015-01-01 01:00:00,0.0,-2.295,98.5,0.07,7.49,0.12
2015-01-01 02:00:00,0.0,-2.046,98.7,0.011,326.7,0.17
2015-01-01 03:00:00,0.0,-1.58,95.9,0.048,30.51,0.11
2015-01-01 04:00:00,0.0,-1.432,98.0,0.045,324.4,0.19
2015-01-01 05:00:00,0.0,-1.677,99.5,0.36,29.43,0.08
2015-01-01 06:00:00,0.0,-1.815,99.6,0.175,31.84,0.0
2015-01-01 07:00:00,0.0,-1.73,99.2,0.069,41.88,0.0
2015-01-01 08:00:00,0.0,-1.615,99.8,0.033,38.16,2.05
2015-01-01 09:00:00,0.0,-1.318,100.0,0.076,43.33,17.27
2015-01-01 10:00:00,0.0,-1.07,100.0,0.276,28.38,29.73
2015-01-01 11:00:00,0.0,-0.577,100.0,0.161,34.43,69.44
2015-01-01 12:00:00,0.508,0.012,100.0,0.117,356.3,91.5
2015-01-01 13:00:00,0.254,0.023,100.0,0.228,331.4,71.44
2015-01-01 14:00:00,0.254,0.18,100.0,0.305,33.17,77.23
2015-01-01 15:00:00,0.0,0.497,100.0,0.099,32.74,54.19
2015-01-01 16:00:00,0.0,0.538,100.0,0.25,26.18,35.67
2015-01-01 17:00:00,0.0,0.585,100.0,0.455,0.19,14.39
2015-01-01 18:00:00,0.0,0.488,100.0,0.629,6.99,1.85
2015-01-01 19:00:00,0.0,0.533,100.0,0.4,30.85,0.0
2015-01-01 20:00:00,0.254,0.712,100.0,0.548,16.68,0.0
2015-01-01 21:00:00,0.0,0.762,100.0,0.666,357.8,0.0
2015-01-01 22:00:00,0.254,0.742,100.0,0.589,12.12,0.0
2015-01-01 23:00:00,0.0,0.727,100.0,0.462,27.7,0.0
2015-01-02 00:00:00,0.0,0.54,100.0,0.537,350.5,0.0
2015-01-02 01:00:00,0.0,0.205,100.0,0.835,328.6,0.0
2015-01-02 02:00:00,0.0,0.248,100.0,0.244,348.2,0.0
2015-01-02 03:00:00,0.0,0.371,100.0,0.222,18.93,0.01
