Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,24,6,1,0.05526500940322876,0.06417863070964813
Baseline,SWC_5,24,6,2,0.05526500940322876,0.06417866796255112
Baseline,SWC_5,24,6,3,0.05526499077677727,0.06417866796255112
Baseline,SWC_5,24,6,4,0.055264975875616074,0.06417866796255112
Baseline,SWC_5,24,6,5,0.05526503920555115,0.06417863816022873
Baseline,SWC_5,24,6,6,0.05526502802968025,0.06417866051197052
Baseline,SWC_5,24,6,7,0.05526508763432503,0.06417861580848694
Baseline,SWC_5,24,6,8,0.055265069007873535,0.06417866796255112
Baseline,SWC_5,24,6,9,0.05526503920555115,0.06417863816022873
Baseline,SWC_5,24,6,10,0.05526500940322876,0.06417866796255112
Multi-step Linear,SWC_5,24,6,1,0.25727084279060364,0.05785069242119789
Multi-step Linear,SWC_5,24,6,2,0.03591178357601166,0.03318279609084129
Multi-step Linear,SWC_5,24,6,3,0.029260626062750816,0.0324789434671402
Multi-step Linear,SWC_5,24,6,4,0.02902177907526493,0.0324707068502903
Multi-step Linear,SWC_5,24,6,5,0.029076676815748215,0.03246435150504112
Multi-step Linear,SWC_5,24,6,6,0.029049407690763474,0.03252021223306656
Multi-step Linear,SWC_5,24,6,7,0.02906678058207035,0.03260721266269684
Multi-step Linear,SWC_5,24,6,8,0.029050344601273537,0.03249209001660347
Multi-step Linear,SWC_5,24,6,9,0.029087558388710022,0.03263991326093674
Multi-step Linear,SWC_5,24,6,10,0.029084935784339905,0.032520193606615067
