Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_5,24,6,Baseline,0.11457698047161102,0.07881104201078415,81.67558288574219
1,SWC_5,24,6,Multi-step Linear,0.059362053871154785,0.04122089967131615,34.6966667175293
1,SWC_5,24,6,Multi-step Dense,0.07180524617433548,0.039527639746665955,56.15393829345703
1,SWC_5,24,6,CNN,0.07002260535955429,0.03865155950188637,55.43696975708008
1,SWC_5,24,6,RNN,0.07119255512952805,0.03761274740099907,54.548484802246094
1,SWC_5,24,6,LSTM,0.07243262976408005,0.039482053369283676,68.34846496582031
1,SWC_5,24,6,Autoregressive,0.14906466007232666,0.09407095611095428,84.0048599243164
1,SWC_5,24,6,Bi-LSTM,0.08564892411231995,0.04384108632802963,61.3350830078125
1,SWC_5,24,6,LSTM_Attention,0.1069483757019043,0.057319603860378265,83.85099792480469
1,SWC_5,24,6,BiLSTM_Attention,0.08701598644256592,0.04936838150024414,65.35997772216797
