Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,24,6,1,0.03696373477578163,0.03514985367655754
Baseline,SWC_5,24,6,2,0.03696374595165253,0.035149890929460526
Baseline,SWC_5,24,6,3,0.03696371242403984,0.035149894654750824
Baseline,SWC_5,24,6,4,0.03696373850107193,0.03514992073178291
Baseline,SWC_5,24,6,5,0.036963723599910736,0.03514990583062172
Baseline,SWC_5,24,6,6,0.036963678896427155,0.03514992073178291
Baseline,SWC_5,24,6,7,0.03696369379758835,0.03514987975358963
Baseline,SWC_5,24,6,8,0.03696371987462044,0.03514992445707321
Baseline,SWC_5,24,6,9,0.03696366772055626,0.03514984995126724
Baseline,SWC_5,24,6,10,0.03696378692984581,0.03514989838004112
Multi-step Linear,SWC_5,24,6,1,0.05638701468706131,0.019610771909356117
Multi-step Linear,SWC_5,24,6,2,0.020502742379903793,0.019784431904554367
Multi-step Linear,SWC_5,24,6,3,0.02052285149693489,0.019950266927480698
Multi-step Linear,SWC_5,24,6,4,0.020514745265245438,0.019904574379324913
Multi-step Linear,SWC_5,24,6,5,0.02050795964896679,0.019899265840649605
Multi-step Linear,SWC_5,24,6,6,0.02051757648587227,0.01988457515835762
Multi-step Linear,SWC_5,24,6,7,0.020490024238824844,0.019774097949266434
Multi-step Linear,SWC_5,24,6,8,0.02051987312734127,0.01977657712996006
Multi-step Linear,SWC_5,24,6,9,0.020514246076345444,0.019837193191051483
Multi-step Linear,SWC_5,24,6,10,0.02050422690808773,0.019755426794290543
Multi-step Dense,SWC_5,24,6,1,0.022612782195210457,0.020206572487950325
Multi-step Dense,SWC_5,24,6,2,0.01821475848555565,0.02420530654489994
Multi-step Dense,SWC_5,24,6,3,0.017758458852767944,0.02466215007007122
Multi-step Dense,SWC_5,24,6,4,0.017502179369330406,0.02481301687657833
Multi-step Dense,SWC_5,24,6,5,0.01720084622502327,0.024722136557102203
Multi-step Dense,SWC_5,24,6,6,0.01708929054439068,0.026252958923578262
Multi-step Dense,SWC_5,24,6,7,0.01686013676226139,0.02782270684838295
Multi-step Dense,SWC_5,24,6,8,0.016687780618667603,0.026545442640781403
Multi-step Dense,SWC_5,24,6,9,0.01661667600274086,0.026591455563902855
Multi-step Dense,SWC_5,24,6,10,0.016446923837065697,0.025316648185253143
CNN,SWC_5,24,6,1,0.023596491664648056,0.02258305810391903
CNN,SWC_5,24,6,2,0.01877681165933609,0.021404514089226723
CNN,SWC_5,24,6,3,0.018213624134659767,0.021308643743395805
CNN,SWC_5,24,6,4,0.017863309010863304,0.02222334034740925
CNN,SWC_5,24,6,5,0.01762172020971775,0.02593022957444191
CNN,SWC_5,24,6,6,0.01743968576192856,0.027225501835346222
CNN,SWC_5,24,6,7,0.017291313037276268,0.025167716667056084
CNN,SWC_5,24,6,8,0.01719139702618122,0.024868998676538467
CNN,SWC_5,24,6,9,0.017103049904108047,0.024137211963534355
CNN,SWC_5,24,6,10,0.01698880083858967,0.025141006335616112
RNN,SWC_5,24,6,1,0.022630218416452408,0.024162475019693375
RNN,SWC_5,24,6,2,0.0176430381834507,0.02039710059762001
RNN,SWC_5,24,6,3,0.017294080927968025,0.022120261564850807
RNN,SWC_5,24,6,4,0.017074258998036385,0.022512823343276978
RNN,SWC_5,24,6,5,0.016894526779651642,0.021479414775967598
RNN,SWC_5,24,6,6,0.016818420961499214,0.02350004017353058
RNN,SWC_5,24,6,7,0.016691047698259354,0.022435225546360016
RNN,SWC_5,24,6,8,0.01661902852356434,0.023166831582784653
RNN,SWC_5,24,6,9,0.01654268056154251,0.021289298310875893
RNN,SWC_5,24,6,10,0.016522491350769997,0.022814588621258736
