Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_20,48,12,1,0.029590681195259094,0.07769323140382767
Baseline,SWC_20,48,12,2,0.029590679332613945,0.07769325375556946
Baseline,SWC_20,48,12,3,0.029590673744678497,0.07769323885440826
Baseline,SWC_20,48,12,4,0.029590679332613945,0.07769325375556946
Baseline,SWC_20,48,12,5,0.029590681195259094,0.07769324630498886
Baseline,SWC_20,48,12,6,0.029590673744678497,0.07769325375556946
Baseline,SWC_20,48,12,7,0.029590675607323647,0.07769325375556946
Baseline,SWC_20,48,12,8,0.029590675607323647,0.07769324630498886
Baseline,SWC_20,48,12,9,0.029590679332613945,0.07769324630498886
Baseline,SWC_20,48,12,10,0.029590686783194542,0.07769324630498886
Multi-step Linear,SWC_20,48,12,1,0.4783415198326111,0.6412638425827026
Multi-step Linear,SWC_20,48,12,2,0.21879982948303223,0.4483945667743683
Multi-step Linear,SWC_20,48,12,3,0.15136131644248962,0.3764374852180481
Multi-step Linear,SWC_20,48,12,4,0.10968644917011261,0.31933626532554626
Multi-step Linear,SWC_20,48,12,5,0.0803467258810997,0.2646908164024353
Multi-step Linear,SWC_20,48,12,6,0.059323519468307495,0.21030265092849731
Multi-step Linear,SWC_20,48,12,7,0.0442160964012146,0.1612025499343872
Multi-step Linear,SWC_20,48,12,8,0.03346015140414238,0.12048009783029556
Multi-step Linear,SWC_20,48,12,9,0.025843210518360138,0.08977183699607849
Multi-step Linear,SWC_20,48,12,10,0.020771902054548264,0.06849262863397598
Multi-step Dense,SWC_20,48,12,1,0.09356775134801865,0.08951608091592789
Multi-step Dense,SWC_20,48,12,2,0.011176541447639465,0.07905638962984085
Multi-step Dense,SWC_20,48,12,3,0.011262099258601665,0.07632845640182495
Multi-step Dense,SWC_20,48,12,4,0.013461679220199585,0.07159306854009628
Multi-step Dense,SWC_20,48,12,5,0.01041361317038536,0.07077590376138687
Multi-step Dense,SWC_20,48,12,6,0.009856254793703556,0.06230124458670616
Multi-step Dense,SWC_20,48,12,7,0.01308558601886034,0.06119822338223457
Multi-step Dense,SWC_20,48,12,8,0.01046864315867424,0.06663043797016144
Multi-step Dense,SWC_20,48,12,9,0.00911511667072773,0.06521891802549362
Multi-step Dense,SWC_20,48,12,10,0.009355454705655575,0.06160721927881241
CNN,SWC_20,48,12,1,0.10244058072566986,0.09763089567422867
CNN,SWC_20,48,12,2,0.012858334928750992,0.08832836896181107
CNN,SWC_20,48,12,3,0.011265850625932217,0.08952938765287399
CNN,SWC_20,48,12,4,0.010417228564620018,0.08531415462493896
CNN,SWC_20,48,12,5,0.010125765576958656,0.08045099675655365
CNN,SWC_20,48,12,6,0.010435857810080051,0.080422043800354
CNN,SWC_20,48,12,7,0.010645562782883644,0.07465586811304092
CNN,SWC_20,48,12,8,0.010637140832841396,0.07436724752187729
CNN,SWC_20,48,12,9,0.009385796263813972,0.06828732043504715
CNN,SWC_20,48,12,10,0.011529349721968174,0.0718703418970108
RNN,SWC_20,48,12,1,0.1004205197095871,0.06435739248991013
RNN,SWC_20,48,12,2,0.014920983463525772,0.0605408176779747
RNN,SWC_20,48,12,3,0.01260178443044424,0.057933926582336426
RNN,SWC_20,48,12,4,0.010795633308589458,0.058577507734298706
RNN,SWC_20,48,12,5,0.010078302584588528,0.05655663087964058
RNN,SWC_20,48,12,6,0.009276448749005795,0.056821729987859726
RNN,SWC_20,48,12,7,0.008720147423446178,0.05771419405937195
RNN,SWC_20,48,12,8,0.007609708700329065,0.05678862705826759
RNN,SWC_20,48,12,9,0.0071593052707612514,0.056217025965452194
RNN,SWC_20,48,12,10,0.006445837672799826,0.05525973066687584
LSTM,SWC_20,48,12,1,0.1258835643529892,0.10998952388763428
LSTM,SWC_20,48,12,2,0.011404089629650116,0.1075386181473732
