Evaluation_Type,Features,Model,Mean_Absolute_Error,Mean_Absolute_Error_Diff,Mean_Squared_Error_Diff,Mean_Absolute_Percentage_Error_Diff,original_mae
Single Feature,Ppt,,0.0713588148355484,,,,
Single Feature,Tair,,0.0713588148355484,,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",Baseline,,-3.08194600045681,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",Multi-step Linear,,0.09204936027526855,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",Multi-step Dense,,-0.053202033042907715,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",CNN,,0.059330105781555176,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",RNN,,0.02419203519821167,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",LSTM,,0.0005879998207092285,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",Autoregressive,,-0.013164415955543518,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",Bi-LSTM,,0.23941254615783691,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",LSTM_Attention,,0.08439373970031738,,,
Incremental top_1_features_['Ppt'],"1, features, ['Ppt']",BiLSTM_Attention,,0.05909872055053711,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",Baseline,,0.0,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",Multi-step Linear,,0.0032563209533691406,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",Multi-step Dense,,0.009789988398551941,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",CNN,,-0.021450728178024292,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",RNN,,0.059110671281814575,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",LSTM,,-0.02638036012649536,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",Autoregressive,,0.030512690544128418,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",Bi-LSTM,,0.029972314834594727,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",LSTM_Attention,,-0.06336909532546997,,,
"Incremental top_2_features_['Ppt', 'Tair']","2, features, ['Ppt', 'Tair']",BiLSTM_Attention,,-0.09364944696426392,,,
