Configuration,Model,Precipitation Loss,Original Loss,Better Dataset
SWC_5 - 24 input / 6 output,Baseline,1.8634345531463623,0.0921519324183464,Original
SWC_5 - 24 input / 6 output,Multi-step Linear,0.05001813545823097,0.0542704276740551,Precipitation
SWC_5 - 24 input / 6 output,Multi-step Dense,0.049194518476724625,0.04922494664788246,Precipitation
SWC_5 - 24 input / 6 output,CNN,0.053947318345308304,0.05015892907977104,Original
SWC_5 - 24 input / 6 output,RNN,0.05234498530626297,0.04948991909623146,Original
SWC_5 - 24 input / 6 output,LSTM,0.054796166718006134,0.052977170795202255,Original
SWC_5 - 24 input / 6 output,Autoregressive,0.09199562668800354,0.10295557975769043,Precipitation
SWC_5 - 24 input / 6 output,Bi-LSTM,0.05633195489645004,0.05485045537352562,Original
SWC_5 - 24 input / 6 output,LSTM_Attention,0.11224539577960968,0.08948090672492981,Original
SWC_5 - 24 input / 6 output,BiLSTM_Attention,0.07581166923046112,0.062227051705121994,Original
SWC_5 - 48 input / 12 output,Baseline,1.8250788450241089,0.16199952363967896,Original
SWC_5 - 48 input / 12 output,Multi-step Linear,0.08773075044155121,0.09197637438774109,Precipitation
SWC_5 - 48 input / 12 output,Multi-step Dense,0.08719254285097122,0.08863319456577301,Precipitation
SWC_5 - 48 input / 12 output,CNN,0.09379614144563675,0.08640684932470322,Original
SWC_5 - 48 input / 12 output,RNN,0.08921215683221817,0.08774150162935257,Original
SWC_5 - 48 input / 12 output,LSTM,0.09456921368837357,0.09443893283605576,Original
SWC_5 - 48 input / 12 output,Autoregressive,0.16309434175491333,0.18048329651355743,Precipitation
SWC_5 - 48 input / 12 output,Bi-LSTM,0.15358132123947144,0.09709859639406204,Original
SWC_5 - 48 input / 12 output,LSTM_Attention,0.1746811866760254,0.17100687325000763,Original
SWC_5 - 48 input / 12 output,BiLSTM_Attention,0.12367630749940872,0.1458176076412201,Precipitation
SWC_5 - 168 input / 24 output,Baseline,1.7503844499588013,0.28284767270088196,Original
SWC_5 - 168 input / 24 output,Multi-step Linear,0.15073980391025543,0.15681834518909454,Precipitation
SWC_5 - 168 input / 24 output,Multi-step Dense,0.15854990482330322,0.156935453414917,Original
SWC_5 - 168 input / 24 output,CNN,0.1544228196144104,0.15368066728115082,Original
SWC_5 - 168 input / 24 output,RNN,0.1606009155511856,0.16426244378089905,Precipitation
SWC_5 - 168 input / 24 output,LSTM,0.1808263212442398,0.1796964854001999,Original
SWC_5 - 168 input / 24 output,Autoregressive,0.41360023617744446,0.48260071873664856,Precipitation
SWC_5 - 168 input / 24 output,Bi-LSTM,,0.7171145081520081,Original
SWC_5 - 168 input / 24 output,LSTM_Attention,0.5280526280403137,0.45462003350257874,Original
SWC_5 - 168 input / 24 output,BiLSTM_Attention,0.287725031375885,0.29190585017204285,Precipitation
SWC_5 - 168 input / 48 output,Baseline,1.7308017015457153,0.4895775318145752,Original
SWC_5 - 168 input / 48 output,Multi-step Linear,0.25335362553596497,0.2645263969898224,Precipitation
SWC_5 - 168 input / 48 output,Multi-step Dense,0.2670837640762329,0.2583501636981964,Original
SWC_5 - 168 input / 48 output,CNN,0.25808054208755493,0.2620308995246887,Precipitation
SWC_5 - 168 input / 48 output,RNN,0.26362597942352295,0.2705417275428772,Precipitation
SWC_5 - 168 input / 48 output,LSTM,0.2834016978740692,0.29744336009025574,Precipitation
SWC_5 - 168 input / 48 output,Autoregressive,0.5266233682632446,0.5454874038696289,Precipitation
SWC_5 - 168 input / 48 output,Bi-LSTM,0.6436946392059326,,Original
SWC_5 - 168 input / 48 output,LSTM_Attention,0.5801986455917358,0.6638162136077881,Precipitation
SWC_5 - 168 input / 48 output,BiLSTM_Attention,0.3640124201774597,0.41873520612716675,Precipitation
