Configuration,Model,Precipitation Loss,Original Loss,Better Dataset
SWC_5 - 24 input / 6 output,Baseline,1.8634339570999146,0.00020852149464190006,Original
SWC_5 - 24 input / 6 output,Multi-step Linear,0.0503915399312973,0.0003139998880214989,Original
SWC_5 - 24 input / 6 output,Multi-step Dense,0.052136313170194626,0.00034452680847607553,Original
SWC_5 - 24 input / 6 output,CNN,0.050755444914102554,0.0002505011798348278,Original
SWC_5 - 24 input / 6 output,RNN,0.04932189732789993,0.0004736583505291492,Original
SWC_5 - 24 input / 6 output,LSTM,0.06169101595878601,0.00041357046575285494,Original
SWC_5 - 24 input / 6 output,Autoregressive,0.09650921076536179,0.0007973586907610297,Original
SWC_5 - 24 input / 6 output,Bi-LSTM,0.057934459298849106,0.0022583759855479,Original
SWC_5 - 24 input / 6 output,LSTM_Attention,0.10451235622167587,0.00043709497549571097,Original
SWC_5 - 24 input / 6 output,BiLSTM_Attention,0.07944733649492264,0.0004747529746964574,Original
SWC_5 - 48 input / 12 output,Baseline,1.825079321861267,0.00036657272721640766,Original
SWC_5 - 48 input / 12 output,Multi-step Linear,0.08800522983074188,0.0005164231406524777,Original
SWC_5 - 48 input / 12 output,Multi-step Dense,0.08787336200475693,0.0003597658942453563,Original
SWC_5 - 48 input / 12 output,CNN,0.0911770612001419,0.00039548479253426194,Original
SWC_5 - 48 input / 12 output,RNN,0.09355005621910095,0.0005910055479034781,Original
SWC_5 - 48 input / 12 output,LSTM,0.10713957995176315,0.0004383337509352714,Original
SWC_5 - 48 input / 12 output,Autoregressive,0.17132946848869324,0.0006996865849941969,Original
SWC_5 - 48 input / 12 output,Bi-LSTM,0.14006032049655914,0.002881173510104418,Original
SWC_5 - 48 input / 12 output,LSTM_Attention,0.19677315652370453,0.000753561791498214,Original
SWC_5 - 48 input / 12 output,BiLSTM_Attention,0.12632806599140167,0.0010530423605814576,Original
SWC_5 - 168 input / 24 output,Baseline,1.7503838539123535,0.0006400279235094786,Original
SWC_5 - 168 input / 24 output,Multi-step Linear,0.15311317145824432,0.0006456251721829176,Original
SWC_5 - 168 input / 24 output,Multi-step Dense,0.1551399528980255,0.0005161226144991815,Original
SWC_5 - 168 input / 24 output,CNN,0.15405845642089844,0.00043786715832538903,Original
SWC_5 - 168 input / 24 output,RNN,0.16922275722026825,0.0005541893769986928,Original
SWC_5 - 168 input / 24 output,LSTM,0.19641344249248505,0.001082895090803504,Original
SWC_5 - 168 input / 24 output,Autoregressive,0.4206206500530243,0.01183094922453165,Original
SWC_5 - 168 input / 24 output,Bi-LSTM,,,Original
SWC_5 - 168 input / 24 output,LSTM_Attention,0.4543236792087555,0.0014558401890099049,Original
SWC_5 - 168 input / 24 output,BiLSTM_Attention,0.2648671567440033,0.0017109016189351678,Original
SWC_5 - 168 input / 48 output,Baseline,1.7308013439178467,0.001107816118746996,Original
SWC_5 - 168 input / 48 output,Multi-step Linear,0.25511518120765686,0.0010189906461164355,Original
SWC_5 - 168 input / 48 output,Multi-step Dense,0.2544470429420471,0.0007695293752476573,Original
SWC_5 - 168 input / 48 output,CNN,0.26415812969207764,0.000719362695235759,Original
SWC_5 - 168 input / 48 output,RNN,0.2888492941856384,0.0013120700605213642,Original
SWC_5 - 168 input / 48 output,LSTM,0.3034050166606903,0.0010257551912218332,Original
SWC_5 - 168 input / 48 output,Autoregressive,0.49565744400024414,0.003070622915402055,Original
SWC_5 - 168 input / 48 output,Bi-LSTM,,,Original
SWC_5 - 168 input / 48 output,LSTM_Attention,0.5687229633331299,0.002324845641851425,Original
SWC_5 - 168 input / 48 output,BiLSTM_Attention,0.37269333004951477,0.0021430575288832188,Original
