Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,168,24,1,2.0041885375976562,1.9461103677749634
Baseline,SWC_5,168,24,2,2.0041861534118652,1.9461114406585693
Baseline,SWC_5,168,24,3,2.00418758392334,1.946109652519226
Baseline,SWC_5,168,24,4,2.0041861534118652,1.9461108446121216
Baseline,SWC_5,168,24,5,2.0041844844818115,1.9461102485656738
Baseline,SWC_5,168,24,6,2.0041890144348145,1.9461106061935425
Baseline,SWC_5,168,24,7,2.0041866302490234,1.9461098909378052
Baseline,SWC_5,168,24,8,2.0041890144348145,1.9461106061935425
Baseline,SWC_5,168,24,9,2.004188060760498,1.946109414100647
Baseline,SWC_5,168,24,10,2.004185914993286,1.946110725402832
Multi-step Linear,SWC_5,168,24,1,0.2813653349876404,0.11518896371126175
Multi-step Linear,SWC_5,168,24,2,0.11468126624822617,0.08515441417694092
Multi-step Linear,SWC_5,168,24,3,0.1111406534910202,0.08521459996700287
Multi-step Linear,SWC_5,168,24,4,0.11084017157554626,0.0847448855638504
Multi-step Linear,SWC_5,168,24,5,0.11095001548528671,0.08466676622629166
Multi-step Linear,SWC_5,168,24,6,0.11115700751543045,0.08509596437215805
Multi-step Linear,SWC_5,168,24,7,0.11082335561513901,0.08488950878381729
Multi-step Linear,SWC_5,168,24,8,0.11072258651256561,0.08573848754167557
Multi-step Linear,SWC_5,168,24,9,0.11072450876235962,0.08493003249168396
Multi-step Linear,SWC_5,168,24,10,0.11087453365325928,0.08552341908216476
Multi-step Dense,SWC_5,168,24,1,0.12391762435436249,0.09316760301589966
Multi-step Dense,SWC_5,168,24,2,0.10115575790405273,0.089525505900383
Multi-step Dense,SWC_5,168,24,3,0.09894221276044846,0.09051960706710815
Multi-step Dense,SWC_5,168,24,4,0.09686064720153809,0.09532595425844193
Multi-step Dense,SWC_5,168,24,5,0.09545338153839111,0.09284698963165283
Multi-step Dense,SWC_5,168,24,6,0.09424378722906113,0.09146127849817276
Multi-step Dense,SWC_5,168,24,7,0.0930020660161972,0.09083262085914612
Multi-step Dense,SWC_5,168,24,8,0.09197773039340973,0.09219629317522049
Multi-step Dense,SWC_5,168,24,9,0.09034620970487595,0.09211483597755432
Multi-step Dense,SWC_5,168,24,10,0.0898817628622055,0.09492829442024231
CNN,SWC_5,168,24,1,0.12240897864103317,0.09073237329721451
CNN,SWC_5,168,24,2,0.1015196144580841,0.09382610023021698
CNN,SWC_5,168,24,3,0.09954581409692764,0.09450529515743256
CNN,SWC_5,168,24,4,0.09793514758348465,0.08868950605392456
CNN,SWC_5,168,24,5,0.0967470109462738,0.08985582739114761
CNN,SWC_5,168,24,6,0.09533803164958954,0.09643920511007309
CNN,SWC_5,168,24,7,0.09444870054721832,0.09453997761011124
CNN,SWC_5,168,24,8,0.09341424703598022,0.09380406886339188
CNN,SWC_5,168,24,9,0.09224066138267517,0.0941598042845726
CNN,SWC_5,168,24,10,0.09142554551362991,0.09579333662986755
RNN,SWC_5,168,24,1,0.1281857043504715,0.09383875131607056
RNN,SWC_5,168,24,2,0.10065431147813797,0.09076853841543198
RNN,SWC_5,168,24,3,0.09676635265350342,0.09442264586687088
RNN,SWC_5,168,24,4,0.0935593694448471,0.09780906140804291
RNN,SWC_5,168,24,5,0.09004250913858414,0.09878367930650711
RNN,SWC_5,168,24,6,0.08977589011192322,0.10989847779273987
RNN,SWC_5,168,24,7,0.084400974214077,0.11090895533561707
RNN,SWC_5,168,24,8,0.0865611806511879,0.1016218364238739
RNN,SWC_5,168,24,9,0.08312723785638809,0.10260949283838272
RNN,SWC_5,168,24,10,0.08321370929479599,0.09999977797269821
LSTM,SWC_5,168,24,1,0.11844008415937424,0.0984199047088623
LSTM,SWC_5,168,24,2,0.07906054705381393,0.11303116381168365
LSTM,SWC_5,168,24,3,0.06612064689397812,0.10790255665779114
LSTM,SWC_5,168,24,4,0.055698323994874954,0.12257891148328781
LSTM,SWC_5,168,24,5,0.055395230650901794,0.12011419981718063
LSTM,SWC_5,168,24,6,0.04491216689348221,0.13068296015262604
LSTM,SWC_5,168,24,7,0.035191070288419724,0.11817143857479095
LSTM,SWC_5,168,24,8,0.036437489092350006,0.18165990710258484
LSTM,SWC_5,168,24,9,0.037983763962984085,0.11547297984361649
LSTM,SWC_5,168,24,10,0.027188777923583984,0.12643752992153168
Autoregressive,SWC_5,168,24,1,0.2567368745803833,0.22005204856395721
Autoregressive,SWC_5,168,24,2,0.20303545892238617,0.26132509112358093
Autoregressive,SWC_5,168,24,3,0.19209150969982147,0.3137018084526062
Autoregressive,SWC_5,168,24,4,0.18422095477581024,0.3430269956588745
Autoregressive,SWC_5,168,24,5,0.17827293276786804,0.3470257818698883
Autoregressive,SWC_5,168,24,6,0.1726803481578827,0.38654446601867676
Autoregressive,SWC_5,168,24,7,0.1687336564064026,0.3881913423538208
Autoregressive,SWC_5,168,24,8,0.16547013819217682,0.44887250661849976
Autoregressive,SWC_5,168,24,9,0.1609439253807068,0.4860195517539978
Autoregressive,SWC_5,168,24,10,0.15891192853450775,0.5649027228355408
Bi-LSTM,SWC_5,168,24,1,nan,nan
Bi-LSTM,SWC_5,168,24,2,nan,nan
Bi-LSTM,SWC_5,168,24,3,nan,nan
Bi-LSTM,SWC_5,168,24,4,nan,nan
Bi-LSTM,SWC_5,168,24,5,nan,nan
Bi-LSTM,SWC_5,168,24,6,nan,nan
Bi-LSTM,SWC_5,168,24,7,nan,nan
Bi-LSTM,SWC_5,168,24,8,nan,nan
Bi-LSTM,SWC_5,168,24,9,nan,nan
Bi-LSTM,SWC_5,168,24,10,nan,nan
LSTM_Attention,SWC_5,168,24,1,0.2136165350675583,0.42782413959503174
LSTM_Attention,SWC_5,168,24,2,0.1139603927731514,0.3422660231590271
LSTM_Attention,SWC_5,168,24,3,0.09024711698293686,0.3709280490875244
LSTM_Attention,SWC_5,168,24,4,0.08105437457561493,0.44284361600875854
LSTM_Attention,SWC_5,168,24,5,0.07238763570785522,0.40277066826820374
LSTM_Attention,SWC_5,168,24,6,0.0670645609498024,0.4237441420555115
LSTM_Attention,SWC_5,168,24,7,0.0659656897187233,0.44689202308654785
LSTM_Attention,SWC_5,168,24,8,0.06139151379466057,0.36625421047210693
LSTM_Attention,SWC_5,168,24,9,0.05299798399209976,0.46481218934059143
LSTM_Attention,SWC_5,168,24,10,0.05190889537334442,0.3791622817516327
BiLSTM_Attention,SWC_5,168,24,1,0.14960160851478577,0.12720267474651337
BiLSTM_Attention,SWC_5,168,24,2,0.0942339077591896,0.12558458745479584
BiLSTM_Attention,SWC_5,168,24,3,0.08220770210027695,0.12373227626085281
BiLSTM_Attention,SWC_5,168,24,4,0.07506873458623886,0.15334393084049225
BiLSTM_Attention,SWC_5,168,24,5,0.06181768327951431,0.17730812728405
BiLSTM_Attention,SWC_5,168,24,6,0.05574313923716545,0.16972215473651886
BiLSTM_Attention,SWC_5,168,24,7,0.05240480601787567,0.1748989373445511
BiLSTM_Attention,SWC_5,168,24,8,0.04925698786973953,0.1729087084531784
BiLSTM_Attention,SWC_5,168,24,9,0.04604947194457054,0.14896661043167114
BiLSTM_Attention,SWC_5,168,24,10,0.045485395938158035,0.19582988321781158
