Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,168,24,Baseline,1.0514863729476929,1.7503844499588013,525.375732421875
3,SWC_5,168,24,Multi-step Linear,0.15518388152122498,0.15073980391025543,53.20148849487305
3,SWC_5,168,24,Multi-step Dense,0.18121902644634247,0.15854990482330322,63.32691192626953
3,SWC_5,168,24,CNN,0.17391084134578705,0.1544228196144104,60.77652359008789
3,SWC_5,168,24,RNN,0.17577998340129852,0.1606009155511856,70.04328155517578
3,SWC_5,168,24,LSTM,0.2127041220664978,0.1808263212442398,83.03666687011719
3,SWC_5,168,24,Autoregressive,0.4376288950443268,0.41360023617744446,208.4894561767578
3,SWC_5,168,24,Bi-LSTM,nan,nan,nan
3,SWC_5,168,24,LSTM_Attention,0.490730881690979,0.5280526280403137,171.935546875
3,SWC_5,168,24,BiLSTM_Attention,0.34584367275238037,0.287725031375885,152.86386108398438
