Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,168,48,1,0.3703780472278595,0.26710715889930725
Baseline,SWC_5,168,48,2,0.37037837505340576,0.2671072781085968
Baseline,SWC_5,168,48,3,0.3703780770301819,0.2671073079109192
Baseline,SWC_5,168,48,4,0.37037762999534607,0.2671072781085968
Baseline,SWC_5,168,48,5,0.3703782260417938,0.2671072781085968
Baseline,SWC_5,168,48,6,0.3703782260417938,0.26710715889930725
Baseline,SWC_5,168,48,7,0.3703782260417938,0.2671072781085968
Baseline,SWC_5,168,48,8,0.370378315448761,0.26710718870162964
Baseline,SWC_5,168,48,9,0.37037816643714905,0.2671073079109192
Baseline,SWC_5,168,48,10,0.37037792801856995,0.267107218503952
Multi-step Linear,SWC_5,168,48,1,0.2711750864982605,0.18233053386211395
Multi-step Linear,SWC_5,168,48,2,0.19423285126686096,0.15723825991153717
Multi-step Linear,SWC_5,168,48,3,0.18960869312286377,0.15353652834892273
Multi-step Linear,SWC_5,168,48,4,0.18821220099925995,0.15158216655254364
Multi-step Linear,SWC_5,168,48,5,0.18762634694576263,0.1503734290599823
Multi-step Linear,SWC_5,168,48,6,0.1873679906129837,0.14911091327667236
Multi-step Linear,SWC_5,168,48,7,0.18716727197170258,0.14824487268924713
Multi-step Linear,SWC_5,168,48,8,0.18708796799182892,0.14814747869968414
Multi-step Linear,SWC_5,168,48,9,0.1869964897632599,0.14743249118328094
Multi-step Linear,SWC_5,168,48,10,0.18696941435337067,0.14733584225177765
Multi-step Dense,SWC_5,168,48,1,0.18423131108283997,0.14891201257705688
Multi-step Dense,SWC_5,168,48,2,0.16379620134830475,0.15534210205078125
Multi-step Dense,SWC_5,168,48,3,0.15761852264404297,0.17483949661254883
Multi-step Dense,SWC_5,168,48,4,0.15325026214122772,0.17757508158683777
Multi-step Dense,SWC_5,168,48,5,0.14869314432144165,0.17552383244037628
Multi-step Dense,SWC_5,168,48,6,0.14546750485897064,0.17468270659446716
Multi-step Dense,SWC_5,168,48,7,0.14237698912620544,0.19527515769004822
Multi-step Dense,SWC_5,168,48,8,0.14082542061805725,0.19557632505893707
Multi-step Dense,SWC_5,168,48,9,0.137525737285614,0.1985582709312439
