Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,168,48,Baseline,0.4310310482978821,0.4895775318145752,201.10227966308594
3,SWC_5,168,48,Multi-step Linear,0.233061283826828,0.2645263969898224,73.576416015625
3,SWC_5,168,48,Multi-step Dense,0.24642527103424072,0.2583501636981964,82.35289001464844
3,SWC_5,168,48,CNN,0.24926170706748962,0.2620308995246887,82.8350830078125
3,SWC_5,168,48,RNN,0.27093175053596497,0.2705417275428772,100.16519927978516
3,SWC_5,168,48,LSTM,0.2842385768890381,0.29744336009025574,108.67198181152344
3,SWC_5,168,48,Autoregressive,0.512625515460968,0.5454874038696289,245.51853942871094
3,SWC_5,168,48,Bi-LSTM,nan,nan,nan
3,SWC_5,168,48,LSTM_Attention,0.5492841601371765,0.6638162136077881,170.40411376953125
3,SWC_5,168,48,BiLSTM_Attention,0.4399537146091461,0.41873520612716675,172.74562072753906
