Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,48,12,1,0.1284334361553192,0.09397994726896286
Baseline,SWC_5,48,12,2,0.1284334808588028,0.09397993981838226
Baseline,SWC_5,48,12,3,0.12843352556228638,0.09397996217012405
Baseline,SWC_5,48,12,4,0.12843351066112518,0.09397991746664047
Baseline,SWC_5,48,12,5,0.12843340635299683,0.09397994726896286
Baseline,SWC_5,48,12,6,0.128433495759964,0.09397996962070465
Baseline,SWC_5,48,12,7,0.12843355536460876,0.09397992491722107
Baseline,SWC_5,48,12,8,0.12843351066112518,0.09397991001605988
Baseline,SWC_5,48,12,9,0.12843352556228638,0.09397994726896286
Baseline,SWC_5,48,12,10,0.12843355536460876,0.09397994726896286
Multi-step Linear,SWC_5,48,12,1,0.1725016087293625,0.09543231874704361
Multi-step Linear,SWC_5,48,12,2,0.08068375289440155,0.06450560688972473
Multi-step Linear,SWC_5,48,12,3,0.07512364536523819,0.05853583663702011
Multi-step Linear,SWC_5,48,12,4,0.07345480471849442,0.05623870715498924
Multi-step Linear,SWC_5,48,12,5,0.07274706661701202,0.05474845692515373
Multi-step Linear,SWC_5,48,12,6,0.07241050899028778,0.05384068191051483
Multi-step Linear,SWC_5,48,12,7,0.07219070941209793,0.053331270813941956
Multi-step Linear,SWC_5,48,12,8,0.07207376509904861,0.05311731994152069
Multi-step Linear,SWC_5,48,12,9,0.07207118719816208,0.0531347319483757
Multi-step Linear,SWC_5,48,12,10,0.07209403812885284,0.05284088850021362
Multi-step Dense,SWC_5,48,12,1,0.0804101750254631,0.053125690668821335
Multi-step Dense,SWC_5,48,12,2,0.06364426016807556,0.051830556243658066
Multi-step Dense,SWC_5,48,12,3,0.06207694113254547,0.05444791913032532
Multi-step Dense,SWC_5,48,12,4,0.0602496899664402,0.054067037999629974
Multi-step Dense,SWC_5,48,12,5,0.05905546620488167,0.05879753455519676
Multi-step Dense,SWC_5,48,12,6,0.05835338681936264,0.05848358944058418
Multi-step Dense,SWC_5,48,12,7,0.058114636689424515,0.05545872077345848
Multi-step Dense,SWC_5,48,12,8,0.05697918310761452,0.05656126141548157
Multi-step Dense,SWC_5,48,12,9,0.056424785405397415,0.05986174941062927
Multi-step Dense,SWC_5,48,12,10,0.05575766786932945,0.05642678588628769
CNN,SWC_5,48,12,1,0.07989540696144104,0.05302872136235237
CNN,SWC_5,48,12,2,0.06318287551403046,0.05797462910413742
CNN,SWC_5,48,12,3,0.06134171783924103,0.05540928989648819
CNN,SWC_5,48,12,4,0.06034374609589577,0.05655645951628685
CNN,SWC_5,48,12,5,0.059257857501506805,0.05552530288696289
CNN,SWC_5,48,12,6,0.05883384868502617,0.05248820409178734
CNN,SWC_5,48,12,7,0.05827963352203369,0.05544471740722656
CNN,SWC_5,48,12,8,0.05763756111264229,0.05607319623231888
CNN,SWC_5,48,12,9,0.057547446340322495,0.053761161863803864
CNN,SWC_5,48,12,10,0.05676792934536934,0.057537421584129333
RNN,SWC_5,48,12,1,0.07843855023384094,0.05227181315422058
RNN,SWC_5,48,12,2,0.06059899926185608,0.05823078379034996
RNN,SWC_5,48,12,3,0.059090618044137955,0.05141778662800789
RNN,SWC_5,48,12,4,0.057690635323524475,0.049806755036115646
RNN,SWC_5,48,12,5,0.056771449744701385,0.05000210925936699
RNN,SWC_5,48,12,6,0.055314626544713974,0.049944598227739334
RNN,SWC_5,48,12,7,0.05450714752078056,0.05017969012260437
RNN,SWC_5,48,12,8,0.05556673929095268,0.051150668412446976
RNN,SWC_5,48,12,9,0.053802620619535446,0.050177138298749924
RNN,SWC_5,48,12,10,0.05206955596804619,0.05029682070016861
LSTM,SWC_5,48,12,1,0.08270998299121857,0.05215853825211525
LSTM,SWC_5,48,12,2,0.05546943098306656,0.06009639427065849
LSTM,SWC_5,48,12,3,0.05106961354613304,0.05705687031149864
LSTM,SWC_5,48,12,4,0.04577856883406639,0.06005529314279556
LSTM,SWC_5,48,12,5,0.04341655597090721,0.06537681818008423
LSTM,SWC_5,48,12,6,0.03970357030630112,0.06358490884304047
LSTM,SWC_5,48,12,7,0.03596347197890282,0.06704138219356537
LSTM,SWC_5,48,12,8,0.03541224077343941,0.05954765900969505
LSTM,SWC_5,48,12,9,0.03207099437713623,0.06123550981283188
LSTM,SWC_5,48,12,10,0.031246136873960495,0.06397909671068192
Autoregressive,SWC_5,48,12,1,0.14841952919960022,0.10179228335618973
Autoregressive,SWC_5,48,12,2,0.11922696232795715,0.10160110890865326
Autoregressive,SWC_5,48,12,3,0.11400403082370758,0.1071140244603157
Autoregressive,SWC_5,48,12,4,0.10998927801847458,0.11653628200292587
Autoregressive,SWC_5,48,12,5,0.10720007866621017,0.12630154192447662
Autoregressive,SWC_5,48,12,6,0.10461436212062836,0.13713057339191437
Autoregressive,SWC_5,48,12,7,0.1010250449180603,0.13833928108215332
Autoregressive,SWC_5,48,12,8,0.09928476810455322,0.15680834650993347
Autoregressive,SWC_5,48,12,9,0.09687448292970657,0.15469837188720703
Autoregressive,SWC_5,48,12,10,0.0945034921169281,0.2063886821269989
Bi-LSTM,SWC_5,48,12,1,0.08721492439508438,0.062081314623355865
Bi-LSTM,SWC_5,48,12,2,0.059910472482442856,0.06726190447807312
Bi-LSTM,SWC_5,48,12,3,0.05551328510046005,0.07163392752408981
Bi-LSTM,SWC_5,48,12,4,0.05023873597383499,0.06699946522712708
Bi-LSTM,SWC_5,48,12,5,0.04542113468050957,0.08583386987447739
Bi-LSTM,SWC_5,48,12,6,0.04198959469795227,0.06621185690164566
Bi-LSTM,SWC_5,48,12,7,0.03896714374423027,0.07112114876508713
Bi-LSTM,SWC_5,48,12,8,0.03338725492358208,0.0835883766412735
Bi-LSTM,SWC_5,48,12,9,0.03206375986337662,0.08902860432863235
Bi-LSTM,SWC_5,48,12,10,0.030786937102675438,0.07655598968267441
LSTM_Attention,SWC_5,48,12,1,0.1339283138513565,0.11309225112199783
LSTM_Attention,SWC_5,48,12,2,0.07611141353845596,0.10965051501989365
LSTM_Attention,SWC_5,48,12,3,0.06188978999853134,0.10541045665740967
LSTM_Attention,SWC_5,48,12,4,0.05329372361302376,0.09954940527677536
LSTM_Attention,SWC_5,48,12,5,0.047917477786540985,0.11555278301239014
LSTM_Attention,SWC_5,48,12,6,0.045337628573179245,0.12220212072134018
LSTM_Attention,SWC_5,48,12,7,0.04084925353527069,0.11245089024305344
LSTM_Attention,SWC_5,48,12,8,0.0373699814081192,0.11503130942583084
LSTM_Attention,SWC_5,48,12,9,0.03656889125704765,0.10637430846691132
LSTM_Attention,SWC_5,48,12,10,0.03399024158716202,0.11908784508705139
BiLSTM_Attention,SWC_5,48,12,1,0.08529806137084961,0.08207487314939499
BiLSTM_Attention,SWC_5,48,12,2,0.05765346437692642,0.073110431432724
BiLSTM_Attention,SWC_5,48,12,3,0.05195603519678116,0.07486981898546219
BiLSTM_Attention,SWC_5,48,12,4,0.04623040556907654,0.07794894278049469
BiLSTM_Attention,SWC_5,48,12,5,0.04254573956131935,0.06593143939971924
BiLSTM_Attention,SWC_5,48,12,6,0.03731709346175194,0.08645601570606232
BiLSTM_Attention,SWC_5,48,12,7,0.03497523069381714,0.07049085944890976
BiLSTM_Attention,SWC_5,48,12,8,0.03673691302537918,0.08321694284677505
BiLSTM_Attention,SWC_5,48,12,9,0.03195519000291824,0.07813573628664017
BiLSTM_Attention,SWC_5,48,12,10,0.03192906826734543,0.07819894701242447
