Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,48,12,Baseline,0.1740366667509079,0.16199952363967896,54.99797439575195
3,SWC_5,48,12,Multi-step Linear,0.09592408686876297,0.09197637438774109,25.583539962768555
3,SWC_5,48,12,Multi-step Dense,0.11210589855909348,0.08863319456577301,46.937904357910156
3,SWC_5,48,12,CNN,0.1175689548254013,0.08640684932470322,45.13922119140625
3,SWC_5,48,12,RNN,0.11790502816438675,0.08774150162935257,47.724300384521484
3,SWC_5,48,12,LSTM,0.12515820562839508,0.09443893283605576,41.20134353637695
3,SWC_5,48,12,Autoregressive,0.21972225606441498,0.18048329651355743,75.47482299804688
3,SWC_5,48,12,Bi-LSTM,0.13318905234336853,0.09709859639406204,42.96803283691406
3,SWC_5,48,12,LSTM_Attention,0.2238156795501709,0.17100687325000763,96.87151336669922
3,SWC_5,48,12,BiLSTM_Attention,0.20028568804264069,0.1458176076412201,81.93583679199219
