Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2018-08-02 11:00:00,0.0,0.049,0.074,0.052,0.054,32.69,30.63,30.35,31.74,0
2018-08-02 11:00:00,0.0,0.049,0.074,0.052,0.054,32.69,30.63,30.35,31.74,131074
2019-03-25 15:00:00,0.0,0.109,0.129,0.12,0.149,25.36,22.63,20.32,17.77,2228226
2019-03-25 15:00:00,0.0,0.109,0.129,0.12,0.149,25.36,22.63,20.32,17.77,2
2019-03-25 16:00:00,0.0,0.118,0.139,0.13,0.159,27.17,24.45,21.91,18.59,8192
2019-03-25 16:00:00,0.0,0.118,0.139,0.13,0.159,27.17,24.45,21.91,18.59,536870914
2019-03-25 17:00:00,0.0,0.117,0.139,0.13,0.159,26.99,24.96,22.56,18.64,570425344
2019-03-25 17:00:00,0.0,0.117,0.139,0.13,0.159,26.99,24.96,22.56,18.64,0
2019-03-25 18:00:00,0.0,0.115,0.138,0.13,0.159,26.0,24.94,22.98,18.69,0
2019-03-25 18:00:00,0.0,0.115,0.138,0.13,0.159,26.0,24.94,22.98,18.69,536870914
2019-03-25 19:00:00,0.0,0.114,0.137,0.13,0.159,24.7,24.47,23.13,18.79,0
2019-03-25 19:00:00,0.0,0.114,0.137,0.13,0.159,24.7,24.47,23.13,18.79,536870914
2019-03-25 20:00:00,0.0,0.114,0.137,0.129,0.159,23.47,23.81,23.02,18.91,0
2019-03-25 20:00:00,0.0,0.114,0.137,0.129,0.159,23.47,23.81,23.02,18.91,536870914
2019-03-25 21:00:00,0.0,0.113,0.136,0.129,0.159,22.37,23.07,22.73,19.03,2
2019-03-25 21:00:00,0.0,0.113,0.136,0.129,0.159,22.37,23.07,22.73,19.03,0
