Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2017-07-05 11:00:00,0.0,0.116,0.173,0.239,0.235,29.1,29.04,29.3,28.8,131072
2017-07-05 11:00:00,0.0,0.116,0.173,0.239,0.235,29.1,29.04,29.3,28.8,0
2017-07-05 12:00:00,0.0,0.116,0.171,0.237,0.235,29.62,29.25,29.28,28.8,131072
2017-07-05 12:00:00,0.0,0.116,0.171,0.237,0.235,29.62,29.25,29.28,28.8,0
2017-07-05 13:00:00,0.0,0.115,0.17,0.234,0.235,30.28,29.6,29.32,28.79,131072
2017-07-05 13:00:00,0.0,0.115,0.17,0.234,0.235,30.28,29.6,29.32,28.79,0
2018-04-27 16:00:00,0.0,0.133,0.221,0.193,0.276,22.22,21.74,21.27,21.47,262144
2018-04-27 16:00:00,0.0,0.133,0.221,0.193,0.276,22.22,21.74,21.27,21.47,2359296
2018-04-27 17:00:00,0.0,0.133,0.223,0.192,0.276,22.5,22.02,21.43,21.45,2359296
2018-04-27 17:00:00,0.0,0.133,0.223,0.192,0.276,22.5,22.02,21.43,21.45,262144
