Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2018-04-27 13:00:00,0.0,0.225,0.207,0.194,0.187,22.93,19.17,19.18,19.59,0
2018-04-27 13:00:00,0.0,0.225,0.207,0.194,0.187,22.93,19.17,19.18,19.59,131072
2018-04-27 14:00:00,0.0,0.225,0.208,0.194,0.187,23.98,19.78,19.24,19.58,0
2018-04-27 14:00:00,0.0,0.225,0.208,0.194,0.187,23.98,19.78,19.24,19.58,131072
2018-04-27 15:00:00,0.0,0.226,0.208,0.194,0.186,24.68,20.39,19.36,19.57,131072
2018-04-27 15:00:00,0.0,0.226,0.208,0.194,0.186,24.68,20.39,19.36,19.57,0
2018-04-27 16:00:00,0.0,0.226,0.209,0.194,0.186,25.06,20.95,19.53,19.57,131072
2018-04-27 16:00:00,0.0,0.226,0.209,0.194,0.186,25.06,20.95,19.53,19.57,0
2018-04-27 17:00:00,0.0,0.225,0.209,0.194,0.186,24.71,21.39,19.73,19.56,131072
2018-04-27 17:00:00,0.0,0.225,0.209,0.194,0.186,24.71,21.39,19.73,19.56,0
2018-05-08 13:00:00,0.0,0.294,0.294,0.268,0.177,29.08,22.4,21.71,21.08,131072
2018-05-08 13:00:00,0.0,0.294,0.294,0.268,0.177,29.08,22.4,21.71,21.08,0
