Date,Ppt,Tair,RH,Wind speed,Wind direction,Srad,ETos,Rso
2017-06-22 23:00:00,0.0,28.6,33.91,2.338,165.8,0.0,0.078,0.0
2017-06-22 23:00:00,0.0,28.6,33.91,2.338,165.8,0.0,0.078,0.0
2017-06-23 00:00:00,0.0,28.16,37.36,2.39,168.5,0.0,0.074,0.0
2017-06-23 00:00:00,0.0,28.16,37.36,2.39,168.5,0.0,0.074,0.0
2023-10-07 09:00:00,0.0,15.03,55.73,1.56,20.95,216.9,0.158,2.007
2023-10-07 09:00:00,0.0,15.03,55.73,1.56,20.95,216.9,0.158,2.007
2023-10-07 10:00:00,0.0,16.64,47.44,1.73,12.09,509.4,0.322,2.565
2023-10-07 10:00:00,0.0,16.64,47.44,1.73,12.09,509.4,0.322,2.565
2025-05-12 09:00:00,0.0,71.99,112.2,0.254,302.0,537.1,1.052,1.884
2025-05-12 09:00:00,0.0,71.99,112.2,0.254,302.0,537.1,1.052,1.884
2025-07-14 11:00:00,0.0,72.06,112.3,1.979,177.6,541.1,0.842,2.548
2025-07-14 11:00:00,0.0,72.06,112.3,1.979,177.6,541.1,0.842,2.548
2025-07-14 12:00:00,0.0,72.1,112.3,1.828,183.9,588.7,0.913,2.668
2025-07-14 12:00:00,0.0,72.1,112.3,1.828,183.9,588.7,0.913,2.668
2025-07-14 13:00:00,0.0,72.08,112.1,1.868,195.7,397.8,0.553,2.613
2025-07-14 13:00:00,0.0,72.08,112.1,1.868,195.7,397.8,0.553,2.613
2025-07-14 14:00:00,1.016,71.86,112.1,0.427,207.9,217.2,0.252,2.392
2025-07-14 14:00:00,1.016,71.86,112.1,0.427,207.9,217.2,0.252,2.392
2025-07-14 15:00:00,0.0,71.96,112.2,0.233,198.3,448.8,0.823,2.015
2025-07-14 15:00:00,0.0,71.96,112.2,0.233,198.3,448.8,0.823,2.015
2025-07-14 16:00:00,0.0,72.08,112.3,0.499,174.7,412.4,0.907,1.527
2025-07-14 16:00:00,0.0,72.08,112.3,0.499,174.7,412.4,0.907,1.527
2025-07-14 17:00:00,0.0,72.1,112.3,0.528,189.8,427.0,0.941,0.981
2025-07-14 17:00:00,0.0,72.1,112.3,0.528,189.8,427.0,0.941,0.981
2025-07-14 18:00:00,0.0,72.12,112.3,0.945,182.7,354.3,0.86,0.447
2025-07-14 18:00:00,0.0,72.12,112.3,0.945,182.7,354.3,0.86,0.447
2025-07-14 19:00:00,0.0,72.07,112.2,0.512,160.2,85.2,0.608,0.059
2025-07-14 19:00:00,0.0,72.07,112.2,0.512,160.2,85.2,0.608,0.059
2025-07-14 20:00:00,0.0,71.97,112.1,0.0,0.0,6.72,0.301,0.0
2025-07-14 20:00:00,0.0,71.97,112.1,0.0,0.0,6.72,0.301,0.0
2025-07-14 21:00:00,0.0,71.94,112.1,0.013,105.3,1.651,0.297,0.0
2025-07-14 21:00:00,0.0,71.94,112.1,0.013,105.3,1.651,0.297,0.0
2025-07-14 22:00:00,0.0,71.92,112.1,0.358,133.5,1.653,0.286,0.0
2025-07-14 22:00:00,0.0,71.92,112.1,0.358,133.5,1.653,0.286,0.0
2025-07-14 23:00:00,0.0,71.95,112.1,1.307,141.4,1.653,0.26,0.0
2025-07-14 23:00:00,0.0,71.95,112.1,1.307,141.4,1.653,0.26,0.0
2025-07-15 00:00:00,0.0,71.94,112.1,2.122,143.3,1.654,0.239,0.0
2025-07-15 00:00:00,0.0,71.94,112.1,2.122,143.3,1.654,0.239,0.0
2025-07-15 01:00:00,0.0,71.91,112.1,2.343,157.9,1.651,0.233,0.0
2025-07-15 01:00:00,0.0,71.91,112.1,2.343,157.9,1.651,0.233,0.0
2025-07-15 02:00:00,0.0,71.9,112.1,2.521,171.6,1.65,0.228,0.0
2025-07-15 02:00:00,0.0,71.9,112.1,2.521,171.6,1.65,0.228,0.0
2025-07-15 03:00:00,0.0,71.9,112.1,2.211,174.5,1.651,0.236,0.0
2025-07-15 03:00:00,0.0,71.9,112.1,2.211,174.5,1.651,0.236,0.0
2025-07-15 04:00:00,0.0,71.9,112.1,2.036,181.0,1.651,0.24,0.0
