Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2017-06-23 00:00:00,0.0,0.078,0.123,0.169,0.232,30.35,30.57,30.58,28.84,0
2017-06-23 00:00:00,0.0,0.078,0.123,0.169,0.232,30.35,30.57,30.58,28.84,0
2017-07-05 11:00:00,0.0,0.116,0.173,0.239,0.235,29.1,29.04,29.3,28.8,0
2017-07-05 11:00:00,0.0,0.116,0.173,0.239,0.235,29.1,29.04,29.3,28.8,0
2017-07-05 12:00:00,0.0,0.116,0.171,0.237,0.235,29.62,29.25,29.28,28.8,0
2017-07-05 12:00:00,0.0,0.116,0.171,0.237,0.235,29.62,29.25,29.28,28.8,0
2017-07-05 13:00:00,0.0,0.115,0.17,0.234,0.235,30.28,29.6,29.32,28.79,0
2017-07-05 13:00:00,0.0,0.115,0.17,0.234,0.235,30.28,29.6,29.32,28.79,0
2017-07-05 14:00:00,0.0,0.114,0.168,0.231,0.234,30.92,30.02,29.4,28.79,0
2017-07-05 14:00:00,0.0,0.114,0.168,0.231,0.234,30.92,30.02,29.4,28.79,0
2017-07-05 14:00:00,0.0,0.114,0.168,0.231,0.234,30.92,30.02,29.4,28.79,0
2017-07-05 15:00:00,0.0,0.113,0.167,0.229,0.234,31.46,30.44,29.55,28.78,0
2017-07-05 15:00:00,0.0,0.113,0.167,0.229,0.234,31.46,30.44,29.55,28.78,0
2017-07-05 15:00:00,0.0,0.113,0.167,0.229,0.234,31.46,30.44,29.55,28.78,0
2017-07-05 16:00:00,0.0,0.112,0.166,0.227,0.234,31.76,30.8,29.76,28.78,0
2017-07-05 16:00:00,0.0,0.112,0.166,0.227,0.234,31.76,30.8,29.76,28.78,0
2017-07-05 16:00:00,0.0,0.112,0.166,0.227,0.234,31.76,30.8,29.76,28.78,0
2017-07-05 17:00:00,0.0,0.111,0.165,0.226,0.234,31.87,31.03,29.96,28.76,0
2017-07-05 17:00:00,0.0,0.111,0.165,0.226,0.234,31.87,31.03,29.96,28.76,0
2017-07-05 17:00:00,0.0,0.111,0.165,0.226,0.234,31.87,31.03,29.96,28.76,0
