Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2017-06-23 00:00:00,0.0,0.0,0.159,0.139,0.162,32.23,33.14,33.09,30.26,2147483648
2017-06-23 00:00:00,0.0,0.0,0.159,0.139,0.162,32.23,33.14,33.09,30.26,2147483648
2018-04-27 14:00:00,0.0,0.001,0.219,0.144,0.172,22.11,21.03,19.95,20.41,2147483648
2018-04-27 14:00:00,0.0,0.001,0.219,0.144,0.172,22.11,21.03,19.95,20.41,2147483648
2018-04-27 15:00:00,0.0,0.001,0.219,0.144,0.171,22.61,21.5,20.2,20.4,2147614720
2018-04-27 15:00:00,0.0,0.001,0.219,0.144,0.171,22.61,21.5,20.2,20.4,2147614720
2018-04-27 16:00:00,0.0,0.001,0.219,0.144,0.171,23.11,21.98,20.45,20.37,2147614720
2018-04-27 16:00:00,0.0,0.001,0.219,0.144,0.171,23.11,21.98,20.45,20.37,2147614720
2018-04-27 17:00:00,0.0,0.001,0.22,0.145,0.171,23.28,22.34,20.69,20.34,2147614720
2018-04-27 17:00:00,0.0,0.001,0.22,0.145,0.171,23.28,22.34,20.69,20.34,2147614720
2025-05-12 08:15:00,0.0,0.002,0.266,0.239,0.254,18.32,20.57,22.48,23.51,2147483648
2025-05-12 08:15:00,0.0,0.002,0.266,0.239,0.254,18.32,20.57,22.48,23.51,2147483648
2025-05-12 08:30:00,0.0,0.002,0.266,0.238,0.254,18.54,20.53,22.43,23.51,2147483648
2025-05-12 08:30:00,0.0,0.002,0.266,0.238,0.254,18.54,20.53,22.43,23.51,2147483648
2025-05-12 08:45:00,0.0,0.002,0.266,0.237,0.254,18.82,20.5,22.37,23.49,2147483648
2025-05-12 08:45:00,0.0,0.002,0.266,0.237,0.254,18.82,20.5,22.37,23.49,2147483648
2025-05-12 09:00:00,0.0,0.002,0.266,0.238,0.254,19.16,20.48,22.31,23.5,2147483648
2025-05-12 09:00:00,0.0,0.002,0.266,0.238,0.254,19.16,20.48,22.31,23.5,2147483648
2025-07-14 10:15:00,0.0,0.003,0.353,0.317,0.335,26.87,26.36,26.76,27.37,2147483648
2025-07-14 10:15:00,0.0,0.003,0.353,0.317,0.335,26.87,26.36,26.76,27.37,2147483648
2025-07-14 10:30:00,0.0,0.003,0.352,0.316,0.335,27.12,26.41,26.74,27.38,2147483648
2025-07-14 10:30:00,0.0,0.003,0.352,0.316,0.335,27.12,26.41,26.74,27.38,2147483648
2025-07-14 10:45:00,0.0,0.003,0.352,0.316,0.335,27.45,26.46,26.73,27.38,2147483648
2025-07-14 10:45:00,0.0,0.003,0.352,0.316,0.335,27.45,26.46,26.73,27.38,2147483648
2025-07-14 11:00:00,0.0,0.003,0.352,0.316,0.334,27.77,26.56,26.75,27.36,2147483648
2025-07-14 11:00:00,0.0,0.003,0.352,0.316,0.334,27.77,26.56,26.75,27.36,2147483648
2025-07-14 11:15:00,0.0,0.003,0.352,0.316,0.334,28.1,26.61,26.74,27.35,2147483648
2025-07-14 11:15:00,0.0,0.003,0.352,0.316,0.334,28.1,26.61,26.74,27.35,2147483648
2025-07-14 11:30:00,0.0,0.003,0.352,0.316,0.334,28.43,26.7,26.76,27.35,2147483648
2025-07-14 11:30:00,0.0,0.003,0.352,0.316,0.334,28.43,26.7,26.76,27.35,2147483648
2025-07-14 11:45:00,0.0,0.003,0.351,0.315,0.334,28.67,26.81,26.78,27.35,2147483648
2025-07-14 11:45:00,0.0,0.003,0.351,0.315,0.334,28.67,26.81,26.78,27.35,2147483648
2025-07-14 12:00:00,0.0,0.003,0.35,0.315,0.334,28.93,26.92,26.78,27.34,2147483648
