Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2016-10-19 16:00:00,0.0,0.172,0.269,0.003,0.003,30.76,29.13,27.19,26.96,8912896
2016-10-19 16:00:00,0.0,0.172,0.269,0.003,0.003,30.76,29.13,27.19,26.96,8912896
2016-10-19 17:00:00,0.0,0.172,0.27,0.003,0.003,30.83,29.59,27.51,26.96,8912896
2016-10-19 17:00:00,0.0,0.172,0.27,0.003,0.003,30.83,29.59,27.51,26.96,8912896
2016-10-19 18:00:00,0.0,0.171,0.27,0.003,0.003,30.57,29.77,27.82,26.95,8912896
2016-10-19 18:00:00,0.0,0.171,0.27,0.003,0.003,30.57,29.77,27.82,26.95,8912896
2016-10-19 19:00:00,0.0,0.17,0.269,0.003,0.003,30.02,29.6,28.07,26.96,8912896
2016-10-19 19:00:00,0.0,0.17,0.269,0.003,0.003,30.02,29.6,28.07,26.96,8912896
2016-10-19 20:00:00,0.0,0.168,0.267,0.003,0.003,29.28,29.21,28.21,26.98,8912896
2016-10-19 20:00:00,0.0,0.168,0.267,0.003,0.003,29.28,29.21,28.21,26.98,8912896
2016-10-19 21:00:00,0.0,0.166,0.265,0.003,0.003,28.45,28.71,28.26,27.01,8912896
2016-10-19 21:00:00,0.0,0.166,0.265,0.003,0.003,28.45,28.71,28.26,27.01,8912896
2016-10-19 22:00:00,0.0,0.164,0.263,0.003,0.003,27.71,28.18,28.22,27.04,8912896
2016-10-19 22:00:00,0.0,0.164,0.263,0.003,0.003,27.71,28.18,28.22,27.04,8912896
2016-10-19 23:00:00,0.0,0.163,0.261,0.003,0.003,27.07,27.68,28.11,27.08,8912896
2016-10-19 23:00:00,0.0,0.163,0.261,0.003,0.003,27.07,27.68,28.11,27.08,8912896
2016-10-20 00:00:00,0.0,0.161,0.26,0.003,0.003,26.52,27.23,27.95,27.11,8912896
2016-10-20 00:00:00,0.0,0.161,0.26,0.003,0.003,26.52,27.23,27.95,27.11,8912896
2016-10-20 01:00:00,0.0,0.16,0.258,0.003,0.003,26.13,26.84,27.77,27.14,8912896
2016-10-20 01:00:00,0.0,0.16,0.258,0.003,0.003,26.13,26.84,27.77,27.14,8912896
2016-10-20 02:00:00,0.0,0.16,0.257,0.003,0.003,25.79,26.52,27.58,27.18,8912896
2016-10-20 02:00:00,0.0,0.16,0.257,0.003,0.003,25.79,26.52,27.58,27.18,8912896
2016-10-20 03:00:00,0.0,0.159,0.256,0.003,0.003,25.48,26.24,27.4,27.2,8912896
2016-10-20 03:00:00,0.0,0.159,0.256,0.003,0.003,25.48,26.24,27.4,27.2,8912896
2016-10-20 04:00:00,0.0,0.158,0.256,0.003,0.003,25.2,25.97,27.23,27.21,8912896
2016-10-20 04:00:00,0.0,0.158,0.256,0.003,0.003,25.2,25.97,27.23,27.21,8912896
2016-10-20 05:00:00,0.0,0.158,0.255,0.003,0.003,24.97,25.73,27.05,27.22,8912896
2016-10-20 05:00:00,0.0,0.158,0.255,0.003,0.003,24.97,25.73,27.05,27.22,8912896
2016-10-20 06:00:00,0.0,0.157,0.254,0.003,0.003,24.73,25.52,26.87,27.24,8912896
2016-10-20 06:00:00,0.0,0.157,0.254,0.003,0.003,24.73,25.52,26.87,27.24,8912896
