Date,Ppt,Tair,RH,Wind speed,Wind direction,Srad,ETos,Rso
2017-06-23 00:00:00,0.0,27.28,52.45,2.485,165.4,0.0,0.067,0.0
2017-06-23 00:00:00,0.0,27.28,52.45,2.485,165.4,0.0,0.067,0.0
2023-10-07 10:00:00,0.0,16.43,49.36,3.683,14.91,588.1,0.364,2.565
2023-10-07 10:00:00,0.0,16.43,49.36,3.683,14.91,588.1,0.364,2.565
2025-05-12 09:00:00,0.0,23.78,35.17,0.532,315.0,565.8,0.386,2.64
2025-05-12 09:00:00,0.0,23.78,35.17,0.532,315.0,565.8,0.386,2.64
2025-07-14 11:00:00,0.0,28.54,63.92,3.201,189.9,711.0,0.542,3.345
2025-07-14 11:00:00,0.0,28.54,63.92,3.201,189.9,711.0,0.542,3.345
2025-07-14 12:00:00,0.0,29.75,65.82,3.208,179.0,775.5,0.605,3.487
2025-07-14 12:00:00,0.0,29.75,65.82,3.208,179.0,775.5,0.605,3.487
2025-07-14 13:00:00,0.0,29.55,73.16,3.079,196.1,616.4,0.501,3.414
2025-07-14 13:00:00,0.0,29.55,73.16,3.079,196.1,616.4,0.501,3.414
2025-07-14 14:00:00,0.0,25.82,71.11,2.986,228.3,468.8,0.355,3.146
2025-07-14 14:00:00,0.0,25.82,71.11,2.986,228.3,468.8,0.355,3.146
2025-07-14 15:00:00,0.0,27.74,62.19,2.055,232.6,776.1,0.561,2.662
2025-07-14 15:00:00,0.0,27.74,62.19,2.055,232.6,776.1,0.561,2.662
2025-07-14 16:00:00,0.0,28.76,66.52,1.452,207.8,502.0,0.377,2.028
2025-07-14 16:00:00,0.0,28.76,66.52,1.452,207.8,502.0,0.377,2.028
2025-07-14 17:00:00,0.0,29.23,66.41,1.606,179.1,371.4,0.278,1.298
2025-07-14 17:00:00,0.0,29.23,66.41,1.606,179.1,371.4,0.278,1.298
2025-07-14 18:00:00,0.0,29.06,61.8,1.075,173.1,255.3,0.178,0.565
2025-07-14 18:00:00,0.0,29.06,61.8,1.075,173.1,255.3,0.178,0.565
2025-07-14 19:00:00,0.0,28.93,75.56,0.527,165.3,143.1,0.076,0.054
2025-07-14 19:00:00,0.0,28.93,75.56,0.527,165.3,143.1,0.076,0.054
