Station,Dataset,Feature,Gap_Start,Gap_End,Hours_Affected
CB04,MET,Tair,2024-05-27 17:00:00,2026-02-24 15:00:00,15311
CB27,SOIL,T_10,2019-10-24 08:00:00,2019-10-24 08:00:00,1
CB33,SOIL,T_20,2024-12-17 07:00:00,2024-12-17 07:00:00,1
FD03,MET,Tair,2024-06-20 03:00:00,2024-06-20 03:00:00,1
FD03,MET,Tair,2024-12-14 02:00:00,2024-12-14 02:00:00,1
FD03,MET,Tair,2024-12-28 19:00:00,2024-12-28 19:00:00,1
FD03,MET,Tair,2025-01-01 21:00:00,2025-02-18 15:00:00,1147
FD03,MET,Tair,2025-02-18 18:00:00,2025-02-21 18:00:00,73
FD03,MET,Tair,2025-02-22 04:00:00,2025-02-23 11:00:00,32
FD03,MET,Tair,2025-02-23 13:00:00,2025-02-23 13:00:00,1
FD03,MET,Tair,2025-02-24 04:00:00,2025-02-24 09:00:00,6
FD03,MET,Tair,2025-03-26 21:00:00,2025-03-27 00:00:00,4
FD03,MET,Tair,2025-03-27 17:00:00,2025-03-27 19:00:00,3
FD03,MET,Tair,2025-05-08 03:00:00,2025-07-06 01:00:00,1415
FD03,MET,Tair,2025-07-25 02:00:00,2025-07-25 06:00:00,5
FD03,MET,Tair,2025-07-25 12:00:00,2025-07-25 18:00:00,7
FD03,MET,Tair,2025-07-25 21:00:00,2025-07-26 08:00:00,12
FD03,MET,Tair,2025-07-26 12:00:00,2025-07-28 10:00:00,47
FD03,MET,Tair,2025-07-28 18:00:00,2025-07-28 22:00:00,5
FD03,MET,Tair,2025-07-31 18:00:00,2025-08-01 07:00:00,14
FD03,MET,Tair,2025-08-01 21:00:00,2025-08-02 06:00:00,10
FD03,MET,Tair,2025-08-03 20:00:00,2025-08-04 07:00:00,12
FD03,MET,Tair,2025-08-07 18:00:00,2025-08-08 09:00:00,16
FD03,MET,Tair,2025-08-08 15:00:00,2025-08-09 08:00:00,18
FD03,MET,Tair,2025-08-09 20:00:00,2025-08-09 20:00:00,1
FD03,MET,Tair,2025-08-09 22:00:00,2025-08-16 15:00:00,162
FD03,MET,Tair,2025-08-17 19:00:00,2025-08-31 09:00:00,327
FD03,MET,Tair,2025-09-01 19:00:00,2025-09-08 14:00:00,164
FD03,MET,Tair,2025-09-08 16:00:00,2026-02-24 15:00:00,4056
FD12,SOIL,T_5,2015-08-29 15:00:00,2015-08-29 15:00:00,1
FD22,SOIL,T_20,2016-11-21 17:00:00,2016-11-21 17:00:00,1
WC05,MET,Tair,2018-04-17 08:00:00,2018-04-17 12:00:00,5
WC05,MET,Tair,2018-04-17 14:00:00,2018-04-17 18:00:00,5
WC05,MET,Tair,2018-04-19 08:00:00,2018-04-19 18:00:00,11
WC05,MET,Tair,2018-04-22 09:00:00,2018-04-22 12:00:00,4
WC05,MET,Tair,2018-04-22 14:00:00,2018-04-22 18:00:00,5
WC05,MET,Tair,2018-04-25 08:00:00,2018-04-25 13:00:00,6
WC05,MET,Tair,2018-04-26 08:00:00,2018-04-26 12:00:00,5
WC05,MET,Tair,2018-04-26 14:00:00,2018-04-26 18:00:00,5
WC05,MET,Tair,2018-04-29 08:00:00,2018-04-29 18:00:00,11
WC05,MET,Tair,2018-05-02 09:00:00,2018-05-02 17:00:00,9
WC05,MET,Tair,2018-05-06 08:00:00,2018-05-06 12:00:00,5
WC05,MET,Tair,2018-05-06 14:00:00,2018-05-06 18:00:00,5
WC05,MET,Tair,2018-05-08 08:00:00,2018-05-08 18:00:00,11
WC05,MET,Tair,2018-05-10 11:00:00,2018-05-10 12:00:00,2
WC05,MET,Tair,2018-05-13 08:00:00,2018-05-13 18:00:00,11
