Review ID,Station,Parameter,Gap Class,Start,End,Hours,Method,Automated QC Reason,Review Jump,Screening Limit,Severity Ratio,Decision,Review Basis,Max-Jump Wind Speed,Donor Correlation,Reviewer,Review Date,Observed Low-Wind P99,Batch
1,FD03,Wind direction,verylong,2021-02-12 05:00:00,2022-07-12 12:00:00,12368,xgboost,internal_hourly_jump,179.60903930664062,120.0,1.4967419942220053,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 0.47 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,0.4724656326321947,,Zun Cao / Codex assisted audit,2026-08-07,167.0,targeted_wind_direction_2026-08-07
2,WC05,RH,verylong,2019-02-19 03:00:00,2019-07-19 11:00:00,3609,donor_regression,internal_hourly_jump,43.62599735686263,30.0,1.454199911895421,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.979).,,0.9792219075211538,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
3,CB06,RH,short,2022-05-01 00:00:00,2022-05-01 00:00:00,1,linear,boundary_jump,43.62500000000001,30.0,1.4541666666666668,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
4,CB04,Wind direction,long,2024-11-13 03:00:00,2024-12-10 18:00:00,664,random_forest,internal_hourly_jump,174.22074292742877,120.0,1.4518395243952398,accepted_with_caveat,The 664-hour Random Forest fill is mean-reverted; retained because boundaries are smooth and the flagged jump occurred under low wind within the station source-observed low-wind range.,1.38957417011261,,Zun Cao / Codex assisted audit,2026-08-07,160.3,targeted_wind_direction_2026-08-07
5,CB06,RH,verylong,2023-01-30 00:00:00,2023-03-06 06:00:00,847,donor_regression,internal_hourly_jump,41.25380633367316,30.0,1.3751268777891057,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.994).,,0.9936952227799124,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
6,WC05,Wind direction,short,2018-04-13 20:00:00,2018-04-14 00:00:00,5,random_forest,internal_hourly_jump,164.95292597698148,120.0,1.3746077164748456,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 2.51 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,2.5086467266082764,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
7,FD03,RH,long,2020-11-21 03:00:00,2020-12-19 06:00:00,676,donor_regression,internal_hourly_jump,41.159327499871274,30.0,1.3719775833290424,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.997).,,0.9972724814099692,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
8,WC05,Wind direction,short,2024-02-09 19:00:00,2024-02-10 08:00:00,14,random_forest,internal_hourly_jump,163.62993601253993,120.0,1.3635828001044994,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.69 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.691371202468872,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
9,FD03,RH,verylong,2021-02-10 20:00:00,2022-07-12 12:00:00,12401,donor_regression,internal_hourly_jump,40.64089299308178,30.0,1.354696433102726,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.993).,,0.9934713787412898,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
10,WC05,Wind direction,short,2024-01-26 22:00:00,2024-01-27 07:00:00,10,random_forest,internal_hourly_jump,161.42050577811045,120.0,1.3451708814842538,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.35 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.3527015447616575,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
11,CB04,Wind direction,medium,2023-08-29 01:00:00,2023-09-01 22:00:00,94,random_forest,internal_hourly_jump,160.44916609931238,120.0,1.3370763841609365,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.75 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.748237371444702,,Zun Cao / Codex assisted audit,2026-08-07,160.3,targeted_wind_direction_2026-08-07
12,WC05,Wind direction,short,2018-04-26 19:00:00,2018-04-27 08:00:00,14,random_forest,internal_hourly_jump,158.59497745708933,120.0,1.321624812142411,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.32 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.317318558692932,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
13,FD03,RH,long,2021-01-24 10:00:00,2021-02-01 19:00:00,202,donor_regression,internal_hourly_jump,38.993084003388994,30.0,1.2997694667796331,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.856).,,0.8561780292655924,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
14,WC05,Wind direction,short,2024-02-05 21:00:00,2024-02-06 07:00:00,11,random_forest,internal_hourly_jump,155.2864926947296,120.0,1.2940541057894133,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.32 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.3150824308395386,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
15,WC05,RH,medium,2019-10-02 22:00:00,2019-10-03 21:00:00,24,xgboost,internal_hourly_jump,38.39243975485097,30.0,1.2797479918283656,accepted_with_caveat,The 24-hour XGBoost shape is physically plausible but agrees weakly with the donor median; retain with model-selection caveat.,,0.3634696660640322,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
16,FD02,RH,short,2017-02-24 08:00:00,2017-02-24 08:00:00,1,linear,boundary_jump,38.175,30.0,1.2725,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
17,WC05,Wind direction,short,2018-05-15 18:00:00,2018-05-16 08:00:00,15,random_forest,internal_hourly_jump,150.50634277387957,120.0,1.254219523115663,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 2.60 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,2.595031976699829,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
18,FD03,Srad,verylong,2021-02-12 05:00:00,2022-07-12 12:00:00,12368,donor_regression,internal_hourly_jump,617.6622156644754,500.0,1.2353244313289509,accepted_for_current_pipeline,Fill preserves the solar diurnal/seasonal cycle and closely follows donors (r=0.999).,,0.9993637980560754,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
19,CB06,RH,short,2022-02-09 03:00:00,2022-02-09 03:00:00,1,linear,boundary_jump,36.905,30.0,1.2301666666666666,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
20,CB04,Wind direction,short,2024-07-06 17:00:00,2024-07-06 18:00:00,2,random_forest,internal_hourly_jump,144.93028977404862,120.0,1.2077524147837384,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.70 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.700724720954895,,Zun Cao / Codex assisted audit,2026-08-07,160.3,targeted_wind_direction_2026-08-07
21,WC05,Wind direction,short,2024-02-10 20:00:00,2024-02-11 08:00:00,13,random_forest,internal_hourly_jump,142.36515222899385,120.0,1.1863762685749488,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.91 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.9142223596572876,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
22,CB06,RH,short,2022-02-28 09:00:00,2022-02-28 09:00:00,1,linear,boundary_jump,35.57000000000001,30.0,1.1856666666666669,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
23,CB06,RH,verylong,2023-04-09 00:00:00,2023-08-03 10:00:00,2795,donor_regression,internal_hourly_jump,35.27864528938067,30.0,1.1759548429793556,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.996).,,0.9957049391452096,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
24,CB06,RH,short,2025-03-19 04:00:00,2025-03-19 04:00:00,1,linear,boundary_jump,34.265,30.0,1.1421666666666668,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
25,FD03,RH,verylong,2025-01-01 14:00:00,2025-02-18 15:00:00,1154,donor_regression,internal_hourly_jump,34.01992218348112,30.0,1.1339974061160374,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.992).,,0.9915601550190488,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
26,CB06,RH,short,2022-03-02 09:00:00,2022-03-02 09:00:00,1,linear,boundary_jump,33.99,30.0,1.133,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
27,CB06,RH,short,2022-02-09 07:00:00,2022-02-09 07:00:00,1,linear,boundary_jump,33.385000000000005,30.0,1.1128333333333336,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
28,WC05,Wind direction,short,2024-02-23 19:00:00,2024-02-24 07:00:00,13,random_forest,internal_hourly_jump,133.05592672458062,120.0,1.1087993893715051,accepted_for_current_pipeline,Circular direction jump occurred under low wind (<= 1.28 m/s) and is within the station source-observed low-wind distribution; boundaries and physical range are plausible.,1.2828484773635864,,Zun Cao / Codex assisted audit,2026-08-07,161.79999999999995,targeted_wind_direction_2026-08-07
29,CB06,RH,medium,2023-01-05 09:00:00,2023-01-06 23:00:00,39,xgboost,internal_hourly_jump,33.13673400878906,30.0,1.1045578002929688,accepted_for_current_pipeline,"Model fill is bounded, connects the observed edges, and has a plausible RH cycle (donor r=0.924).",,0.9242921462845252,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
30,CB06,RH,short,2022-03-03 11:00:00,2022-03-03 11:00:00,1,linear,boundary_jump,32.865,30.0,1.0955,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
31,FD03,Tair,verylong,2025-05-07 21:00:00,2025-07-06 02:00:00,1422,donor_regression,internal_hourly_jump,8.760935414264491,8.0,1.0951169267830614,accepted_for_current_pipeline,Donor fill preserves the temperature cycle and tracks the network after Tair sensor-QC repair (r=1.000).,,1.0,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
32,CB06,RH,short,2022-05-01 03:00:00,2022-05-01 03:00:00,1,linear,boundary_jump,32.605,30.0,1.086833333333333,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
33,FD02,RH,short,2014-12-18 13:00:00,2014-12-18 13:00:00,1,linear,boundary_jump,32.58,30.0,1.086,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
34,WC05,RH,short,2019-10-15 21:00:00,2019-10-15 21:00:00,1,linear,boundary_jump,32.44,30.0,1.0813333333333333,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
35,FD02,RH,short,2019-04-11 06:00:00,2019-04-11 06:00:00,1,linear,boundary_jump,32.29,30.0,1.0763333333333334,accepted_for_current_pipeline,One-hour interpolation lies between observed boundaries; adjacent target and donor context support a rapid RH transition.,,,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
36,FD03,RH,long,2020-10-26 10:00:00,2020-11-21 01:00:00,616,donor_regression,internal_hourly_jump,32.053931086951124,30.0,1.0684643695650375,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.992).,,0.9921419941308058,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
37,FD03,RH,medium,2021-02-06 11:00:00,2021-02-08 10:00:00,48,xgboost,internal_hourly_jump,31.96987330659907,30.0,1.0656624435533024,accepted_with_caveat,XGBoost is biased high relative to the donor median but connects two high-RH boundaries and remains physically plausible.,,0.9200967465905006,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
38,CB06,RH,long,2021-02-05 22:00:00,2021-02-13 19:00:00,190,donor_regression,internal_hourly_jump,31.952551877333256,30.0,1.0650850625777752,accepted_for_current_pipeline,Donor fill preserves RH weather/diurnal structure and tracks the network (r=0.998).,,0.9977099856766704,Zun Cao / Codex assisted audit,2026-08-04,,full_model_fill_2026-08-04
