"TOA5","CR300_18_TRACER2","CR300","26682","CR300.Std.10.05","CPU:CR300_18_TRACER2.CR300","42702","SubHourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH_Avg","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Avg","WVc","WVc","Avg","ETXs","Rso"
"2022-03-14 08:00:00",0,0,"NAN","NAN",0,0,0,"NAN",0.761
"2022-03-14 11:35:00",1,0,"NAN","NAN",0,0,"NAN","NAN",1.455
"2022-03-14 11:40:00",2,0,"NAN","NAN",0,0,"NAN","NAN",1.456
"2022-03-14 11:45:00",3,0,20.67,76.32,5.523,62.97,"NAN","NAN",3.069
"2022-03-14 11:50:00",4,0,20.94,75.72,5.183,131.2,908,0.124,3.069
"2022-03-14 11:55:00",5,0,20.89,75.93,5.222,121.4,601.4,0.11,3.069
"2022-03-14 12:00:00",6,0,20.66,76.9,5.285,122.2,617.3,0.107,3.067
"2022-03-14 12:05:00",7,0,20.76,76.85,4.875,116.3,467,0.097,3.063
"2022-03-14 12:10:00",8,0,21.12,76.18,5.385,117.2,936,0.126,3.055
"2022-03-14 12:15:00",9,0,21.59,74.41,4.868,126,641.9,0.116,3.047
"2022-03-14 12:20:00",10,0,21.32,74.62,4.913,123,487.5,0.108,3.041
"2022-03-14 12:25:00",11,0,21.12,75.8,4.45,123,539.2,0.1,3.03
"2022-03-14 12:30:00",12,0,21.22,75.55,5.498,114,615.3,0.116,3.017
"2022-03-14 12:35:00",13,0,21.39,75.49,4,109.2,617.7,0.1,3.001
"2022-03-14 12:40:00",14,0,21.67,75.29,4.293,110.2,820,0.114,2.983
"2022-03-14 12:45:00",15,0,21.7,74.86,4.742,119.2,898,0.124,2.966
"2022-03-14 12:50:00",16,0,21.91,75,4.848,125.8,1011,0.131,2.945
"2022-03-14 12:55:00",17,0,22,74.49,5.203,115.4,1035,0.138,2.924
"2022-03-14 13:00:00",18,0,21.92,74.54,5.203,108.9,850,0.129,2.902
"2022-03-14 13:05:00",19,0,21.64,75.36,4.36,116.6,418.7,0.096,2.88
"2022-03-14 13:10:00",20,0,21.42,76.17,4.815,126.1,456.5,0.1,2.854
"2022-03-14 13:15:00",21,0,21.06,76.98,5.033,112,256.6,0.09,2.829
"2022-03-14 13:20:00",22,0,20.83,78.06,4.46,112.9,307.6,0.082,2.8
"2022-03-14 13:25:00",23,0,20.64,78.57,4.642,111.8,312.9,0.082,2.771
"2022-03-14 13:30:00",24,0,20.77,79.05,4.2,126.7,385.7,0.08,2.736
