"TOA5","CR300_18_TRACER2","CR300","26682","CR300.Std.10.05","CPU:CR300_18_TRACER2.CR300","42702","SubHourly_soil"
"TIMESTAMP","RECORD","Rain_mm_Tot","VWC_1_Avg","VWC_2_Avg","VWC_3_Avg","VWC_4_Avg","T_1_Avg","T_2_Avg","T_3_Avg","T_4_Avg","EC_1_Avg","EC_2_Avg","EC_3_Avg","EC_4_Avg","P_1_Avg","P_2_Avg","P_3_Avg","P_4_Avg","BattV_Min"
"TS","RN","mm","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","Deg C","Deg C","Deg C","Deg C","dS/m","dS/m","dS/m","dS/m","unitless","unitless","unitless","unitless","Volts"
"","","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2022-03-14 08:00:00",0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.36
"2022-03-14 11:35:00",1,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.66
"2022-03-14 11:40:00",2,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.63
"2022-03-14 11:45:00",3,0,0.406,0.405,0.453,0.528,15.36,14.4,13.36,14.11,0.864,0.751,0.838,1.737,25.58,25.49,31.22,43,13.63
"2022-03-14 11:50:00",4,0,0.406,0.405,0.453,0.526,15.38,14.45,13.34,14.1,0.866,0.747,0.847,1.752,25.57,25.45,31.16,42.82,13.63
"2022-03-14 11:55:00",5,0,0.406,0.405,0.453,0.526,15.44,14.5,13.35,14.13,0.868,0.75,0.845,1.753,25.55,25.5,31.17,42.69,13.63
"2022-03-14 12:00:00",6,0,0.406,0.405,0.453,0.526,15.56,14.56,13.38,14.13,0.868,0.75,0.846,1.748,25.55,25.5,31.17,42.75,13.63
"2022-03-14 12:05:00",7,0,0.406,0.405,0.453,0.525,15.6,14.64,13.38,14.14,0.868,0.751,0.848,1.759,25.55,25.49,31.15,42.61,13.57
"2022-03-14 12:10:00",8,0,0.406,0.405,0.453,0.525,15.64,14.67,13.41,14.13,0.867,0.751,0.849,1.756,25.56,25.49,31.15,42.65,13.57
"2022-03-14 12:15:00",9,0,0.406,0.405,0.453,0.525,15.73,14.74,13.41,14.11,0.869,0.754,0.849,1.759,25.54,25.47,31.15,42.62,13.58
"2022-03-14 12:20:00",10,0,0.405,0.405,0.453,0.525,15.73,14.78,13.42,14.11,0.87,0.754,0.847,1.758,25.46,25.47,31.16,42.63,13.58
"2022-03-14 12:25:00",11,0,0.405,0.405,0.453,0.525,15.78,14.8,13.43,14.15,0.869,0.755,0.849,1.758,25.47,25.46,31.14,42.63,13.58
