,Date,Ppt,Tair,RH,Windspeed,Winddirection,Srad
0,2014-10-01 00:00:00,0.0,22.13,80.7,1.429,203.2,0.0
1,2014-10-01 01:00:00,0.0,21.68,84.7,1.555,201.2,0.0
2,2014-10-01 02:00:00,0.0,22.21,89.2,2.288,193.1,0.0
3,2014-10-01 03:00:00,0.0,22.41,90.0,2.421,195.4,0.0
4,2014-10-01 04:00:00,0.0,22.3,92.6,1.738,191.3,0.0
5,2014-10-01 05:00:00,0.0,21.89,94.7,1.474,,0.0
6,2014-10-01 06:00:00,0.0,21.7,95.1,1.69,191.1,0.0
7,2014-10-01 07:00:00,0.0,21.6,92.3,1.061,187.8,11.09
8,2014-10-01 08:00:00,0.0,22.57,84.9,1.75,189.3,81.28
9,2014-10-01 09:00:00,0.0,23.95,78.72,2.183,197.8,256.53
10,2014-10-01 10:00:00,0.0,25.27,69.13,2.453,206.9,428.31
11,2014-10-01 11:00:00,0.0,26.67,62.93,2.279,208.3,602.83
12,2014-10-01 12:00:00,0.0,27.88,59.57,2.849,200.2,842.72
13,2014-10-01 13:00:00,0.0,29.14,55.21,,201.6,861.14
14,2014-10-01 14:00:00,0.0,30.24,51.62,,203.8,817.34
15,2014-10-01 15:00:00,0.0,30.94,50.47,,192.9,707.13
16,2014-10-01 16:00:00,0.0,31.25,49.92,2.352,192.1,539.91
17,2014-10-01 17:00:00,0.0,31.07,48.37,2.249,190.8,335.49
18,2014-10-01 18:00:00,0.0,29.97,55.34,,198.7,101.13
19,2014-10-01 19:00:00,0.0,28.05,64.12,,186.7,2.88
20,2014-10-01 20:00:00,0.0,26.41,66.66,,195.7,0.0
21,2014-10-01 21:00:00,0.0,25.89,67.14,,179.9,0.0
22,2014-10-01 22:00:00,0.0,,68.88,,184.0,0.0
23,2014-10-01 23:00:00,0.0,24.65,72.22,,191.8,0.0
24,2014-10-02 00:00:00,0.0,24.12,79.71,,194.2,0.0
25,2014-10-02 01:00:00,0.0,23.62,89.0,,199.1,0.0
26,2014-10-02 02:00:00,0.0,23.7,89.4,3.476,203.3,0.0
27,2014-10-02 03:00:00,0.0,23.86,90.7,3.354,207.6,0.0
28,2014-10-02 04:00:00,0.0,23.74,90.8,3.004,203.7,0.0
29,2014-10-02 05:00:00,0.0,23.59,89.1,,204.9,0.0
30,2014-10-02 06:00:00,0.0,23.43,90.8,2.855,205.3,0.0
31,2014-10-02 07:00:00,0.0,23.25,91.7,2.836,207.8,10.11
32,2014-10-02 08:00:00,0.0,24.22,84.9,1.598,193.7,123.14
33,2014-10-02 09:00:00,0.0,,74.41,,,339.66
34,2014-10-02 10:00:00,0.0,26.65,72.27,4.397,212.3,487.41
35,2014-10-02 11:00:00,0.0,27.7,68.88,4.835,212.7,719.99
36,2014-10-02 12:00:00,0.0,28.43,66.92,3.89,224.9,672.02
