Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2015-01-01 00:00:00,0.0,0.232,0.253,0.199,,2.6,4.05,8.15,,51
2015-01-01 01:00:00,0.0,0.232,0.253,0.199,,2.6,4.01,8.08,,51
2015-01-01 02:00:00,0.0,0.231,0.253,0.199,,2.59,3.97,8.03,,51
2015-01-01 03:00:00,0.0,0.232,0.254,0.199,,2.61,3.94,7.95,,51
2015-01-01 04:00:00,0.0,0.232,0.254,0.199,,2.64,3.93,7.9,,51
2015-01-01 05:00:00,0.0,0.232,0.253,0.199,,2.64,3.9,7.84,,17
2015-01-01 06:00:00,0.0,0.232,0.253,0.199,,2.58,3.89,7.78,,17
2015-01-01 07:00:00,0.0,0.232,0.253,0.199,,2.49,3.83,7.74,,17
2015-01-01 08:00:00,0.0,0.232,0.253,0.199,,2.45,3.78,7.69,,17
2015-01-01 09:00:00,0.0,0.233,0.253,0.199,,2.44,3.73,7.64,,1
2015-01-01 10:00:00,0.0,0.233,0.253,0.199,,2.52,3.73,7.59,,1
2015-01-01 11:00:00,0.0,0.233,0.253,0.199,,2.66,3.73,7.55,,1
2015-01-01 12:00:00,0.51,0.233,0.253,0.199,,3.03,3.83,7.5,,1
2015-01-01 13:00:00,0.25,0.234,0.253,0.199,,3.5,4.03,7.46,,1
2015-01-01 14:00:00,0.25,0.234,0.254,0.199,,3.81,4.27,7.43,,1
2015-01-01 15:00:00,0.0,0.234,0.254,0.199,,4.07,4.47,7.41,,1
2015-01-01 16:00:00,0.0,0.235,0.254,0.199,,4.2,4.65,7.4,,1
2015-01-01 17:00:00,0.0,0.235,0.254,0.199,,4.19,4.76,7.41,,1
2015-01-01 18:00:00,0.0,0.235,0.254,0.199,,4.06,4.79,7.42,,1
2015-01-01 19:00:00,0.0,0.235,0.254,0.199,,3.87,4.75,7.43,,1
2015-01-01 20:00:00,0.25,0.236,0.254,0.199,,3.73,4.67,7.44,,1
2015-01-01 21:00:00,0.0,0.236,0.254,0.199,,3.65,4.62,7.44,,1
2015-01-01 22:00:00,0.25,0.237,0.254,0.199,,3.58,4.57,7.44,,1
2015-01-01 23:00:00,0.0,0.237,0.254,0.199,,3.54,4.51,7.44,,1
