========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-08 12:00:00",0,0,33.16,36.49,1.191,168.2,990,0.503,3.594
"2022-06-08 13:00:00",1,0,34.3,29.99,0.745,189.3,1014,0.8,3.503
"2022-06-08 14:00:00",2,0,35.98,28.25,0.677,126.6,981,0.787,3.204
"2022-06-08 15:00:00",3,0,37.27,28.61,1.997,90.3,911,0.804,2.699
"2022-06-08 16:00:00",4,0,36.35,30.99,3.137,77.67,757.6,0.727,2.034
"2022-06-08 17:00:00",5,0,35.55,33.56,3.419,89.2,560.7,0.58,1.291
"2022-06-08 18:00:00",6,0,34.62,36.46,3.77,111.8,347,0.424,0.544
"2022-06-08 19:00:00",7,0,32.85,42.13,3.877,137.9,70.91,0.209,0.046
"2022-06-08 20:00:00",8,0,30.78,46.64,2.805,156.2,3.19,0.084,0
"2022-06-08 21:00:00",9,0,28.82,53.04,1.343,180.7,0,0.025,0
"2022-06-08 22:00:00",10,0,27.66,58.88,1.133,178.9,0,0.012,0
"2022-06-08 23:00:00",11,0,27.15,66.27,1.949,178.8,0,0.03,0
"2022-06-09 00:00:00",12,0,26.34,74.1,2.125,181.2,0,0.021,0
"2022-06-09 01:00:00",13,0,25.26,77.89,1.827,189.8,0,0.009,0
"2022-06-09 02:00:00",14,0,23.97,82.9,0.896,190,0,-0.01,0
"2022-06-09 03:00:00",15,0,22.86,86.3,0.263,197.2,0,-0.024,0
"2022-06-09 04:00:00",16,0,22.32,88.4,1.108,200.5,0,-0.012,0
"2022-06-09 05:00:00",17,0,22.44,88.8,0.973,200.5,0,-0.014,0.026
"2022-06-09 06:00:00",18,0,21.74,92.5,0.286,57.22,7.638,0.009,0.445
"2022-06-09 07:00:00",19,0,22.51,86.3,0.224,68.73,125,0.084,1.163
"2022-06-09 08:00:00",20,0,25.06,71.19,0.936,187.2,334,0.235,1.897
"2022-06-09 09:00:00",21,0,27.36,60.07,1.883,197.6,553.6,0.415,2.558
"2022-06-09 10:00:00",22,0,28.7,57.24,2.125,205.9,745.4,0.571,3.085
"2022-06-09 11:00:00",23,0,30.03,49.7,2.211,190,891,0.695,3.426
"2022-06-09 12:00:00",24,0,31.46,38.25,2.2,177.4,979,0.785,3.578
"2022-06-09 13:00:00",25,0,32.78,38.09,1.882,196.6,995,0.808,3.49
"2022-06-09 14:00:00",26,0,33.78,37.35,1.998,178.3,965,0.801,3.177
"2022-06-09 15:00:00",27,0,34.31,36.78,1.843,192,880,0.736,2.674
"2022-06-09 16:00:00",28,0,34.29,36.34,2.143,186.9,741.7,0.64,2.025
"2022-06-09 17:00:00",29,0,34.19,34.73,1.846,189.9,561.8,0.488,1.293
"2022-06-09 18:00:00",30,0,33.81,36.12,1.979,186.7,350.1,0.328,0.55
"2022-06-09 19:00:00",31,0,32.48,39.65,1.819,190.7,70.94,0.096,0.048
"2022-06-09 20:00:00",32,0,30.76,45.49,0.741,197.5,7.963,0.007,0
"2022-06-09 21:00:00",33,0,28.78,49.91,0.198,205.6,0,-0.028,0
"2022-06-09 22:00:00",34,0,27.6,52.61,0.3,202.7,0,-0.022,0
"2022-06-09 23:00:00",35,0,27.38,59.19,1.507,186.7,0,0.024,0
"2022-06-10 00:00:00",36,0,26.78,66.9,1.817,194,0,0.024,0
"2022-06-10 01:00:00",37,0,25.95,69.48,1.658,201.2,0,0.014,0
"2022-06-10 02:00:00",38,0,25.21,75.08,1.263,216.4,0,0.003,0
"2022-06-10 03:00:00",39,0,24.58,79.62,1.81,206.7,0,0.007,0
"2022-06-10 04:00:00",40,0,23.8,83.8,1.804,203.5,0,0.002,0
