========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:18
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2014-09-02 18:00:00,5.33,0.019,0.033,0.096,0.049,35.42,33.84,32.11,30.38,2281701376
2014-09-02 19:00:00,0.00,0.020,0.036,0.102,0.052,36.77,35.59,33.85,32.11,2281701376
2014-09-02 20:00:00,0.00,0.020,0.036,0.101,0.052,35.56,35.25,33.90,32.11,2281701376
2014-09-02 21:00:00,0.00,0.019,0.035,0.100,0.052,34.15,34.68,33.94,32.13,2281701376
2014-09-02 22:00:00,0.00,0.019,0.035,0.100,0.053,33.12,34.05,33.87,32.17,2281701376
2014-09-02 23:00:00,0.00,0.019,0.035,0.099,0.053,32.37,33.50,33.73,32.21,2281701376
2014-09-03 00:00:00,0.00,0.019,0.035,0.099,0.053,31.75,33.03,33.55,32.25,2281701376
2014-09-03 01:00:00,0.00,0.019,0.035,0.098,0.053,31.21,32.59,33.36,32.30,2281701376
2014-09-03 02:00:00,0.00,0.019,0.035,0.098,0.053,30.68,32.20,33.15,32.33,2281701376
2014-09-03 03:00:00,0.00,0.019,0.035,0.097,0.053,30.26,31.83,32.94,32.35,2281701376
2014-09-03 04:00:00,0.00,0.019,0.035,0.097,0.053,29.88,31.49,32.73,32.37,2281701376
2014-09-03 05:00:00,0.00,0.020,0.034,0.096,0.053,29.55,31.16,32.51,32.38,2281701376
2014-09-03 06:00:00,0.00,0.020,0.034,0.096,0.053,29.38,30.89,32.29,32.37,2281701376
2014-09-03 07:00:00,0.00,0.020,0.034,0.096,0.053,29.14,30.65,32.09,32.35,2281701376
2014-09-03 08:00:00,0.00,0.020,0.034,0.095,0.053,28.95,30.44,31.91,32.32,2281701376
2014-09-03 09:00:00,0.00,0.021,0.034,0.095,0.053,29.06,30.29,31.72,32.29,2281832448
2014-09-03 10:00:00,0.00,0.021,0.034,0.095,0.053,29.81,30.34,31.58,32.25,2281701376
2014-09-03 11:00:00,0.00,0.022,0.034,0.094,0.053,31.32,30.74,31.50,32.20,2281701376
2014-09-03 12:00:00,0.00,0.022,0.035,0.094,0.053,32.80,31.40,31.54,32.15,2281701376
2014-09-03 13:00:00,0.00,0.022,0.035,0.094,0.053,34.21,32.20,31.71,32.10,2281701376
2014-09-03 14:00:00,0.00,0.022,0.035,0.094,0.053,35.63,33.05,31.98,32.05,2281701376
2014-09-03 15:00:00,0.00,0.022,0.036,0.094,0.053,36.51,33.80,32.33,32.01,2281701376
2014-09-03 16:00:00,0.00,0.022,0.036,0.093,0.053,37.51,34.55,32.71,31.98,2281701376
2014-09-03 17:00:00,1.27,0.021,0.036,0.093,0.053,36.52,34.88,33.11,31.96,2281701376
2014-09-03 18:00:00,6.86,0.094,0.036,0.093,0.053,32.81,34.18,33.40,31.96,134217728
2014-09-03 19:00:00,0.00,0.133,0.038,0.093,0.053,29.76,32.26,33.34,31.98,134217728
2014-09-03 20:00:00,0.00,0.131,0.041,0.092,0.053,28.87,31.09,32.96,32.01,0
2014-09-03 21:00:00,0.00,0.129,0.045,0.092,0.053,28.12,30.29,32.52,32.04,0
2014-09-03 22:00:00,0.00,0.127,0.049,0.092,0.053,27.39,29.57,32.06,32.07,0
2014-09-03 23:00:00,0.00,0.125,0.052,0.092,0.053,26.82,28.94,31.63,32.07,0
2014-09-04 00:00:00,0.00,0.123,0.056,0.091,0.053,26.40,28.43,31.22,32.07,0
2014-09-04 01:00:00,0.00,0.122,0.059,0.091,0.053,26.04,28.01,30.84,32.05,0
2014-09-04 02:00:00,0.00,0.121,0.061,0.091,0.053,25.70,27.61,30.48,32.00,0
2014-09-04 03:00:00,0.00,0.119,0.062,0.091,0.052,25.43,27.27,30.14,31.94,0
2014-09-04 04:00:00,0.00,0.118,0.063,0.091,0.052,25.25,26.96,29.83,31.87,0
2014-09-04 05:00:00,0.00,0.117,0.063,0.090,0.052,25.18,26.75,29.54,31.78,0
2014-09-04 06:00:00,0.00,0.116,0.064,0.091,0.052,25.06,26.58,29.30,31.68,0
2014-09-04 07:00:00,0.00,0.115,0.064,0.090,0.052,24.85,26.38,29.06,31.58,0
2014-09-04 08:00:00,0.00,0.114,0.065,0.090,0.052,24.91,26.24,28.85,31.48,0
2014-09-04 09:00:00,0.00,0.114,0.065,0.090,0.052,25.54,26.34,28.66,31.36,0
2014-09-04 10:00:00,0.00,0.112,0.065,0.090,0.052,26.41,26.73,28.55,31.26,0
2014-09-04 11:00:00,0.00,0.111,0.065,0.090,0.051,27.73,27.35,28.54,31.15,0
2014-09-04 12:00:00,0.00,0.108,0.065,0.090,0.051,29.68,28.48,28.66,31.04,0
2014-09-04 13:00:00,0.00,0.106,0.065,0.090,0.052,31.39,29.65,28.96,30.94,0
