========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:22
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2014-12-03 19:00:00,0.00,0.089,0.080,0.076,0.146,14.15,13.83,13.16,12.66,0
2014-12-03 20:00:00,0.00,0.095,0.085,0.081,0.155,14.76,14.59,14.08,13.54,0
2014-12-03 21:00:00,0.00,0.095,0.085,0.081,0.155,14.51,14.44,14.11,13.62,0
2014-12-03 22:00:00,0.00,0.094,0.085,0.081,0.155,14.33,14.31,14.09,13.69,0
2014-12-03 23:00:00,0.00,0.094,0.085,0.081,0.155,14.18,14.20,14.06,13.76,0
2014-12-04 00:00:00,0.00,0.094,0.085,0.081,0.154,14.08,14.10,14.02,13.81,0
2014-12-04 01:00:00,0.00,0.094,0.085,0.081,0.154,14.02,14.05,13.99,13.85,0
2014-12-04 02:00:00,0.00,0.094,0.085,0.081,0.154,13.98,14.00,13.97,13.89,0
2014-12-04 03:00:00,0.00,0.094,0.085,0.081,0.154,13.94,13.99,13.95,13.93,0
2014-12-04 04:00:00,0.00,0.094,0.085,0.081,0.154,13.95,13.95,13.94,13.96,0
2014-12-04 05:00:00,0.00,0.094,0.085,0.081,0.154,13.96,13.96,13.92,13.97,0
2014-12-04 06:00:00,0.00,0.094,0.085,0.080,0.154,13.99,13.97,13.94,14.01,0
2014-12-04 07:00:00,0.00,0.094,0.085,0.080,0.154,14.02,13.99,13.94,14.03,0
2014-12-04 08:00:00,0.00,0.094,0.085,0.080,0.154,14.07,14.03,13.96,14.04,0
2014-12-04 09:00:00,0.00,0.094,0.085,0.080,0.154,14.09,14.04,13.97,14.06,0
2014-12-04 10:00:00,0.00,0.094,0.085,0.080,0.154,14.15,14.08,14.00,14.08,0
2014-12-04 11:00:00,0.00,0.094,0.085,0.080,0.154,14.35,14.17,14.02,14.09,0
2014-12-04 12:00:00,0.00,0.094,0.085,0.080,0.154,14.81,14.41,14.09,14.11,536870912
2014-12-04 13:00:00,0.00,0.095,0.085,0.080,0.153,15.56,14.85,14.23,14.13,536870912
2014-12-04 14:00:00,0.00,0.095,0.085,0.080,0.153,16.43,15.43,14.47,14.15,536870912
2014-12-04 15:00:00,0.00,0.095,0.085,0.080,0.153,17.33,16.10,14.80,14.18,536870912
2014-12-04 16:00:00,0.00,0.095,0.085,0.080,0.153,17.73,16.61,15.18,14.22,536870912
2014-12-04 17:00:00,0.00,0.095,0.085,0.080,0.153,18.05,16.97,15.54,14.28,0
2014-12-04 18:00:00,0.00,0.095,0.085,0.080,0.153,17.85,17.11,15.83,14.37,2097152
2014-12-04 19:00:00,0.00,0.095,0.085,0.080,0.153,17.43,16.98,16.00,14.45,0
2014-12-04 20:00:00,0.00,0.094,0.085,0.080,0.153,17.04,16.76,16.07,14.55,536870912
2014-12-04 21:00:00,0.00,0.094,0.085,0.080,0.153,16.71,16.54,16.04,14.65,536870912
2014-12-04 22:00:00,0.00,0.094,0.085,0.080,0.153,16.51,16.39,15.98,14.73,536870912
2014-12-04 23:00:00,0.00,0.094,0.085,0.080,0.153,16.36,16.24,15.92,14.81,570425344
2014-12-05 00:00:00,0.00,0.094,0.084,0.080,0.153,16.26,16.15,15.85,14.88,570425344
2014-12-05 01:00:00,0.00,0.095,0.085,0.080,0.153,16.19,16.07,15.81,14.93,536870912
2014-12-05 02:00:00,0.00,0.095,0.085,0.080,0.153,16.13,16.03,15.77,14.97,0
2014-12-05 03:00:00,0.00,0.095,0.085,0.080,0.153,16.10,15.99,15.73,15.01,0
2014-12-05 04:00:00,0.00,0.095,0.085,0.080,0.153,16.02,15.93,15.71,15.04,0
2014-12-05 05:00:00,0.00,0.095,0.085,0.080,0.153,15.97,15.89,15.69,15.07,0
2014-12-05 06:00:00,0.00,0.095,0.086,0.080,0.153,15.85,15.82,15.66,15.09,33554432
2014-12-05 07:00:00,0.00,0.095,0.086,0.080,0.153,15.78,15.76,15.63,15.11,33554432
2014-12-05 08:00:00,0.00,0.095,0.085,0.080,0.153,15.70,15.69,15.59,15.14,33554432
2014-12-05 09:00:00,0.00,0.095,0.085,0.080,0.153,15.58,15.62,15.56,15.15,0
2014-12-05 10:00:00,0.00,0.095,0.085,0.080,0.153,15.60,15.57,15.51,15.17,0
2014-12-05 11:00:00,0.00,0.095,0.085,0.080,0.153,15.80,15.64,15.48,15.18,0
2014-12-05 12:00:00,0.00,0.095,0.085,0.080,0.153,16.84,16.07,15.52,15.19,33554432
2014-12-05 13:00:00,0.00,0.096,0.085,0.080,0.153,17.99,16.84,15.76,15.19,570425344
2014-12-05 14:00:00,0.00,0.096,0.085,0.080,0.153,19.38,17.75,16.16,15.22,536879104
2014-12-05 15:00:00,0.00,0.096,0.085,0.080,0.153,20.10,18.62,16.67,15.24,536879616
2014-12-05 16:00:00,0.00,0.096,0.085,0.080,0.153,19.88,18.82,17.14,15.30,538968064
2014-12-05 17:00:00,0.00,0.095,0.085,0.081,0.153,19.78,18.88,17.42,15.37,2097152
2014-12-05 18:00:00,0.00,0.095,0.085,0.081,0.153,19.41,18.79,17.59,15.48,2097152
2014-12-05 19:00:00,0.00,0.095,0.085,0.080,0.153,18.83,18.51,17.66,15.57,0
2014-12-05 20:00:00,0.00,0.095,0.085,0.080,0.153,18.13,18.08,17.60,15.68,0
2014-12-05 21:00:00,0.00,0.095,0.085,0.080,0.153,17.46,17.61,17.43,15.77,0
2014-12-05 22:00:00,0.00,0.095,0.085,0.080,0.153,16.90,17.17,17.22,15.85,0
2014-12-05 23:00:00,0.00,0.095,0.084,0.080,0.153,16.38,16.74,16.99,15.91,0
2014-12-06 00:00:00,0.00,0.094,0.084,0.080,0.153,15.97,16.38,16.74,15.95,0
2014-12-06 01:00:00,0.00,0.094,0.084,0.080,0.153,15.55,16.02,16.50,15.96,0
2014-12-06 02:00:00,0.00,0.094,0.084,0.080,0.153,15.11,15.68,16.26,15.97,0
2014-12-06 03:00:00,0.00,0.094,0.084,0.080,0.153,14.62,15.29,16.02,15.96,0
2014-12-06 04:00:00,0.00,0.094,0.084,0.079,0.152,14.09,14.87,15.75,15.95,0
2014-12-06 05:00:00,0.00,0.094,0.084,0.079,0.152,13.64,14.45,15.47,15.91,0
2014-12-06 06:00:00,0.00,0.094,0.084,0.079,0.152,13.27,14.11,15.19,15.86,0
2014-12-06 07:00:00,0.00,0.094,0.084,0.079,0.152,12.87,13.76,14.91,15.81,0
2014-12-06 08:00:00,0.00,0.094,0.084,0.079,0.152,12.79,13.52,14.66,15.76,2097152
2014-12-06 09:00:00,0.00,0.094,0.084,0.079,0.152,12.92,13.49,14.47,15.68,2097152
2014-12-06 10:00:00,0.00,0.094,0.083,0.079,0.152,13.08,13.53,14.35,15.61,2097152
2014-12-06 11:00:00,0.00,0.095,0.083,0.079,0.152,13.43,13.65,14.29,15.54,0
2014-12-06 12:00:00,0.00,0.095,0.083,0.079,0.152,13.87,13.91,14.30,15.47,0
2014-12-06 13:00:00,0.00,0.095,0.083,0.079,0.151,14.20,14.17,14.38,15.40,0
2014-12-06 14:00:00,0.00,0.095,0.083,0.079,0.151,14.93,14.54,14.49,15.35,0
2014-12-06 15:00:00,0.00,0.095,0.083,0.079,0.151,15.82,15.16,14.70,15.30,0
2014-12-06 16:00:00,0.00,0.095,0.083,0.079,0.151,16.13,15.58,15.00,15.28,0
2014-12-06 17:00:00,0.00,0.095,0.083,0.079,0.151,16.39,15.88,15.25,15.28,0
2014-12-06 18:00:00,0.00,0.095,0.083,0.079,0.151,16.03,15.85,15.44,15.29,0
2014-12-06 19:00:00,0.00,0.095,0.083,0.079,0.151,15.51,15.60,15.52,15.31,0
2014-12-06 20:00:00,0.00,0.095,0.083,0.079,0.151,14.86,15.24,15.45,15.33,0
2014-12-06 21:00:00,0.00,0.095,0.084,0.079,0.151,14.21,14.78,15.31,15.36,35651584
2014-12-06 22:00:00,0.00,0.095,0.084,0.079,0.150,13.55,14.30,15.09,15.38,33554432
2014-12-06 23:00:00,0.00,0.095,0.084,0.079,0.151,12.96,13.81,14.83,15.40,33554432
2014-12-07 00:00:00,0.00,0.095,0.084,0.079,0.151,12.55,13.41,14.54,15.39,33554432
2014-12-07 01:00:00,0.00,0.095,0.084,0.079,0.151,12.12,13.06,14.27,15.36,33554432
2014-12-07 02:00:00,0.00,0.094,0.083,0.079,0.151,11.65,12.66,14.01,15.32,0
2014-12-07 03:00:00,0.00,0.094,0.083,0.079,0.151,11.19,12.28,13.74,15.27,0
2014-12-07 04:00:00,0.00,0.094,0.083,0.079,0.151,10.92,11.95,13.46,15.20,0
2014-12-07 05:00:00,0.00,0.094,0.083,0.079,0.150,10.89,11.79,13.21,15.14,0
2014-12-07 06:00:00,0.00,0.094,0.083,0.079,0.150,11.04,11.76,13.03,15.05,0
2014-12-07 07:00:00,0.00,0.094,0.083,0.079,0.150,11.22,11.82,12.93,14.97,0
2014-12-07 08:00:00,0.00,0.094,0.083,0.079,0.150,11.36,11.90,12.88,14.89,0
2014-12-07 09:00:00,0.00,0.094,0.083,0.079,0.150,11.43,11.95,12.85,14.80,0
2014-12-07 10:00:00,0.00,0.094,0.083,0.078,0.150,11.52,11.98,12.84,14.74,0
2014-12-07 11:00:00,0.00,0.094,0.083,0.078,0.150,11.72,12.07,12.82,14.67,0
2014-12-07 12:00:00,0.00,0.094,0.083,0.078,0.150,11.96,12.23,12.85,14.61,0
2014-12-07 13:00:00,0.00,0.094,0.083,0.078,0.150,12.23,12.41,12.90,14.56,0
2014-12-07 14:00:00,0.00,0.094,0.083,0.078,0.149,12.52,12.60,12.98,14.52,0
2014-12-07 15:00:00,0.00,0.094,0.083,0.078,0.149,12.73,12.80,13.08,14.48,0
2014-12-07 16:00:00,0.00,0.094,0.083,0.078,0.149,12.92,12.97,13.18,14.44,0
2014-12-07 17:00:00,0.00,0.094,0.083,0.078,0.149,12.97,13.07,13.28,14.43,0
2014-12-07 18:00:00,0.00,0.094,0.083,0.078,0.149,12.99,13.12,13.35,14.42,0
2014-12-07 19:00:00,0.00,0.094,0.083,0.078,0.149,12.87,13.10,13.40,14.41,0
2014-12-07 20:00:00,0.00,0.094,0.083,0.078,0.149,12.67,12.99,13.41,14.40,0
2014-12-07 21:00:00,0.00,0.094,0.083,0.078,0.149,12.46,12.84,13.37,14.40,0
2014-12-07 22:00:00,0.00,0.094,0.083,0.078,0.149,12.31,12.73,13.31,14.41,0
2014-12-07 23:00:00,0.00,0.094,0.083,0.078,0.148,12.10,12.61,13.25,14.40,0
2014-12-08 00:00:00,0.00,0.094,0.083,0.078,0.148,11.75,12.37,13.15,14.38,0
