========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:23
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,T_5,T_10,T_20,Flag
2022-06-09 11:00:00,0.00,0.189,0.198,0.224,26.77,26.16,26.31,0
2022-06-09 12:00:00,0.00,0.200,0.209,0.236,28.73,27.44,27.37,0
2022-06-09 13:00:00,0.00,0.200,0.209,0.235,29.82,27.84,27.37,0
2022-06-09 14:00:00,0.00,0.200,0.209,0.234,30.82,28.32,27.41,0
2022-06-09 15:00:00,0.00,0.200,0.208,0.234,31.59,28.82,27.51,0
2022-06-09 16:00:00,0.00,0.199,0.208,0.233,32.04,29.28,27.65,0
2022-06-09 17:00:00,0.00,0.199,0.208,0.233,32.18,29.65,27.81,0
2022-06-09 18:00:00,0.00,0.198,0.208,0.233,32.02,29.88,27.98,0
2022-06-09 19:00:00,0.00,0.197,0.207,0.233,31.64,29.98,28.15,0
2022-06-09 20:00:00,0.00,0.197,0.207,0.233,31.10,29.96,28.30,0
2022-06-09 21:00:00,0.00,0.196,0.207,0.233,30.51,29.83,28.41,0
2022-06-09 22:00:00,0.00,0.195,0.206,0.232,29.98,29.66,28.48,0
2022-06-09 23:00:00,0.00,0.195,0.206,0.232,29.52,29.46,28.53,0
2022-06-10 00:00:00,0.00,0.194,0.206,0.233,29.10,29.24,28.53,0
2022-06-10 01:00:00,0.00,0.194,0.205,0.233,28.75,29.03,28.53,0
2022-06-10 02:00:00,0.00,0.194,0.205,0.232,28.45,28.82,28.48,0
2022-06-10 03:00:00,0.00,0.193,0.204,0.232,28.16,28.64,28.44,0
2022-06-10 04:00:00,0.00,0.193,0.204,0.232,27.88,28.45,28.37,0
2022-06-10 05:00:00,0.00,0.193,0.204,0.232,27.64,28.27,28.30,0
2022-06-10 06:00:00,0.00,0.192,0.203,0.232,27.41,28.10,28.21,0
2022-06-10 07:00:00,0.00,0.192,0.203,0.232,27.22,27.93,28.14,0
2022-06-10 08:00:00,0.00,0.192,0.203,0.231,27.10,27.78,28.06,0
2022-06-10 09:00:00,0.00,0.192,0.203,0.231,27.05,27.68,27.98,0
2022-06-10 10:00:00,0.00,0.192,0.202,0.231,27.36,27.60,27.90,0
2022-06-10 11:00:00,0.00,0.192,0.201,0.230,28.14,27.64,27.82,0
2022-06-10 12:00:00,0.00,0.192,0.201,0.229,29.24,27.89,27.77,0
2022-06-10 13:00:00,0.00,0.192,0.201,0.228,30.38,28.28,27.77,0
2022-06-10 14:00:00,0.00,0.192,0.201,0.227,31.45,28.78,27.81,0
2022-06-10 15:00:00,0.00,0.192,0.200,0.227,32.29,29.31,27.90,0
2022-06-10 16:00:00,0.00,0.192,0.200,0.226,32.85,29.81,28.04,0
2022-06-10 17:00:00,0.00,0.192,0.200,0.226,33.04,30.22,28.21,0
2022-06-10 18:00:00,0.00,0.191,0.200,0.225,32.92,30.49,28.39,0
2022-06-10 19:00:00,0.00,0.190,0.200,0.225,32.54,30.62,28.59,0
2022-06-10 20:00:00,0.00,0.190,0.200,0.225,31.98,30.62,28.74,0
2022-06-10 21:00:00,0.00,0.189,0.199,0.225,31.36,30.51,28.87,0
2022-06-10 22:00:00,0.00,0.188,0.199,0.226,30.76,30.33,28.95,0
2022-06-10 23:00:00,0.00,0.188,0.199,0.226,30.24,30.10,29.01,0
2022-06-11 00:00:00,0.00,0.187,0.198,0.225,29.80,29.87,29.01,0
2022-06-11 01:00:00,0.00,0.187,0.198,0.225,29.44,29.64,29.00,0
2022-06-11 02:00:00,0.00,0.187,0.197,0.225,29.17,29.43,28.96,0
2022-06-11 03:00:00,0.00,0.186,0.197,0.225,28.90,29.26,28.91,0
2022-06-11 04:00:00,0.00,0.186,0.197,0.225,28.63,29.08,28.85,0
2022-06-11 05:00:00,0.00,0.186,0.197,0.225,28.37,28.89,28.79,0
2022-06-11 06:00:00,0.00,0.185,0.196,0.225,28.12,28.73,28.71,0
2022-06-11 07:00:00,0.00,0.185,0.196,0.225,27.90,28.56,28.65,0
2022-06-11 08:00:00,0.00,0.185,0.196,0.224,27.73,28.39,28.56,0
2022-06-11 09:00:00,0.00,0.185,0.195,0.224,27.63,28.26,28.48,0
2022-06-11 10:00:00,0.00,0.185,0.195,0.224,27.89,28.16,28.40,0
2022-06-11 11:00:00,0.00,0.185,0.194,0.223,28.66,28.19,28.32,0
2022-06-11 12:00:00,0.00,0.185,0.194,0.222,29.76,28.40,28.27,0
2022-06-11 13:00:00,0.00,0.186,0.194,0.221,31.00,28.80,28.24,0
2022-06-11 14:00:00,0.00,0.186,0.194,0.221,32.14,29.31,28.27,0
2022-06-11 15:00:00,0.00,0.186,0.194,0.220,33.03,29.86,28.37,0
2022-06-11 16:00:00,0.00,0.186,0.194,0.219,33.59,30.38,28.51,0
2022-06-11 17:00:00,0.00,0.186,0.194,0.219,33.81,30.80,28.69,0
2022-06-11 18:00:00,0.00,0.185,0.194,0.219,33.74,31.10,28.89,0
2022-06-11 19:00:00,0.00,0.185,0.194,0.219,33.37,31.25,29.07,0
2022-06-11 20:00:00,0.00,0.184,0.194,0.219,32.75,31.25,29.25,0
2022-06-11 21:00:00,0.00,0.183,0.193,0.219,32.08,31.13,29.38,0
2022-06-11 22:00:00,0.00,0.183,0.193,0.219,31.45,30.95,29.47,0
2022-06-11 23:00:00,0.00,0.182,0.193,0.219,30.91,30.71,29.51,0
2022-06-12 00:00:00,0.00,0.182,0.192,0.219,30.44,30.47,29.52,0
2022-06-12 01:00:00,0.00,0.181,0.192,0.219,30.05,30.22,29.51,0
2022-06-12 02:00:00,0.00,0.181,0.192,0.219,29.76,30.00,29.48,0
