Station,Variable,Total_Count,Observed_Count,Observed_Percent,Pipeline_Imputed_Count,Pipeline_Imputed_Percent,Modeling_Completion_Count,Modeling_Completion_Percent,Dedicated_MET,Source_Sensor_Absent,Pending_QC
CB01,SWC_5,83007,81110,97.71465057163854,1897,2.2853494283614633,0,0.0,True,False,False
CB01,SWC_10,83007,81066,97.66164299396436,1941,2.3383570060356353,0,0.0,True,False,False
CB01,SWC_20,83007,80761,97.2942041032684,2246,2.7057958967316007,0,0.0,True,False,False
CB01,SWC_50,83007,81149,97.76163456094065,1858,2.2383654390593564,0,0.0,True,False,False
CB01,T_5,83007,81173,97.79054778512656,1834,2.209452214873444,0,0.0,True,False,False
CB01,T_10,83007,81173,97.79054778512656,1834,2.209452214873444,0,0.0,True,False,False
CB01,T_20,83007,81173,97.79054778512656,1834,2.209452214873444,0,0.0,True,False,False
CB01,T_50,83007,81174,97.79175250280096,1833,2.2082474971990314,0,0.0,True,False,False
CB01,Tair,83007,15597,18.78998156781958,0,0.0,67410,81.21001843218042,True,False,False
CB01,RH,83007,15597,18.78998156781958,0,0.0,67410,81.21001843218042,True,False,False
CB01,Srad,83007,15597,18.78998156781958,0,0.0,67410,81.21001843218042,True,False,False
CB01,Wind speed,83007,15597,18.78998156781958,0,0.0,67410,81.21001843218042,True,False,False
CB01,Wind direction,83007,15597,18.78998156781958,0,0.0,67410,81.21001843218042,True,False,False
CB01,Ppt,83007,81175,97.79295722047539,1832,2.2070427795246186,0,0.0,True,False,False
CB04,SWC_5,99914,93355,93.43535440478811,1207,1.2080389134655805,5352,5.356606681746301,True,False,False
CB04,SWC_10,99914,93356,93.43635526552836,1206,1.2070380527253437,5352,5.356606681746301,True,False,False
CB04,SWC_20,99914,93355,93.43535440478811,1207,1.2080389134655805,5352,5.356606681746301,True,False,False
CB04,SWC_50,99914,92797,92.8768741117361,1765,1.7665192065176052,5352,5.356606681746301,True,False,False
CB04,T_5,99914,93354,93.43435354404788,1208,1.209039774205817,5352,5.356606681746301,True,False,False
CB04,T_10,99914,93354,93.43435354404788,1208,1.209039774205817,5352,5.356606681746301,True,False,False
