features,mse,mae,mae_percentage
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0006915415957872581,0.017926123248454055,12.020340377810394
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0006977701120757427,0.01811402121706598,12.080711351355838
"('Ppt', 'Tair', 'RH', 'Sat_SM_AMSR')",0.0006994554691011655,0.017999792647134076,12.073452396042388
"('Ppt', 'Srad', 'Tair', 'RH')",0.0007006689432768813,0.018263714503538232,12.218639969735374
"('Ppt', 'Srad', 'RH', 'Sat_SM_AMSR')",0.0007015633113805095,0.018191290673209046,12.120492560736697
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007020129205695106,0.01824913408514701,12.079184705401289
"('Ppt', 'RH')",0.0007027615950057256,0.01825374504878457,12.295320488215598
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007027903881052188,0.01839728183680731,12.422399873684947
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007034253394980982,0.018356072543587267,12.445125361750765
"('Ppt', 'Srad', 'Tair', 'RH', 'Sat_SM_AMSR')",0.0007040584662047533,0.018343287972974694,12.303078094231761
"('Ppt', 'Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007040700190234562,0.018139390173304473,12.221163781898472
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007041999772036037,0.018134397319183516,12.234554781578023
"('Ppt', 'Srad', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007044197803073214,0.01834987136090436,12.33196243354781
"('Ppt', 'Tair', 'RH', 'Winddirection')",0.0007050515147578305,0.018155023935738274,12.183302785255707
"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection')",0.0007054356511106804,0.018508917392504265,12.437159125555567
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed')",0.0007059961285065153,0.01855029575221717,12.528446618549799
"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.000706233314094444,0.01843957854029613,12.30025085535743
"('Ppt', 'Srad', 'RH')",0.0007081044972384354,0.018495737895271803,12.41249027228522
"('Ppt', 'Tair', 'RH')",0.000709265376381783,0.01836778764296928,12.41901391034583
"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007094903025279541,0.01841817450165249,12.308459652288116
"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007097699475732864,0.018438179999505498,12.320282789787937
"('Ppt', 'Srad', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.000709790288078312,0.01827942046763443,12.15703126621691
"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007115182607163026,0.018458722063114177,12.499488172751688
"('Ppt', 'Tair', 'RH', 'Windspeed')",0.0007119351007790112,0.018377114915680916,12.391248207526214
"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection')",0.0007135605917079738,0.018576878766629303,12.38391994885594
"('Ppt', 'Srad', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007143883859990212,0.018412094420109375,12.282307880871805
"('Ppt', 'RH', 'Windspeed', 'Winddirection')",0.0007144184633976751,0.018478509358256692,12.515601289042303
"('Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007151932468104995,0.01845007361032558,12.353671797061434
