model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.15219257185921217,0.08870522533756431,0.5602137048848485,-0.3309846054386786,"['SWC_10', 'T_5', 'Ppt']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.043841346402214675,0.029498021784558997,0.1611404000199141,0.5553362316000929,"['SWC_10', 'T_5', 'Ppt']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.055851805207756254,0.03956661851133643,0.21691830847222612,0.5239718429541915,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.028176136045190488,0.016030243470301637,0.07708414237857371,0.8245002665504938,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03137210459457177,0.01795238238858161,0.08211014097489305,0.8008965283559558,"['SWC_10', 'T_5', 'Ppt']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.03594965144817597,0.024824599863501655,0.12279382615813925,0.7050049639070427,"['SWC_10', 'T_5', 'Ppt']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.07933115553271015,0.06627972642057409,0.4010007325609862,0.44905205385696484,"['T_5', 'Ppt']"
