model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
cnn,1,CNN | Horizon=48 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.03367182868203947,0.022124011624712975,0.10924231297120897,0.7630370397147275,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=72 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.05344210492019719,0.034261993017155594,0.18363515988054194,0.39329227182409326,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
cnn,1,CNN | Horizon=168 | Season=All,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.05138130292672732,0.039507271965651056,0.20432869334598258,0.3962309147307207,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.0417660828664093,0.02242867122055331,0.12627086072372148,0.6070461708683642,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.03007201399881434,0.01743264907816993,0.07847669949749837,0.803062848826559,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
lstm,1,LSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.0443649938062435,0.03228676669193855,0.15836952185829045,0.5232292020826418,"['SWC_10', 'DaySin', 'DayCos', 'YearSin', 'YearCos']"
arima,1,ARIMA | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,1,ARIMA | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arimax,1,ARIMAX | Horizon=48 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",48,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=72 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",72,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
arimax,1,ARIMAX | Horizon=168 | Season=All,"{'p': 1, 'd': 1, 'q': 1}",168,All,0.058024175469848116,0.047382584214391045,0.2797782869745871,0.4421484427376656,"['DaySin', 'DayCos', 'YearSin', 'YearCos']"
bilstm,1,BILSTM | Horizon=48 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,All,0.055433541618751914,0.03194924505446978,0.18521524256208896,0.3550291949354052,
bilstm,1,BILSTM | Horizon=72 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,All,0.04943516327512745,0.0303549229789152,0.16771430255704256,0.4403216091877701,
bilstm,1,BILSTM | Horizon=168 | Season=All,"{'lstm_units': 64, 'activation': 'tanh', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,All,0.042864543087203624,0.029316303711842687,0.14349759322735237,0.6090454911702979,
