model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
xgboost,1,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",48,All,0.039216016124269316,0.03344681912694492,0.19245631942876124,0.8656773469179023,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",72,All,0.04118971320168886,0.03549713951252842,0.20378788304398213,0.8172355919398586,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",168,All,0.04489463772163203,0.03787430328292763,0.22089818341244066,0.7442896805635566,"['SWC_10', 'T_5']"
xgboost,2,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",48,All,0.0314710341501398,0.026265035645167956,0.1480921474510659,0.8684242855054252,"['SWC_10', 'T_5']"
xgboost,2,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",72,All,0.03449655689908821,0.029446795548158572,0.1654491782519558,0.8213710755274928,"['SWC_10', 'T_5']"
xgboost,2,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",168,All,0.03996615277778904,0.033582155283611075,0.1940326421838178,0.7499056172335473,"['SWC_10', 'T_5']"
xgboost,3,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",48,All,0.025871142105538626,0.019513784145567387,0.1047199589313002,0.8700026337178605,"['SWC_10', 'T_5']"
xgboost,3,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",72,All,0.029574199468140227,0.023696324821624433,0.12759538171616577,0.8230448986872841,"['SWC_10', 'T_5']"
xgboost,3,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",168,All,0.03570521425638657,0.02996176204700196,0.16952847012261343,0.7568793432562677,"['SWC_10', 'T_5']"
xgboost,4,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",48,All,0.03963838747651207,0.033506536168082066,0.19300679308274862,0.8432370115718856,"['SWC_10', 'T_5']"
xgboost,4,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",72,All,0.040907808848557645,0.03493679086506943,0.20082341717716368,0.8084461528922477,"['SWC_10', 'T_5']"
xgboost,4,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",168,All,0.04494386121371459,0.037931310914370034,0.22073082664663782,0.700766373575683,"['SWC_10', 'T_5']"
xgboost,5,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",48,All,0.031914037343875254,0.026035974247820545,0.14729686140866846,0.8551671181276738,"['SWC_10', 'T_5']"
xgboost,5,XGBOOST | Horizon=72 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",72,All,0.034464642189934565,0.028751661093135407,0.16223998840905282,0.8123093196326372,"['SWC_10', 'T_5']"
xgboost,5,XGBOOST | Horizon=168 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",168,All,0.04033982895449945,0.033768485229352344,0.19431642076161426,0.7054664548732409,"['SWC_10', 'T_5']"
xgboost,6,XGBOOST | Horizon=48 | Season=All,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",48,All,0.02665308944750589,0.019245196905284964,0.10421133700680363,0.8578855824659833,"['SWC_10', 'T_5']"
