Configuration,Model,MAE,MSE,MAPE
SWC_5 - 24 input / 1 output,Baseline,0.014926757663488388,0.0046074483543634415,2.7634150981903076
SWC_5 - 24 input / 1 output,Multi-step Linear,0.020642485469579697,0.0042212060652673244,3.148512601852417
SWC_5 - 24 input / 1 output,Multi-step Dense,0.03665123134851456,0.004643506370484829,5.593963146209717
SWC_5 - 24 input / 1 output,CNN,0.04729399085044861,0.006968146655708551,8.029143333435059
SWC_5 - 24 input / 1 output,RNN,0.024395564571022987,0.003589693456888199,5.054047107696533
SWC_5 - 24 input / 1 output,LSTM,0.049281422048807144,0.006384378764778376,8.771836280822754
SWC_5 - 24 input / 1 output,Autoregressive,0.0906483605504036,0.03668718412518501,12.99322509765625
SWC_5 - 24 input / 1 output,Bi-LSTM,0.12082678824663162,0.02254493720829487,18.76291275024414
SWC_5 - 24 input / 6 output,Baseline,0.0728997066617012,0.03967839479446411,12.050009727478027
SWC_5 - 24 input / 6 output,Multi-step Linear,0.040600650012493134,0.02094309777021408,6.497433185577393
SWC_5 - 24 input / 6 output,Multi-step Dense,0.07440200448036194,0.023520929738879204,11.032938003540039
SWC_5 - 24 input / 6 output,CNN,0.09131021052598953,0.030358510091900826,15.003946304321289
SWC_5 - 24 input / 6 output,RNN,0.060386497527360916,0.020640913397073746,11.29446792602539
SWC_5 - 24 input / 6 output,LSTM,0.10954231768846512,0.030349133536219597,19.475984573364258
SWC_5 - 24 input / 6 output,Autoregressive,0.1269734501838684,0.05389595776796341,19.611858367919922
SWC_5 - 24 input / 6 output,Bi-LSTM,0.09931832551956177,0.02927953191101551,16.113357543945312
SWC_5 - 48 input / 12 output,Baseline,0.1069951131939888,0.06868959963321686,18.387849807739258
SWC_5 - 48 input / 12 output,Multi-step Linear,0.0649465024471283,0.03737713769078255,9.857407569885254
SWC_5 - 48 input / 12 output,Multi-step Dense,0.12368518859148026,0.04712231457233429,22.008193969726562
SWC_5 - 48 input / 12 output,CNN,0.09388182312250137,0.0392056480050087,16.921001434326172
SWC_5 - 48 input / 12 output,RNN,0.08929122984409332,0.037249524146318436,14.918027877807617
SWC_5 - 48 input / 12 output,LSTM,0.11235222965478897,0.04170587286353111,18.573347091674805
SWC_5 - 48 input / 12 output,Autoregressive,0.1799553632736206,0.08518320322036743,27.512691497802734
SWC_5 - 48 input / 12 output,Bi-LSTM,0.13273273408412933,0.04878775402903557,25.100210189819336
SWC_5 - 168 input / 24 output,Baseline,0.10087207704782486,0.08868291229009628,28.268966674804688
SWC_5 - 168 input / 24 output,Multi-step Linear,0.08878108114004135,0.05567760765552521,14.317876815795898
SWC_5 - 168 input / 24 output,Multi-step Dense,0.13658277690410614,0.06225261837244034,22.266263961791992
SWC_5 - 168 input / 24 output,CNN,0.1307530552148819,0.060756176710128784,23.294721603393555
SWC_5 - 168 input / 24 output,RNN,0.11299803853034973,0.06190937012434006,25.548301696777344
SWC_5 - 168 input / 24 output,LSTM,0.17613863945007324,0.07983120530843735,25.208446502685547
SWC_5 - 168 input / 24 output,Autoregressive,0.4093709886074066,0.2609901428222656,58.36697769165039
SWC_5 - 168 input / 24 output,Bi-LSTM,0.16203506290912628,0.07971975952386856,31.58269691467285
SWC_5 - 168 input / 48 output,Baseline,0.1691785603761673,0.1612907499074936,57.72496032714844
SWC_5 - 168 input / 48 output,Multi-step Linear,0.1357342153787613,0.08684054762125015,24.56061553955078
SWC_5 - 168 input / 48 output,Multi-step Dense,0.17468509078025818,0.09794697910547256,33.01040267944336
SWC_5 - 168 input / 48 output,CNN,0.18513330817222595,0.09986445307731628,36.60892868041992
SWC_5 - 168 input / 48 output,RNN,0.2271709442138672,0.11906991899013519,34.073814392089844
SWC_5 - 168 input / 48 output,LSTM,0.1703835278749466,0.10537490248680115,38.7180061340332
SWC_5 - 168 input / 48 output,Autoregressive,0.3459053337574005,0.2262447476387024,55.118682861328125
SWC_5 - 168 input / 48 output,Bi-LSTM,0.25641533732414246,0.13835765421390533,55.79023742675781
SWC_10 - 24 input / 1 output,Baseline,0.012247594073414803,0.0026375434827059507,2.0115880966186523
SWC_10 - 24 input / 1 output,Multi-step Linear,0.014078491367399693,0.0024202873464673758,2.6569135189056396
SWC_10 - 24 input / 1 output,Multi-step Dense,0.06188906356692314,0.008300870656967163,12.446349143981934
SWC_10 - 24 input / 1 output,CNN,0.03704812377691269,0.004864368122071028,5.5039567947387695
SWC_10 - 24 input / 1 output,RNN,0.01998552866280079,0.002184520708397031,2.984314203262329
