Configuration,Model,MAE,MSE,MAPE
SWC_5 - 24 input / 1 output,Baseline,0.014926755800843239,0.004607449751347303,2.7634148597717285
SWC_5 - 24 input / 1 output,Multi-step Linear,0.019311608746647835,0.0041489377617836,3.1278035640716553
SWC_5 - 24 input / 1 output,Multi-step Dense,0.027621453627943993,0.0037808881606906652,5.477157115936279
SWC_5 - 24 input / 1 output,CNN,0.05229252949357033,0.008007428608834743,9.576011657714844
SWC_5 - 24 input / 1 output,RNN,0.027719156816601753,0.0036696165334433317,5.179448127746582
SWC_5 - 24 input / 1 output,LSTM,0.05956185981631279,0.008375618606805801,12.692862510681152
SWC_5 - 24 input / 1 output,Autoregressive,0.09037265181541443,0.03587057441473007,13.730128288269043
SWC_5 - 24 input / 1 output,Bi-LSTM,0.059893324971199036,0.008312499150633812,10.070850372314453
SWC_5 - 24 input / 6 output,Baseline,0.0728997066617012,0.03967840224504471,12.050006866455078
SWC_5 - 24 input / 6 output,Multi-step Linear,0.04116973280906677,0.021174103021621704,6.77587366104126
SWC_5 - 24 input / 6 output,Multi-step Dense,0.06645797938108444,0.022523798048496246,9.473749160766602
SWC_5 - 24 input / 6 output,CNN,0.07729549705982208,0.02558799460530281,15.300086975097656
SWC_5 - 24 input / 6 output,RNN,0.05559511482715607,0.020428631454706192,10.637701034545898
SWC_5 - 24 input / 6 output,LSTM,0.07605668902397156,0.025099636986851692,12.134865760803223
SWC_5 - 24 input / 6 output,Autoregressive,0.13700565695762634,0.05472730100154877,17.854820251464844
SWC_5 - 24 input / 6 output,Bi-LSTM,0.07447876781225204,0.023357730358839035,11.143545150756836
SWC_5 - 48 input / 12 output,Baseline,0.1069951206445694,0.06868959218263626,18.387847900390625
SWC_5 - 48 input / 12 output,Multi-step Linear,0.06051741540431976,0.03660838305950165,9.768791198730469
SWC_5 - 48 input / 12 output,Multi-step Dense,0.0860537514090538,0.03746430575847626,15.439396858215332
SWC_5 - 48 input / 12 output,CNN,0.08930766582489014,0.038149960339069366,16.938583374023438
SWC_5 - 48 input / 12 output,RNN,0.0809067040681839,0.03587716817855835,15.694644927978516
SWC_5 - 48 input / 12 output,LSTM,0.1725790947675705,0.060351066291332245,27.41012191772461
SWC_5 - 48 input / 12 output,Autoregressive,0.21620510518550873,0.10246541351079941,32.839012145996094
SWC_5 - 48 input / 12 output,Bi-LSTM,0.14783383905887604,0.05321871489286423,22.402324676513672
SWC_5 - 168 input / 24 output,Baseline,0.10087208449840546,0.08868294954299927,28.268972396850586
SWC_5 - 168 input / 24 output,Multi-step Linear,0.08989962190389633,0.0550152026116848,15.721110343933105
SWC_5 - 168 input / 24 output,Multi-step Dense,0.11925438046455383,0.05851072445511818,20.54990005493164
SWC_5 - 168 input / 24 output,CNN,0.13666188716888428,0.06330651789903641,26.007274627685547
SWC_5 - 168 input / 24 output,RNN,0.11176031082868576,0.06174556165933609,20.35877799987793
SWC_5 - 168 input / 24 output,LSTM,0.194909930229187,0.09177588671445847,30.882160186767578
SWC_5 - 168 input / 24 output,Autoregressive,0.38003140687942505,0.24753771722316742,60.977787017822266
SWC_5 - 168 input / 24 output,Bi-LSTM,0.4784906208515167,0.5354772806167603,82.2040786743164
SWC_5 - 168 input / 48 output,Baseline,0.1691785305738449,0.16129069030284882,57.72495651245117
SWC_5 - 168 input / 48 output,Multi-step Linear,0.141453817486763,0.08780151605606079,24.143054962158203
SWC_5 - 168 input / 48 output,Multi-step Dense,0.18512800335884094,0.0969887524843216,32.10615539550781
SWC_5 - 168 input / 48 output,CNN,0.1931430995464325,0.10594695806503296,37.55992889404297
SWC_5 - 168 input / 48 output,RNN,0.1914263814687729,0.10532430559396744,34.98972702026367
SWC_5 - 168 input / 48 output,LSTM,0.2623940110206604,0.1815478503704071,54.58930969238281
SWC_5 - 168 input / 48 output,Autoregressive,0.41008782386779785,0.26895901560783386,69.4744873046875
SWC_5 - 168 input / 48 output,Bi-LSTM,0.2975717782974243,0.18690729141235352,83.230224609375
SWC_10 - 24 input / 1 output,Baseline,0.012247597798705101,0.002637542551383376,2.011587381362915
SWC_10 - 24 input / 1 output,Multi-step Linear,0.013211561366915703,0.0022929138503968716,2.2052927017211914
SWC_10 - 24 input / 1 output,Multi-step Dense,0.1038210317492485,0.016993070021271706,13.575141906738281
SWC_10 - 24 input / 1 output,CNN,0.03770995885133743,0.00496504595503211,6.113003730773926
SWC_10 - 24 input / 1 output,RNN,0.028281645849347115,0.0026672000531107187,4.407959938049316
SWC_10 - 24 input / 1 output,LSTM,0.06379859149456024,0.008944667875766754,8.659502983093262
SWC_10 - 24 input / 1 output,Autoregressive,0.1100676879286766,0.03373677656054497,13.175477981567383
SWC_10 - 24 input / 1 output,Bi-LSTM,0.0511593259871006,0.006412290968000889,9.83326244354248
SWC_10 - 24 input / 6 output,Baseline,0.061055008322000504,0.025523317977786064,9.248854637145996
SWC_10 - 24 input / 6 output,Multi-step Linear,0.03803885355591774,0.013448728248476982,6.711829662322998
SWC_10 - 24 input / 6 output,Multi-step Dense,0.053526636213064194,0.013519901782274246,8.348796844482422
SWC_10 - 24 input / 6 output,CNN,0.06898751109838486,0.017508413642644882,12.564779281616211
SWC_10 - 24 input / 6 output,RNN,0.0776275247335434,0.019204409793019295,11.56618595123291
SWC_10 - 24 input / 6 output,LSTM,0.1087154895067215,0.02665220946073532,13.987935066223145
SWC_10 - 24 input / 6 output,Autoregressive,0.1276584267616272,0.04107406362891197,15.253494262695312
SWC_10 - 24 input / 6 output,Bi-LSTM,0.04781056568026543,0.012990396469831467,7.593374729156494
SWC_10 - 48 input / 12 output,Baseline,0.08710717409849167,0.043878212571144104,14.520020484924316
SWC_10 - 48 input / 12 output,Multi-step Linear,0.05243687331676483,0.02402087301015854,8.220985412597656
SWC_10 - 48 input / 12 output,Multi-step Dense,0.07441458851099014,0.028915034607052803,12.414196968078613
SWC_10 - 48 input / 12 output,CNN,0.1152021735906601,0.03504502773284912,16.7011661529541
SWC_10 - 48 input / 12 output,RNN,0.07101331651210785,0.024979624897241592,13.661293029785156
SWC_10 - 48 input / 12 output,LSTM,0.17968963086605072,0.05712823197245598,19.48554039001465
SWC_10 - 48 input / 12 output,Autoregressive,0.13496889173984528,0.05222261697053909,17.508630752563477
SWC_10 - 48 input / 12 output,Bi-LSTM,0.10784518718719482,0.034795571118593216,19.104089736938477
SWC_10 - 168 input / 24 output,Baseline,0.073894202709198,0.054275017231702805,21.393333435058594
SWC_10 - 168 input / 24 output,Multi-step Linear,0.07481338083744049,0.035287633538246155,12.38316535949707
SWC_10 - 168 input / 24 output,Multi-step Dense,0.11552858352661133,0.043927133083343506,17.985719680786133
SWC_10 - 168 input / 24 output,CNN,0.10334424674510956,0.04146021604537964,15.921720504760742
SWC_10 - 168 input / 24 output,RNN,0.1307017207145691,0.05057300627231598,17.855154037475586
SWC_10 - 168 input / 24 output,LSTM,0.16663311421871185,0.07236073911190033,20.764280319213867
SWC_10 - 168 input / 24 output,Autoregressive,0.32496652007102966,0.16860733926296234,40.179622650146484
SWC_10 - 168 input / 24 output,Bi-LSTM,nan,nan,nan
SWC_10 - 168 input / 48 output,Baseline,0.12449181079864502,0.10324618220329285,39.77275848388672
SWC_10 - 168 input / 48 output,Multi-step Linear,0.1250676065683365,0.06062883883714676,20.3947696685791
SWC_10 - 168 input / 48 output,Multi-step Dense,0.17629395425319672,0.0785655677318573,25.455894470214844
SWC_10 - 168 input / 48 output,CNN,0.1360870897769928,0.06259631365537643,21.344783782958984
SWC_10 - 168 input / 48 output,RNN,0.2061839997768402,0.09352696686983109,28.444456100463867
SWC_10 - 168 input / 48 output,LSTM,0.23410163819789886,0.11793202906847,28.195880889892578
SWC_10 - 168 input / 48 output,Autoregressive,0.3787126839160919,0.22576893866062164,46.68830490112305
SWC_10 - 168 input / 48 output,Bi-LSTM,nan,nan,nan
SWC_20 - 24 input / 1 output,Baseline,0.00663914205506444,0.0014354957966133952,1.7688512802124023
SWC_20 - 24 input / 1 output,Multi-step Linear,0.008678179234266281,0.0009717878419905901,1.9654611349105835
SWC_20 - 24 input / 1 output,Multi-step Dense,0.04269825294613838,0.0037472201511263847,6.608122825622559
SWC_20 - 24 input / 1 output,CNN,0.05314989760518074,0.0050053671002388,9.097041130065918
SWC_20 - 24 input / 1 output,RNN,0.04647701606154442,0.005400020629167557,7.556363105773926
SWC_20 - 24 input / 1 output,LSTM,0.08217351883649826,0.017719782888889313,11.00006103515625
SWC_20 - 24 input / 1 output,Autoregressive,0.08660672605037689,0.021223649382591248,11.973607063293457
SWC_20 - 24 input / 1 output,Bi-LSTM,0.09107185155153275,0.013852379284799099,15.522002220153809
SWC_20 - 24 input / 6 output,Baseline,0.03332953900098801,0.013107752427458763,8.735639572143555
SWC_20 - 24 input / 6 output,Multi-step Linear,0.021291352808475494,0.00674059335142374,3.989572525024414
SWC_20 - 24 input / 6 output,Multi-step Dense,0.04525092989206314,0.00864552054554224,10.128467559814453
SWC_20 - 24 input / 6 output,CNN,0.03766826167702675,0.008387427777051926,8.344000816345215
SWC_20 - 24 input / 6 output,RNN,0.08371283859014511,0.016145696863532066,11.48034954071045
SWC_20 - 24 input / 6 output,LSTM,0.08703651279211044,0.01909572444856167,12.767068862915039
SWC_20 - 24 input / 6 output,Autoregressive,0.084278404712677,0.02371056005358696,11.591197967529297
