Date, Ppt, Tair, RH, Wind speed, Wind direction, Srad   
10/01/14 00:00,  0.000, 22.130,  80.70,  1.429, 203.20,   0.00
10/01/14 01:00,  0.000, 21.680,  84.70,  1.555, 201.20,   0.00
10/01/14 02:00,  0.000, 22.210,  89.20,  2.288, 193.10,   0.00
10/01/14 03:00,  0.000, 22.410,  90.00,  2.421, 195.40,   0.00
10/01/14 04:00,  0.000, 22.300,  92.60,  1.738, 191.30,   0.00
10/01/14 05:00,  0.000, 21.890,  94.70,  1.474, 192.50,   0.00
10/01/14 06:00,  0.000, 21.700,  95.10,  1.690, 191.10,   0.00
10/01/14 07:00,  0.000, 21.600,  92.30,  1.061, 187.80,  11.09
10/01/14 08:00,  0.000, 22.570,  84.90,  1.750, 189.30,  81.28
10/01/14 09:00,  0.000, 23.950,  78.72,  2.183, 197.80, 256.53
10/01/14 10:00,  0.000, 25.270,  69.13,  2.453, 206.90, 428.31
10/01/14 11:00,  0.000, 26.670,  62.93,  2.279, 208.30, 602.83
10/01/14 12:00,  0.000, 27.880,  59.57,  2.849, 200.20, 842.72
10/01/14 13:00,  0.000, 29.140,  55.21,  2.538, 201.60, 861.14
10/01/14 14:00,  0.000, 30.240,  51.62,  2.392, 203.80, 817.34
10/01/14 15:00,  0.000, 30.940,  50.47,  2.324, 192.90, 707.13
10/01/14 16:00,  0.000, 31.250,  49.92,  2.352, 192.10, 539.91
10/01/14 17:00,  0.000, 31.070,  48.37,  2.249, 190.80, 335.49
10/01/14 18:00,  0.000, 29.970,  55.34,  1.562, 198.70, 101.13
10/01/14 19:00,  0.000, 28.050,  64.12,  1.065, 186.70,   2.88
10/01/14 20:00,  0.000, 26.410,  66.66,  1.318, 195.70,   0.00
10/01/14 21:00,  0.000, 25.890,  67.14,  1.775, 179.90,   0.00
10/01/14 22:00,  0.000, 25.390,  68.88,  2.068, 184.00,   0.00
10/01/14 23:00,  0.000, 24.650,  72.22,  2.637, 191.80,   0.00
10/02/14 00:00,  0.000, 24.120,  79.71,  3.111, 194.20,   0.00
10/02/14 01:00,  0.000, 23.620,  89.00,  2.812, 199.10,   0.00
10/02/14 02:00,  0.000, 23.700,  89.40,  3.476, 203.30,   0.00
10/02/14 03:00,  0.000, 23.860,  90.70,  3.354, 207.60,   0.00
10/02/14 04:00,  0.000, 23.740,  90.80,  3.004, 203.70,   0.00
10/02/14 05:00,  0.000, 23.590,  89.10,  2.591, 204.90,   0.00
10/02/14 06:00,  0.000, 23.430,  90.80,  2.855, 205.30,   0.00
10/02/14 07:00,  0.000, 23.250,  91.70,  2.836, 207.80,  10.11
10/02/14 08:00,  0.000, 24.220,  84.90,  1.598, 193.70, 123.14
10/02/14 09:00,  0.000, 25.970,  74.41,  2.842, 205.10, 339.66
10/02/14 10:00,  0.000, 26.650,  72.27,  4.397, 212.30, 487.41
10/02/14 11:00,  0.000, 27.700,  68.88,  4.835, 212.70, 719.99
10/02/14 12:00,  0.000, 28.430,  66.92,  3.890, 224.90, 672.02
10/02/14 13:00,  0.000, 29.290,  59.17,  2.465, 224.90, 524.96
10/02/14 14:00,  0.000, 30.620,  56.69,  2.284, 218.40, 638.99
10/02/14 15:00,  0.000, 31.330,  51.34,  2.576, 219.50, 665.06
10/02/14 16:00,  0.000, 31.680,  49.52,  2.647, 209.40, 522.18
10/02/14 17:00,  0.000, 31.260,  52.19,  2.159, 219.60, 250.55
10/02/14 18:00,  0.000, 30.280,  57.21,  1.873, 220.70,  89.97
10/02/14 19:00,  0.000, 28.620,  61.34,  1.524, 223.10,   2.77
10/02/14 20:00,  1.016, 24.390,  81.60,  1.673, 258.60,   1.48
10/02/14 21:00,  0.000, 21.490,  67.02,  1.268, 308.90,   1.35
10/02/14 22:00,  0.000, 22.560,  57.10,  1.752,   6.01,   1.08
10/02/14 23:00,  0.000, 23.000,  50.16,  2.137,  13.09,   0.00
10/03/14 00:00,  0.000, 22.160,  57.40,  1.382,  36.94,   0.00
10/03/14 01:00,  0.000, 20.570,  59.72,  1.102,  27.94,   0.00
10/03/14 02:00,  0.000, 19.690,  59.72,  0.770,  10.45,   0.00
10/03/14 03:00,  0.000, 18.930,  67.78,  0.571,   8.08,   0.00
10/03/14 04:00,  0.000, 17.560,  81.50,  0.434,   9.15,   0.00
10/03/14 05:00,  0.000, 15.560,  83.10,  0.132, 248.50,   0.00
10/03/14 06:00,  0.000, 13.220,  93.30,  0.013, 175.70,   0.00
10/03/14 07:00,  0.000, 12.770,  86.90,  0.005, 246.10,  20.72
10/03/14 08:00,  0.000, 16.310,  70.84,  0.096,  19.21, 189.96
10/03/14 09:00,  0.000, 19.680,  57.34,  1.495,  52.12, 409.54
10/03/14 10:00,  0.000, 21.460,  48.43,  1.861,  49.55, 616.39
10/03/14 11:00,  0.000, 23.130,  44.40,  2.206,  50.01, 774.23
10/03/14 12:00,  0.000, 24.890,  33.74,  2.751,  63.28, 868.79
10/03/14 13:00,  0.000, 26.090,  31.87,  2.624,  47.55, 890.69
10/03/14 14:00,  0.000, 27.240,  26.93,  2.589,  40.04, 846.19
10/03/14 15:00,  0.000, 27.800,  23.95,  2.828,  40.92, 734.94
10/03/14 16:00,  0.000, 27.990,  22.50,  2.702,  44.59, 564.59
10/03/14 17:00,  0.000, 27.630,  21.82,  2.387,  47.36, 351.13
10/03/14 18:00,  0.000, 25.960,  31.70,  1.858,  59.33,  99.19
10/03/14 19:00,  0.000, 23.260,  35.57,  1.001,  52.18,   1.76
10/03/14 20:00,  0.000, 21.740,  38.82,  0.100,   5.20,   0.00
10/03/14 21:00,  0.000, 20.400,  41.81,  0.220, 243.00,   0.00
10/03/14 22:00,  0.000, 19.220,  46.52,  0.382, 244.50,   0.00
10/03/14 23:00,  0.000, 17.100,  63.45,  0.283, 242.70,   0.00
10/04/14 00:00,  0.000, 16.340,  51.37,  0.553,  21.21,   0.00
10/04/14 01:00,  0.000, 16.680,  56.66,  0.179,  27.08,   0.00
10/04/14 02:00,  0.000, 15.960,  60.29,  0.015,  46.65,   0.00
10/04/14 03:00,  0.000, 15.430,  63.00,  0.039, 269.80,   0.00
10/04/14 04:00,  0.000, 14.350,  73.50,  0.159, 250.90,   0.00
10/04/14 05:00,  0.000, 10.980,  86.70,  0.016, 258.10,   0.00
10/04/14 06:00,  0.000, 10.340,  80.90,  0.163, 249.50,   0.02
10/04/14 07:00,  0.000, 10.330,  83.30,  0.050, 257.20,  15.37
10/04/14 08:00,  0.000, 13.840,  68.99,  0.242,  83.50, 168.47
10/04/14 09:00,  0.000, 16.580,  59.32,  1.973, 115.30, 392.15
10/04/14 10:00,  0.000, 18.720,  48.33,  2.681, 132.40, 597.97
10/04/14 11:00,  0.000, 20.510,  44.00,  2.806, 149.00, 754.06
10/04/14 12:00,  0.000, 22.470,  40.82,  2.752, 167.90, 846.89
10/04/14 13:00,  0.000, 23.690,  39.16,  2.495, 192.80, 870.53
10/04/14 14:00,  0.000, 24.920,  35.80,  2.691, 186.50, 825.33
10/04/14 15:00,  0.000, 25.680,  36.54,  2.555, 187.40, 711.65
10/04/14 16:00,  0.000, 25.960,  34.65,  2.681, 189.10, 543.04
10/04/14 17:00,  0.000, 25.730,  35.39,  2.708, 177.80, 334.44
10/04/14 18:00,  0.000, 24.270,  38.54,  2.292, 182.00,  94.11
10/04/14 19:00,  0.000, 21.820,  45.08,  1.453, 195.80,   1.74
10/04/14 20:00,  0.000, 20.220,  47.39,  1.980, 196.00,   0.00
10/04/14 21:00,  0.000, 19.430,  50.98,  2.175, 192.30,   0.00
10/04/14 22:00,  0.000, 18.640,  55.25,  1.836, 191.80,   0.00
10/04/14 23:00,  0.000, 18.110,  58.54,  2.006, 194.60,   0.00
10/05/14 00:00,  0.000, 18.310,  65.28,  3.035, 208.90,   0.00
10/05/14 01:00,  0.000, 17.920,  77.87,  3.281, 213.70,   0.00
10/05/14 02:00,  0.000, 17.730,  88.00,  3.519, 215.20,   0.00
10/05/14 03:00,  0.000, 17.960,  87.30,  4.025, 214.40,   0.00
10/05/14 04:00,  0.000, 18.160,  86.50,  4.033, 215.00,   0.00
10/05/14 05:00,  0.000, 18.400,  85.70,  4.174, 216.50,   0.00
