Model,Loss,Mean_absolute_error,Val_loss,Val_mean_absolute_error
Baseline (min-max),4.12E-04,0.0039,null,null
Baseline (mean),9.60E-03,0.0187,null,null
Single-Step Dense (min-max),2.58E-04,0.0091,5.75E-04,0.0148
Single-Step Dense (mean),8.40E-03,0.036,6.50E-03,0.0462
Multi-Step Dense (min-max),6.48E-04,0.0174,3.20E-03,0.0313
Multi-Step Dense (mean),3.96E-02,0.1382,5.75E-02,0.1793
Multi-Step CNN (min-max),5.69E-04,0.0159,3.60E-03,0.0325
Multi-Step CNN (mean),3.44E-02,0.1268,5.94E-02,0.1749
Multi-Step RNN LSTM (min-max),1.12E-04,0.0032,4.91E-04,0.0066
Multi-Step RNN LSTM (mean),2.80E-03,0.0184,0.0066,0.0272
