# Configuration:
# Stations: Station1, Station2
# Target: Sat_SM_AMSR
# Model Type: lstm
# Steps: 7
#
stations,target,model_type,n_steps,features,mse,mae,mae_percentage
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Windspeed', 'distance_AMSR')",0.0009289005587812759,0.020419947337821983,16.71052581149934
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Windspeed')",0.0009359770245590575,0.02064368126719238,16.828002415958764
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Winddirection')",0.0009397638117453232,0.02062281895181156,16.8789031214537
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Windspeed',)",0.0009652273184303006,0.020695481395597404,16.883921242984737
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Windspeed')",0.0009089258973117031,0.02044424009190255,16.897982221499756
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'distance_AMSR')",0.0009516270628203584,0.020783454156375916,16.934300607986764
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'distance_AMSR')",0.0009789727667074688,0.020792775450856917,16.97556360691764
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'distance_AMSR')",0.0009546008702109376,0.020777861680952546,17.004930241159453
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'distance_AMSR')",0.0009550137139235693,0.02077999609294557,17.014116997565846
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair')",0.0009606867282529316,0.02060145873420597,17.02110298846039
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Winddirection', 'distance_AMSR')",0.0009713251451305828,0.021087280342599213,17.03379606498398
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Windspeed')",0.0009174109666668953,0.020615759541099,17.04874721301142
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH')",0.0009490421083187568,0.021026320888352577,17.059601091134276
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair',)",0.0009640147259458647,0.02105103841435356,17.075518331592303
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'distance_AMSR')",0.0009308956224511235,0.020627223400423216,17.088083326061334
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Windspeed', 'distance_AMSR')",0.0009339330485197701,0.020868684916454678,17.113695397377505
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('distance_AMSR',)",0.0009371005228321926,0.020996992831271922,17.14759867836796
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Windspeed')",0.000930537944678479,0.020932702160194498,17.152940762739828
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair')",0.00097769724191323,0.021339825036103485,17.15451105346397
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Windspeed')",0.000927190354024784,0.020932952503664098,17.1559570500069
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Windspeed')",0.0009356816612576522,0.021099817244477802,17.16113454327458
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'Windspeed')",0.0009536738718022551,0.021259240016786234,17.173416772628634
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Windspeed', 'Winddirection')",0.0009509851145278962,0.02134480009077662,17.2061196208363
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'distance_AMSR')",0.0009562123894765309,0.021490187071849937,17.258686993414045
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH',)",0.0009406738883772269,0.02108691989347768,17.277221410163467
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad',)",0.0009338681927239747,0.020981453862253755,17.312594524004943
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Windspeed', 'distance_AMSR')",0.000994010465847252,0.02153823709011229,17.315769312212296
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'distance_AMSR')",0.0009506704679702995,0.021157879620117108,17.32631582604062
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Windspeed', 'distance_AMSR')",0.0009518404525249023,0.021370705601674984,17.329366264473258
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'distance_AMSR')",0.0009822802477272054,0.021607286374795708,17.340877321235755
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Windspeed', 'Winddirection')",0.0009786690024225358,0.021973597521536006,17.342464249308463
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Winddirection')",0.0009431088382883095,0.021452180824966444,17.346800562203274
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Windspeed', 'Winddirection')",0.0009469164231970951,0.02176337860690179,17.364439980994042
