# Configuration:
# Stations: Station1, Station3
# Target: Sat_SM_SMAP
# Model Type: lstm
# Steps: 5
#
stations,target,model_type,n_steps,features,mse,mae,mae_percentage
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Windspeed')",0.0008387825675876768,0.020645371618441877,13.850733369729399
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt',)",0.0008650499901370077,0.02119480979004643,14.11474820427579
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'distance_SMAP')",0.000866524384945066,0.021140313982067258,14.184612116671113
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'RH')",0.000851616402449134,0.02129225757602992,14.197457267323808
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'RH', 'Windspeed')",0.0008512601285633825,0.021210067410775305,14.208930204430098
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Winddirection')",0.0008708186703276584,0.021207225085863483,14.225279569808755
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'Windspeed')",0.0008661189821970998,0.021255178294575124,14.28616390021394
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'Tair')",0.0008542416298153284,0.02132249000757157,14.37978207201804
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad')",0.0008616922189816791,0.021409608609075613,14.402756093157699
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Windspeed',)",0.0008893543240138993,0.02158029899252797,14.409656414662637
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Tair')",0.0008709827509824089,0.02143241964979365,14.448308064318539
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('RH',)",0.0008762597609280399,0.02167922232686843,14.451607016661114
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('distance_SMAP',)",0.0008931147232341985,0.021680173688804896,14.48475194522863
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'RH')",0.0008566555439517803,0.021594391477739575,14.505705032250185
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Winddirection', 'distance_SMAP')",0.0008832726591706208,0.021535115461027453,14.507364721877686
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('RH', 'Windspeed')",0.0008747332209786702,0.021701013297025222,14.551415407179125
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'Windspeed', 'distance_SMAP')",0.0008753389546497293,0.021571727867950516,14.588019697075163
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'distance_SMAP')",0.0008793781024212868,0.021660644862590166,14.599033668484124
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'RH', 'Winddirection')",0.0008716068243308835,0.021797536631496608,14.65212968468497
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad',)",0.0008827243616492561,0.02183673761613354,14.657169724238738
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Windspeed')",0.0008888928170267652,0.021797073163660745,14.686325886014744
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'distance_SMAP')",0.0008800232774045451,0.021801707731544745,14.689793426790896
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Tair',)",0.0009004407676807803,0.022031675646784387,14.721273432821768
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Windspeed', 'distance_SMAP')",0.0009045331425176507,0.02191815694456572,14.723260372910058
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Winddirection',)",0.00091629916554641,0.02205755126228183,14.740488121785756
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Windspeed', 'distance_SMAP')",0.000900138854078958,0.021672968226528852,14.740591647055906
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Winddirection', 'distance_SMAP')",0.0009031506674730523,0.022062912991809305,14.761884364326244
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Tair', 'Windspeed')",0.0008805855283797601,0.02183263820918165,14.770468774606679
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Tair')",0.000883401958349429,0.021898150455863942,14.784303499983528
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'RH', 'Windspeed')",0.0008802358449096578,0.021793663629986113,14.798102062590681
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Tair', 'distance_SMAP')",0.0009042262727295453,0.02207186886041172,14.801411894233397
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Winddirection', 'distance_SMAP')",0.0009143555740478516,0.022108879237796496,14.832871567593578
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Tair', 'distance_SMAP')",0.0008995074533347766,0.02183795414436482,14.83835147656982
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Winddirection')",0.0008889640402681134,0.022119293206784362,14.875323139941932
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Tair', 'RH')",0.0008845241375864824,0.02201813913593309,14.893755622213876
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Windspeed', 'Winddirection')",0.0009580607623362669,0.02231116465698515,14.950546110015923
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'Tair', 'distance_SMAP')",0.0008948570949961964,0.02212342108642222,14.963151629881244
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Srad', 'RH', 'distance_SMAP')",0.0008800387989306665,0.022042374023215048,14.963259659286809
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Windspeed', 'Winddirection', 'distance_SMAP')",0.0009170161116218352,0.022147752396644963,14.96538841083275
"Station1, Station3",Sat_SM_SMAP,lstm,5,"('Ppt', 'Srad', 'RH')",0.0008851420280359819,0.021976680651792063,14.973397788499184
