Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude,Sat_SM_SMAP,Sat_SM_AMSR,distance_AMSR,distance_SMAP,distance_AMSR,distance_AMSR,distance_SMAP
2015-01-01,0.252,0.14,0.178,0.148,0.152,3.56,4.28,5.29,9.99,-0.105,98.7,0.957,41.33,85.24,,,,,,,,,
2015-01-02,0.0,0.158,0.18,0.148,0.151,3.81,4.56,5.41,9.43,1.134,100.0,1.53,32.74,44.92,30.3989,-98.6105,,,,,,,
2015-01-03,0.0,0.182,0.213,0.172,0.151,9.21,6.67,6.01,9.09,11.34,49.38,1.635,233.7,623.69,,,,,,,,,
2015-01-04,0.0,0.167,0.205,0.172,0.151,7.35,6.29,6.33,9.81,5.698,53.8,3.458,24.61,621.26,,,,,,,,,
2015-01-05,0.0,0.155,0.198,0.168,0.151,4.04,3.46,4.39,9.42,6.204,36.29,1.438,167.5,583.71,,,,,,,,,
2015-01-06,0.0,0.155,0.198,0.167,0.151,10.86,7.86,6.93,9.44,17.28,31.21,1.576,153.9,589.97,,,,,,,,,
2015-01-07,0.0,0.151,0.196,0.166,0.152,9.78,8.7,8.66,10.76,7.042,47.47,4.055,32.15,509.66,,,,,,,,,
2015-01-08,0.0,0.144,0.189,0.162,0.152,2.13,3.34,4.88,10.12,-3.7,47.75,1.402,198.0,181.82,,,,,,,,,
2015-01-09,0.0,0.144,0.19,0.161,0.152,4.89,5.33,5.92,9.13,1.498,54.36,3.051,55.77,108.36,30.3989,-98.6105,,,,,,,
2015-01-10,0.0,0.18,0.193,0.159,0.152,2.61,3.31,4.26,8.48,-1.734,94.4,0.382,66.61,66.26,30.3989,-98.6105,,,,,,,
2015-01-11,0.0,0.193,0.225,0.196,0.152,8.51,5.99,5.29,7.93,7.923,86.5,2.115,209.3,472.12,30.3989,-98.6105,,,,,,,
2015-01-12,0.0,0.182,0.216,0.189,0.155,6.47,6.5,6.78,9.03,4.557,100.0,1.663,36.2,66.4,30.3989,-98.6105,,,,,,,
2015-01-13,0.0,0.177,0.212,0.185,0.163,3.47,4.14,5.04,8.61,-0.43,92.4,1.639,14.0,116.64,,,,,,,,,
2015-01-14,0.0,0.178,0.211,0.182,0.167,4.23,4.47,5.03,8.1,1.309,99.6,1.226,50.03,80.06,,,,,,,,,
2015-01-15,0.0,0.178,0.213,0.184,0.169,7.86,5.72,5.27,7.92,7.833,64.84,2.493,2.58,625.78,30.3989,-98.6105,,,,,,,
2015-01-16,0.0,0.171,0.208,0.18,0.171,8.5,5.89,5.53,8.57,13.39,45.32,1.817,233.4,633.77,,,,,,,,,
2015-01-17,0.0,0.164,0.205,0.177,0.172,10.71,8.14,7.6,9.38,16.01,47.81,3.199,236.3,564.59,,,,,,,,,
2015-01-18,0.0,0.159,0.202,0.175,0.172,11.37,8.41,7.71,9.87,17.79,19.3,1.695,193.0,670.28,,,,,,,,,
2015-01-19,0.0,0.156,0.201,0.173,0.172,13.48,10.25,9.25,10.54,18.94,33.55,3.115,213.9,644.9,,,,,,,,,
