Date,Ppt,SWC_5,SWC_10,SWC_20,T_5,T_10,T_20,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude,SWC_50,T_50,Sat_SM_SMAP,Sat_SM_AMSR,distance_AMSR,distance_SMAP
2015-01-01,0.509,0.233,0.253,0.199,3.03,3.83,7.5,0.012,100.0,0.117,356.3,91.5,,,0.1212080150840965,14.430344578604016,,,,
2015-01-02,0.0,0.249,0.256,0.198,3.52,4.23,7.21,1.117,100.0,0.726,29.16,55.29,30.46,-98.9407,0.2132827557944594,14.432243440743036,,,,
2015-01-03,0.0,0.275,0.297,0.201,6.4,5.46,7.0,9.55,56.09,0.978,292.9,619.36,,,0.1213188122269187,13.26347906087593,,,,
2015-01-04,0.0,0.261,0.286,0.212,5.21,4.97,7.76,5.394,60.91,1.994,337.2,617.21,,,0.1278724308878721,14.96658522260571,,,,
2015-01-05,0.0,0.247,0.278,0.214,1.54,3.07,7.14,8.02,33.13,0.867,174.2,592.25,30.46,-98.9407,0.1988860194719919,16.18449023708979,,,,
2015-01-06,0.0,0.247,0.275,0.214,7.21,5.94,7.36,17.73,32.06,0.392,301.7,588.17,30.46,-98.9407,0.2080935634323495,14.593497408398434,,,,
2015-01-07,0.0,0.243,0.273,0.215,7.03,6.85,8.89,6.805,49.68,2.512,0.14,521.91,30.46,-98.9407,0.2175263363264541,15.726995939481585,,,,
2015-01-08,0.0,0.236,0.267,0.213,1.41,3.12,7.58,-2.706,47.82,0.869,195.7,198.78,30.46,-98.9407,0.2074606015042484,16.20594750263882,,,,
2015-01-09,0.0,0.237,0.266,0.212,4.09,4.52,6.81,1.356,62.83,2.001,33.15,110.49,30.46,-98.9407,0.2137317389973247,13.166714739792724,,,,
2015-01-10,0.0,0.241,0.265,0.211,2.4,3.24,6.32,-1.406,96.1,0.022,93.8,77.0,,,0.1277911482941825,12.197181962773175,,,,
2015-01-11,0.0,0.28,0.303,0.221,6.59,5.14,6.06,10.03,88.4,0.742,214.6,525.13,,,0.1322249440790709,12.215616077693076,,,,
2015-01-12,0.0,0.269,0.294,0.236,6.13,6.27,7.9,4.354,100.0,0.701,13.38,77.36,30.46,-98.9407,0.2379860372309785,13.415449516413332,,,,
2015-01-13,0.0,0.267,0.292,0.236,3.49,4.23,7.13,-0.568,97.3,0.557,337.9,126.32,,,0.1409001864480358,12.777662904635829,,,,
2015-01-14,0.0,0.267,0.29,0.235,3.93,4.36,6.64,1.158,100.0,0.581,20.08,74.28,30.46,-98.9407,0.2390033090960308,13.031927458199334,,,,
2015-01-15,0.0,0.27,0.294,0.237,5.41,4.69,6.44,7.776,68.25,1.407,325.5,622.8,,,0.141322159649761,12.740031602413833,,,,
2015-01-16,0.0,0.261,0.287,0.237,5.58,4.66,6.94,13.98,42.62,0.765,205.8,641.3,,,0.1416544536209655,14.54806875019357,,,,
