Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude,Sat_SM_SMAP,Sat_SM_AMSR
2015-01-01,0.76,0.232,0.265,0.2620663784730404,0.266,3.94,4.63,0.0,12.08,0.177,100.0,0.89,19.52,84.2,30.2454,-98.7059,,
2015-01-02,0.0,0.234,0.265,0.2622423000028817,0.264,4.19,4.71,0.0,11.46,1.818,100.0,1.481,6.66,54.82,30.2454,-98.7059,,
2015-01-03,0.0,0.31,0.328,0.3065584839179962,0.263,6.82,6.05,0.0,10.97,10.46,57.33,1.601,339.1,618.76,30.2454,-98.7059,,
2015-01-04,0.0,0.292,0.313,0.294950631359594,0.264,6.15,6.05,0.0,11.01,5.803,54.65,4.02,346.3,621.41,30.2454,-98.7059,,
2015-01-05,0.0,0.275,0.301,0.2897596772063622,0.265,1.37,2.62,0.0,10.91,4.809,43.72,1.462,179.8,587.95,30.2454,-98.7059,,
2015-01-06,0.0,0.278,0.302,0.2878309009557966,0.265,7.72,6.69,0.0,10.53,16.77,33.84,2.495,220.8,586.02,30.2454,-98.7059,,
2015-01-07,0.0,0.274,0.301,0.2872686378603823,0.266,7.84,7.71,0.0,10.86,7.755,46.48,3.737,9.25,493.81,30.2454,-98.7059,,
2015-01-08,0.0,0.262,0.291,0.2813848700684183,0.266,1.18,2.44,0.0,11.05,-3.405,45.38,1.492,176.4,174.43,30.2454,-98.7059,,
2015-01-09,0.0,0.263,0.291,0.2807959802346502,0.265,3.69,4.16,0.0,10.34,1.495,61.06,4.355,39.7,122.89,30.2454,-98.7059,,
2015-01-10,0.0,0.26,0.288,0.2820114372605573,0.264,2.47,3.05,0.0,9.9,-1.555,95.0,0.409,29.12,84.24,30.2454,-98.7059,,
2015-01-11,0.0,0.302,0.317,0.3011149124198375,0.264,5.77,5.02,0.0,9.49,7.705,92.5,1.897,181.2,342.61,30.2454,-98.7059,,
2015-01-12,0.25,0.294,0.312,0.2972213055339665,0.264,5.69,5.78,0.0,9.71,5.222,100.0,2.28,18.61,69.77,30.2454,-98.7059,,
2015-01-13,0.0,0.289,0.309,0.2949590883118524,0.264,3.3,3.87,0.0,9.8,0.059,94.9,2.584,339.2,149.32,30.2454,-98.7059,,
2015-01-14,0.0,0.288,0.306,0.2939500761590103,0.264,3.84,4.13,0.0,9.51,1.467,100.0,1.585,23.71,81.33,30.2454,-98.7059,,
2015-01-15,0.0,0.298,0.315,0.2993392601733191,0.263,5.86,5.27,0.0,9.29,7.654,69.08,2.549,335.8,617.8,30.2454,-98.7059,,
2015-01-16,0.0,0.286,0.307,0.2936867595610515,0.264,5.93,5.32,0.0,9.47,13.06,46.33,2.19,208.1,615.39,30.2454,-98.7059,,
2015-01-17,0.0,0.282,0.305,0.2906172027623555,0.264,8.19,7.45,0.0,9.75,15.56,49.55,4.112,231.5,618.04,30.2454,-98.7059,,
2015-01-18,0.0,0.277,0.302,0.2885068282299485,0.265,8.74,7.88,0.0,10.18,17.29,26.56,1.847,203.7,667.88,30.2454,-98.7059,,
2015-01-19,0.0,0.274,0.3,0.2855658967815309,0.266,9.91,8.97,0.0,10.6,18.66,37.11,4.272,220.7,646.21,30.2454,-98.7059,,
2015-01-20,0.0,0.264,0.291,0.2790496549390688,0.267,10.93,9.89,0.0,11.14,23.78,28.64,1.462,229.3,637.06,30.2454,-98.7059,,
2015-01-21,0.0,0.277,0.293,0.2792167380081061,0.268,10.29,10.45,0.0,11.82,9.01,94.2,1.935,52.31,112.41,30.2454,-98.7059,,
2015-01-22,2.29,0.359,0.367,0.3425512834509163,0.325,7.21,7.44,0.0,11.78,5.574,100.0,3.68,21.98,49.79,30.2454,-98.7059,,
2015-01-23,0.25,0.369,0.369,0.3438058229463472,0.32,4.37,5.42,0.0,11.41,2.481,96.9,3.437,338.4,162.85,30.2454,-98.7059,,
2015-01-24,0.0,0.34,0.344,0.3259905007937114,0.315,5.04,5.14,0.0,10.7,10.2,44.31,2.471,325.6,677.75,30.2454,-98.7059,,
2015-01-25,0.0,0.334,0.339,0.319901661053418,0.307,8.16,7.76,0.0,10.41,15.0,43.55,3.436,338.7,634.17,30.2454,-98.7059,,
2015-01-26,0.0,0.325,0.331,0.3125090421434464,0.302,8.86,8.19,0.0,10.57,18.46,29.8,2.36,325.2,510.42,30.2454,-98.7059,,
2015-01-27,0.0,0.32,0.328,0.3096732168193803,0.298,10.49,9.84,0.0,10.79,20.92,28.74,1.988,329.4,672.21,30.2454,-98.7059,,
2015-01-28,0.0,0.316,0.324,0.3044796127838296,0.296,12.49,11.77,0.0,11.37,22.53,27.9,3.678,203.6,654.4,30.2454,-98.7059,,
2015-01-29,0.0,0.311,0.321,0.302086558847332,0.295,14.42,13.76,0.0,12.08,20.57,40.61,1.273,221.6,661.38,30.2454,-98.7059,,
2015-01-30,0.0,0.301,0.313,0.2961957410590479,0.294,11.01,11.16,0.0,12.85,9.62,52.0,2.215,50.1,558.33,30.2454,-98.7059,,
2015-01-31,0.25,0.295,0.309,0.2925702554916327,0.293,10.49,10.7,0.0,13.03,9.4,100.0,3.207,149.8,78.73,30.2454,-98.7059,,
2015-02-01,0.0,0.344,0.345,0.3158463903306767,0.291,15.56,14.74,0.0,12.96,18.49,72.8,3.964,326.4,589.87,30.2454,-98.7059,,
2015-02-02,0.0,0.316,0.323,0.3038725198803789,0.291,5.41,6.65,0.0,13.18,3.661,44.81,1.967,8.07,578.8,30.2454,-98.7059,,
2015-02-03,0.0,0.31,0.317,0.2988893029817596,0.289,6.01,6.47,0.0,12.37,5.853,70.92,2.238,194.3,146.84,30.2454,-98.7059,,
2015-02-04,0.0,0.311,0.317,0.2987019453371005,0.288,9.29,8.77,0.0,11.74,9.53,87.8,3.127,219.8,228.97,30.2454,-98.7059,,
2015-02-05,0.0,0.303,0.312,0.2960972592068351,0.287,5.22,6.32,0.0,11.7,1.236,86.2,3.153,336.4,190.06,30.2454,-98.7059,,
2015-02-06,0.0,0.304,0.311,0.2956531975120846,0.286,8.4,7.74,0.0,11.3,9.82,70.68,2.691,209.9,605.28,30.2454,-98.7059,,
2015-02-07,0.0,0.303,0.312,0.2954973786404622,0.286,10.32,9.9,0.0,11.28,13.81,64.56,4.779,203.6,723.26,30.2454,-98.7059,,
2015-02-08,0.0,0.305,0.315,0.2963371093933205,0.286,14.57,13.72,0.0,11.67,20.66,51.56,3.007,225.4,714.83,30.2454,-98.7059,,
2015-02-09,0.0,0.301,0.312,0.2937019927591002,0.287,14.5,13.98,0.0,12.57,22.51,28.34,1.637,14.26,723.5,30.2454,-98.7059,,
2015-02-10,0.0,0.297,0.309,0.2891452269157319,0.288,14.59,14.1,0.0,13.33,22.17,32.62,4.422,193.9,735.77,30.2454,-98.7059,,
2015-02-11,0.0,0.292,0.307,0.2866409042426596,0.288,15.43,15.0,0.0,13.91,20.77,29.59,4.206,176.3,616.84,30.2454,-98.7059,,
2015-02-12,0.0,0.283,0.301,0.2841724490755979,0.288,12.37,12.69,0.0,14.41,10.57,38.21,2.862,3.13,672.94,30.2454,-98.7059,,
2015-02-13,0.0,0.28,0.297,0.280982714027143,0.288,12.24,12.09,0.0,14.35,15.67,41.4,2.306,228.2,687.62,30.2454,-98.7059,,
2015-02-14,0.0,0.28,0.298,0.2811834319484134,0.287,15.09,14.49,0.0,14.24,20.94,45.96,1.603,356.6,718.44,30.2454,-98.7059,,
2015-02-15,0.0,0.276,0.297,0.2788639312219061,0.287,16.26,15.53,0.0,14.64,18.19,73.72,4.284,198.3,328.64,30.2454,-98.7059,,
2015-02-16,0.0,0.265,0.289,0.2748260722735374,0.287,7.84,10.15,0.0,14.95,0.137,84.8,5.791,336.8,309.62,30.2454,-98.7059,,
2015-02-17,0.0,0.261,0.283,0.2711769862868749,0.286,6.2,7.16,0.0,14.29,2.824,63.64,3.575,334.7,203.93,30.2454,-98.7059,,
