Station 1
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10         0.016112           0.016749            0.057092    124
           15         0.016623           0.016145            0.048790   1039
           20         0.016572           0.016194            0.048850   1046
           25         0.016398           0.016145            0.048783   1057
           30         0.016541           0.016194            0.048857   1064
           35         0.016468           0.016194            0.048911   1066
           40         0.016170           0.016194            0.049013   1084
           45         0.015641           0.015803            0.049186   1104
           50         0.015850           0.016145            0.049196   1119
           55         0.015758           0.016116            0.049271   1120
           60         0.015638           0.016067            0.049315   1122
           65         0.015547           0.016047            0.049388   1123
           70         0.015547           0.016047            0.049388   1123
           75         0.015462           0.016047            0.049451   1125
           80         0.014816           0.015645            0.049757   1137
           85         0.014740           0.015628            0.049833   1143
           90         0.014900           0.015684            0.049772   1158
           95         0.014519           0.015612            0.049711   1182
          100         0.013951           0.014916            0.049880   1207
          105         0.013470           0.014011            0.050014   1223
          110         0.013309           0.013828            0.049935   1231
          115         0.013173           0.013770            0.049985   1235
          120         0.013133           0.013770            0.050009   1239
          125         0.013133           0.013770            0.050009   1239
          130         0.013133           0.013770            0.050009   1239
          135         0.013133           0.013770            0.050009   1239
          140         0.013133           0.013770            0.050009   1239
          145         0.013133           0.013770            0.050009   1239
          150         0.013133           0.013770            0.050009   1239
          155         0.013133           0.013770            0.050009   1239
          160         0.013133           0.013770            0.050009   1239
          165         0.013133           0.013770            0.050009   1239
          170         0.013001           0.013615            0.050006   1244
          175         0.012985           0.013460            0.050017   1251
          180         0.012798           0.013284            0.050034   1256
          185         0.012865           0.013397            0.050039   1258
          190         0.012805           0.013397            0.050057   1260
          195         0.012795           0.013397            0.050035   1264
          200         0.012729           0.013380            0.050033   1267
Lowest standard deviation for AMSR: 0.0488 at 25 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10              NaN                NaN                 NaN      0
           15         0.023476           0.028248            0.039369   1348
           20         0.023476           0.028248            0.039369   1348
           25         0.023476           0.028248            0.039369   1348
           30         0.023476           0.028248            0.039369   1348
           35         0.023476           0.028248            0.039369   1348
           40         0.023476           0.028248            0.039369   1348
           45         0.023476           0.028248            0.039369   1348
           50         0.023476           0.028248            0.039369   1348
           55         0.023476           0.028248            0.039369   1348
           60         0.023476           0.028248            0.039369   1348
           65         0.023476           0.028248            0.039369   1348
           70         0.023476           0.028248            0.039369   1348
           75         0.023476           0.028248            0.039369   1348
           80         0.023476           0.028248            0.039369   1348
           85         0.023476           0.028248            0.039369   1348
           90         0.023476           0.028248            0.039369   1348
           95         0.023476           0.028248            0.039369   1348
          100         0.023476           0.028248            0.039369   1348
          105         0.023476           0.028248            0.039369   1348
          110         0.023476           0.028248            0.039369   1348
          115         0.023476           0.028248            0.039369   1348
          120         0.023476           0.028248            0.039369   1348
          125         0.023476           0.028248            0.039369   1348
          130         0.023476           0.028248            0.039369   1348
          135         0.023476           0.028248            0.039369   1348
          140         0.023476           0.028248            0.039369   1348
          145         0.023476           0.028248            0.039369   1348
          150         0.023476           0.028248            0.039369   1348
          155         0.023476           0.028248            0.039369   1348
          160         0.023476           0.028248            0.039369   1348
          165         0.023476           0.028248            0.039369   1348
          170         0.023476           0.028248            0.039369   1348
          175         0.023476           0.028248            0.039369   1348
          180         0.023476           0.028248            0.039369   1348
          185         0.023476           0.028248            0.039369   1348
          190         0.023476           0.028248            0.039369   1348
          195         0.023476           0.028248            0.039369   1348
          200         0.023476           0.028248            0.039369   1348
Lowest standard deviation for SMAP: 0.0394 at 15 miles

==================================================

Station 2
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10        -0.019674          -0.021354            0.059905    666
           15        -0.019405          -0.021313            0.060369   1003
           20        -0.019618          -0.020947            0.060318   1016
           25        -0.019601          -0.020582            0.060275   1025
           30        -0.019606          -0.020582            0.060217   1027
           35        -0.019989          -0.020557            0.060289   1058
           40        -0.020038          -0.020362            0.060343   1064
           45        -0.020120          -0.020557            0.060317   1066
           50        -0.020390          -0.020580            0.060451   1072
           55        -0.020474          -0.020947            0.060502   1078
           60        -0.020555          -0.021313            0.060494   1081
           65        -0.020660          -0.021354            0.060566   1082
           70        -0.020805          -0.022100            0.060567   1086
           75        -0.021119          -0.023158            0.060729   1091
           80        -0.021484          -0.023383            0.060847   1097
           85        -0.022068          -0.023986            0.061081   1108
           90        -0.022390          -0.024326            0.061131   1120
           95        -0.022644          -0.025367            0.061085   1130
          100        -0.022763          -0.025381            0.061146   1133
          105        -0.022758          -0.024941            0.061023   1158
          110        -0.022759          -0.025353            0.061036   1167
          115        -0.022482          -0.024121            0.061047   1177
          120        -0.022544          -0.024326            0.061070   1182
          125        -0.022751          -0.025381            0.061036   1187
          130        -0.022956          -0.025535            0.061068   1193
          135        -0.022841          -0.025434            0.061081   1195
          140        -0.022841          -0.025434            0.061081   1195
          145        -0.022841          -0.025434            0.061081   1195
          150        -0.022841          -0.025434            0.061081   1195
          155        -0.022920          -0.025484            0.061116   1196
          160        -0.022957          -0.025484            0.061117   1200
          165        -0.022998          -0.025684            0.061113   1204
          170        -0.023022          -0.025684            0.061036   1208
          175        -0.022985          -0.025535            0.061024   1209
          180        -0.022875          -0.025434            0.061034   1211
          185        -0.022962          -0.025484            0.060976   1218
          190        -0.022909          -0.025434            0.060979   1219
          195        -0.022882          -0.025407            0.060961   1220
          200        -0.023018          -0.025484            0.061013   1222
Lowest standard deviation for AMSR: 0.0599 at 10 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10        -0.009957          -0.008595            0.046969   1301
           15        -0.009957          -0.008595            0.046969   1301
           20        -0.009957          -0.008595            0.046969   1301
           25        -0.009957          -0.008595            0.046969   1301
           30        -0.009957          -0.008595            0.046969   1301
           35        -0.009957          -0.008595            0.046969   1301
           40        -0.009957          -0.008595            0.046969   1301
           45        -0.009957          -0.008595            0.046969   1301
           50        -0.009957          -0.008595            0.046969   1301
           55        -0.009957          -0.008595            0.046969   1301
           60        -0.009957          -0.008595            0.046969   1301
           65        -0.009957          -0.008595            0.046969   1301
           70        -0.009957          -0.008595            0.046969   1301
           75        -0.009957          -0.008595            0.046969   1301
           80        -0.009957          -0.008595            0.046969   1301
           85        -0.009957          -0.008595            0.046969   1301
           90        -0.009957          -0.008595            0.046969   1301
           95        -0.009957          -0.008595            0.046969   1301
          100        -0.009957          -0.008595            0.046969   1301
          105        -0.009957          -0.008595            0.046969   1301
          110        -0.009957          -0.008595            0.046969   1301
          115        -0.009957          -0.008595            0.046969   1301
          120        -0.009957          -0.008595            0.046969   1301
          125        -0.009957          -0.008595            0.046969   1301
          130        -0.009957          -0.008595            0.046969   1301
          135        -0.009957          -0.008595            0.046969   1301
          140        -0.009957          -0.008595            0.046969   1301
          145        -0.009957          -0.008595            0.046969   1301
          150        -0.009957          -0.008595            0.046969   1301
          155        -0.009957          -0.008595            0.046969   1301
          160        -0.009957          -0.008595            0.046969   1301
          165        -0.009957          -0.008595            0.046969   1301
          170        -0.009957          -0.008595            0.046969   1301
          175        -0.009957          -0.008595            0.046969   1301
          180        -0.009957          -0.008595            0.046969   1301
          185        -0.009957          -0.008595            0.046969   1301
          190        -0.009957          -0.008595            0.046969   1301
          195        -0.009957          -0.008595            0.046969   1301
          200        -0.009957          -0.008595            0.046969   1301
Lowest standard deviation for SMAP: 0.0470 at 10 miles

==================================================

Station 3
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10              NaN                NaN                 NaN      0
           15        -0.003971          -0.006872            0.045680   1052
           20        -0.004184          -0.006928            0.045603   1070
           25        -0.004297          -0.007029            0.045542   1080
           30        -0.004263          -0.007029            0.045523   1082
           35        -0.004759          -0.007107            0.045818   1102
           40        -0.005049          -0.007181            0.045862   1122
           45        -0.005345          -0.007802            0.045942   1129
           50        -0.005310          -0.007654            0.045914   1132
           55        -0.005372          -0.007887            0.045933   1138
           60        -0.005419          -0.007887            0.045928   1140
           65        -0.005525          -0.007971            0.046047   1141
           70        -0.005684          -0.008069            0.046098   1145
           75        -0.005863          -0.008157            0.046199   1149
           80        -0.006140          -0.008214            0.046296   1155
           85        -0.006480          -0.008298            0.046410   1164
           90        -0.006851          -0.008553            0.046460   1176
           95        -0.007236          -0.008919            0.046495   1191
          100        -0.007230          -0.008865            0.046570   1197
          105        -0.007332          -0.008824            0.046508   1224
          110        -0.007284          -0.008892            0.046560   1236
          115        -0.007232          -0.008865            0.046522   1245
          120        -0.007348          -0.008968            0.046493   1250
          125        -0.007499          -0.009156            0.046501   1254
          130        -0.007481          -0.009156            0.046528   1258
          135        -0.007472          -0.009156            0.046508   1260
          140        -0.007472          -0.009156            0.046508   1260
          145        -0.007472          -0.009156            0.046508   1260
          150        -0.007472          -0.009156            0.046508   1260
          155        -0.007472          -0.009156            0.046508   1260
          160        -0.007523          -0.009156            0.046521   1264
          165        -0.007562          -0.009156            0.046577   1268
          170        -0.007600          -0.009255            0.046543   1271
          175        -0.007528          -0.009037            0.046529   1274
          180        -0.007475          -0.009017            0.046539   1277
          185        -0.007571          -0.009017            0.046571   1283
          190        -0.007537          -0.008968            0.046568   1284
          195        -0.007515          -0.008919            0.046557   1285
          200        -0.007606          -0.009017            0.046614   1287
Lowest standard deviation for AMSR: 0.0455 at 30 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10         0.005418           0.006119            0.035463   1374
           15         0.005418           0.006119            0.035463   1374
           20         0.005418           0.006119            0.035463   1374
           25         0.005418           0.006119            0.035463   1374
           30         0.005418           0.006119            0.035463   1374
           35         0.005418           0.006119            0.035463   1374
