Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,Sat_SM_AMSR,24,6,1,2.0674822330474854,2.0499813556671143
Baseline,Sat_SM_AMSR,24,6,2,2.0674824714660645,2.0499813556671143
Baseline,Sat_SM_AMSR,24,6,3,2.0674827098846436,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,4,2.0674824714660645,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,5,2.0674824714660645,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,6,2.0674824714660645,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,7,2.0674822330474854,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,8,2.0674822330474854,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,9,2.0674824714660645,2.049981117248535
Baseline,Sat_SM_AMSR,24,6,10,2.0674822330474854,2.0499813556671143
Multi-step Linear,Sat_SM_AMSR,24,6,1,0.9803547859191895,1.174614667892456
Multi-step Linear,Sat_SM_AMSR,24,6,2,0.9717856645584106,1.1711921691894531
Multi-step Linear,Sat_SM_AMSR,24,6,3,0.9665530323982239,1.170403003692627
Multi-step Linear,Sat_SM_AMSR,24,6,4,0.9630181193351746,1.1693674325942993
Multi-step Linear,Sat_SM_AMSR,24,6,5,0.9606027603149414,1.1693038940429688
Multi-step Linear,Sat_SM_AMSR,24,6,6,0.95881587266922,1.1702059507369995
Multi-step Linear,Sat_SM_AMSR,24,6,7,0.9576873779296875,1.1695853471755981
Multi-step Linear,Sat_SM_AMSR,24,6,8,0.9568593502044678,1.1708639860153198
Multi-step Linear,Sat_SM_AMSR,24,6,9,0.9560472965240479,1.1716877222061157
Multi-step Linear,Sat_SM_AMSR,24,6,10,0.9557791948318481,1.171067476272583
Multi-step Dense,Sat_SM_AMSR,24,6,1,0.9724071025848389,1.1696085929870605
Multi-step Dense,Sat_SM_AMSR,24,6,2,0.9475731253623962,1.1737006902694702
Multi-step Dense,Sat_SM_AMSR,24,6,3,0.9342917203903198,1.1719392538070679
Multi-step Dense,Sat_SM_AMSR,24,6,4,0.9277269244194031,1.1764326095581055
Multi-step Dense,Sat_SM_AMSR,24,6,5,0.9205469489097595,1.1789023876190186
Multi-step Dense,Sat_SM_AMSR,24,6,6,0.9163616895675659,1.1750842332839966
Multi-step Dense,Sat_SM_AMSR,24,6,7,0.9122411608695984,1.177890419960022
Multi-step Dense,Sat_SM_AMSR,24,6,8,0.908002495765686,1.1859523057937622
Multi-step Dense,Sat_SM_AMSR,24,6,9,0.9052037596702576,1.1812642812728882
Multi-step Dense,Sat_SM_AMSR,24,6,10,0.9030016660690308,1.1819641590118408
CNN,Sat_SM_AMSR,24,6,1,0.9657951593399048,1.1574605703353882
CNN,Sat_SM_AMSR,24,6,2,0.9208530783653259,1.1691477298736572
CNN,Sat_SM_AMSR,24,6,3,0.9001317620277405,1.1653847694396973
CNN,Sat_SM_AMSR,24,6,4,0.8878161311149597,1.1628936529159546
CNN,Sat_SM_AMSR,24,6,5,0.8756077289581299,1.1662639379501343
CNN,Sat_SM_AMSR,24,6,6,0.8671167492866516,1.1659517288208008
CNN,Sat_SM_AMSR,24,6,7,0.8585671782493591,1.1681150197982788
CNN,Sat_SM_AMSR,24,6,8,0.8500709533691406,1.1784087419509888
CNN,Sat_SM_AMSR,24,6,9,0.8440600037574768,1.1798275709152222
CNN,Sat_SM_AMSR,24,6,10,0.8362898230552673,1.1800823211669922
RNN,Sat_SM_AMSR,24,6,1,0.9523084163665771,1.1594910621643066
RNN,Sat_SM_AMSR,24,6,2,0.8908861875534058,1.0955079793930054
RNN,Sat_SM_AMSR,24,6,3,0.8365326523780823,1.0859984159469604
RNN,Sat_SM_AMSR,24,6,4,0.810484766960144,1.0931358337402344
RNN,Sat_SM_AMSR,24,6,5,0.7890088558197021,1.0795093774795532
RNN,Sat_SM_AMSR,24,6,6,0.7584923505783081,1.0986428260803223
RNN,Sat_SM_AMSR,24,6,7,0.736498236656189,1.114829421043396
RNN,Sat_SM_AMSR,24,6,8,0.7111740112304688,1.1035512685775757
RNN,Sat_SM_AMSR,24,6,9,0.6766871213912964,1.0966023206710815
RNN,Sat_SM_AMSR,24,6,10,0.6404370665550232,1.0842478275299072
LSTM,Sat_SM_AMSR,24,6,1,0.9582176208496094,1.1904575824737549
LSTM,Sat_SM_AMSR,24,6,2,0.9034324884414673,1.179335355758667
