Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,Sat_SM_SMAP,48,12,Baseline,nan,nan,nan
1,Sat_SM_SMAP,48,12,Multi-step Linear,nan,nan,nan
1,Sat_SM_SMAP,48,12,Multi-step Dense,nan,nan,nan
1,Sat_SM_SMAP,48,12,CNN,nan,nan,nan
1,Sat_SM_SMAP,48,12,RNN,nan,nan,nan
1,Sat_SM_SMAP,48,12,LSTM,nan,nan,nan
1,Sat_SM_SMAP,48,12,Autoregressive,nan,nan,nan
1,Sat_SM_SMAP,48,12,Bi-LSTM,nan,nan,nan
1,Sat_SM_SMAP,48,12,LSTM_Attention,nan,nan,nan
1,Sat_SM_SMAP,48,12,BiLSTM_Attention,nan,nan,nan
