features,mse,mae,mae_percentage
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.000702202081139186,0.018644931647988305,12.484262597945644
"('Ppt', 'Srad', 'Tair', 'RH', 'Sat_SM_AMSR')",0.0007105534707963589,0.01881444446885589,12.653239084898937
"('Ppt', 'Srad')",0.0007114432114962714,0.018795024950998104,12.641776327053686
"('Ppt',)",0.0007134812868533195,0.018243350168599022,12.108740056103686
"('Ppt', 'Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007158145538414012,0.01873171520347355,12.691457259118149
"('Ppt', 'Srad', 'Winddirection')",0.0007164612953959896,0.018991915801790236,12.814908961390362
"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007224499094157541,0.019225964950512885,12.9846959463284
"('Ppt', 'Srad', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007229953864166142,0.019122527207622836,12.896738737846192
"('Ppt', 'Winddirection')",0.0007231512077927242,0.018549451564030667,12.409805228071356
"('Ppt', 'Srad', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007264046500490808,0.019319885379009534,13.077919514398234
"('Srad', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007277427835796074,0.01930120909040363,12.903614272266347
"('Ppt', 'Srad', 'Sat_SM_AMSR')",0.0007286184856598244,0.019125177707628026,12.944816455046293
"('Ppt', 'Tair')",0.0007290980442615926,0.018672702273411078,12.547146129829025
"('Ppt', 'Tair', 'Sat_SM_AMSR')",0.0007294094747226955,0.018752156955629845,12.685141225444301
"('Ppt', 'Winddirection', 'Sat_SM_AMSR')",0.0007295548264707566,0.01876273702538751,12.619805282237726
"('Ppt', 'Srad', 'RH')",0.0007327138832405134,0.019360020322135102,13.097030987578709
"('Ppt', 'Tair', 'Windspeed')",0.0007341927839817638,0.018898867096311722,12.74249177070448
"('Ppt', 'Srad', 'RH', 'Windspeed')",0.0007344302778694561,0.019585179866257567,13.32026602093328
"('Ppt', 'Sat_SM_AMSR')",0.0007352855597059635,0.018730546471613322,12.503193316703202
"('Ppt', 'RH', 'Windspeed', 'Winddirection')",0.0007371768811712303,0.019208562771421224,13.03416490342594
"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007376138640016832,0.019502706361146056,13.30210556983706
"('Ppt', 'Srad', 'RH', 'Sat_SM_AMSR')",0.0007376640749092464,0.0194432108877529,13.238821333332526
"('Ppt', 'Tair', 'RH', 'Sat_SM_AMSR')",0.0007385949026847541,0.01905926094312484,13.008464192419261
"('Ppt', 'Tair', 'RH')",0.0007388105599462367,0.019042992101188136,12.99081133191515
"('Ppt', 'Srad', 'Windspeed', 'Sat_SM_AMSR')",0.0007389577422605922,0.019615106772104266,13.288286863668938
"('Ppt', 'RH', 'Windspeed')",0.0007404861306713016,0.01906860716356609,12.906266083980618
"('Ppt', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007406395894184537,0.018906366369076083,12.79404829708874
"('Ppt', 'Srad', 'Tair')",0.0007410104730134499,0.01951058229089343,13.242310438629247
"('Ppt', 'Srad', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007410780332685812,0.019659986736031376,13.353286804533873
"('Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007411129445109828,0.019125176304898992,12.990568522811563
"('Ppt', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.00074139580286797,0.019005929324539865,12.940743735306626
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.000741645290463401,0.019213818320407396,13.150982846038145
