target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0007580141103128274,0.02137139896206988,14.189361195381107
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH', 'Winddirection')",0.0007671639311711198,0.019676102678501072,13.246697731665485
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0007674065588529228,0.019648371825906456,13.20561570072088
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed')",0.0007674473142591902,0.019608160229540834,13.199512847296823
Sat_SM_SMAP,autoregressive,2,2,"('Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.0007679968954319904,0.01960228714384787,13.230635360986431
Sat_SM_SMAP,autoregressive,2,2,"('Tair', 'RH')",0.0007687468076916611,0.019670917589717785,13.262726843500714
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0007693220977911659,0.02136077042108124,14.333707231969765
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Winddirection', 'distance_SMAP')",0.0007720677537207081,0.021587653817287288,14.478121225025674
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Tair', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0007727128624644753,0.021280741008244845,14.29759900440468
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0007735316344813838,0.01974891760731717,13.304287743211225
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'Winddirection')",0.0007736148613027077,0.021498493224769797,14.253137125045404
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH', 'distance_SMAP')",0.000773751012286953,0.019757052701424516,13.352662151631773
Sat_SM_SMAP,autoregressive,7,7,"('Winddirection', 'distance_SMAP')",0.0007748223796596016,0.021623487583220295,14.508295704937069
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH', 'Winddirection', 'distance_SMAP')",0.000777116620288752,0.01988655251886153,13.392381625496858
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Winddirection', 'distance_SMAP')",0.0007772590182834028,0.021473338635455648,14.293305964862114
Sat_SM_SMAP,autoregressive,2,2,"('Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.000778179356588631,0.01975060422596188,13.270079364196233
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0007783238026735952,0.019949747653505892,13.401366025232967
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Winddirection')",0.0007786220537305988,0.021400831363546337,14.435213132017774
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0007792000024568747,0.02159250668922938,14.509793458848883
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'RH')",0.0007805554693039697,0.019899537902465177,13.447774331749002
