Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,1,0.004318976309150457,0.006499842274934053
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,2,0.004034516867250204,0.006461061537265778
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,3,0.00398521963506937,0.006726133171468973
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,4,0.003944768570363522,0.006195430643856525
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,5,0.0039185527712106705,0.006136575248092413
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,6,0.0038726404309272766,0.006151735782623291
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,7,0.003829770255833864,0.0059974174946546555
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,8,0.003790051443502307,0.006087858229875565
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,9,0.003760300111025572,0.006056034937500954
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,10,0.0037334051448851824,0.005951969884335995
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,11,0.0037464196793735027,0.006058747414499521
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,12,0.003767765127122402,0.005928399041295052
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,13,0.0037202967796474695,0.006002927199006081
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,14,0.00367814302444458,0.006039899308234453
Station6,BiLSTM,SWC_10_YearSin_YearCos,24,15,0.003828283166512847,0.006166642531752586
Station6,LSTM,SWC_10_YearSin_YearCos,24,1,0.004607972223311663,0.006873423233628273
Station6,LSTM,SWC_10_YearSin_YearCos,24,2,0.004050318617373705,0.006479669827967882
Station6,LSTM,SWC_10_YearSin_YearCos,24,3,0.003999487496912479,0.007216285448521376
Station6,LSTM,SWC_10_YearSin_YearCos,24,4,0.003968656994402409,0.006300060544162989
Station6,LSTM,SWC_10_YearSin_YearCos,24,5,0.003933730069547892,0.006162840407341719
Station6,LSTM,SWC_10_YearSin_YearCos,24,6,0.003904986660927534,0.006167665123939514
Station6,LSTM,SWC_10_YearSin_YearCos,24,7,0.0038738404400646687,0.006218566093593836
Station6,LSTM,SWC_10_YearSin_YearCos,24,8,0.0038743126206099987,0.006326380185782909
Station6,RNN,SWC_10_YearSin_YearCos,24,1,0.0061843437142670155,0.006563461851328611
Station6,RNN,SWC_10_YearSin_YearCos,24,2,0.004060487728565931,0.006476723123341799
Station6,RNN,SWC_10_YearSin_YearCos,24,3,0.004000031389296055,0.006313592195510864
Station6,RNN,SWC_10_YearSin_YearCos,24,4,0.003979210741817951,0.00640832306817174
Station6,RNN,SWC_10_YearSin_YearCos,24,5,0.0040430030785501,0.006397870369255543
Station6,RNN,SWC_10_YearSin_YearCos,24,6,0.00396458525210619,0.006657670252025127
Station6,Autoregressive,SWC_10_YearSin_YearCos,24,1,0.010559779591858387,0.011800238862633705
Station6,Autoregressive,SWC_10_YearSin_YearCos,24,2,0.010010804980993271,0.01225312240421772
Station6,Autoregressive,SWC_10_YearSin_YearCos,24,3,0.009971323423087597,0.012326185591518879
Station6,Autoregressive,SWC_10_YearSin_YearCos,24,4,0.009940153919160366,0.012107190676033497
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,1,0.04887460544705391,0.03199082240462303
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,2,0.045482534915208817,0.03209638595581055
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,3,0.04548441618680954,0.031898003071546555
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,4,0.045483484864234924,0.03267236053943634
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,5,0.04548352211713791,0.03229575604200363
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,24,6,0.04548436403274536,0.03228326514363289
Station6,CNN,SWC_10_YearSin_YearCos,24,1,0.005737791769206524,0.006678398698568344
Station6,CNN,SWC_10_YearSin_YearCos,24,2,0.004229942802339792,0.006537771783769131
Station6,CNN,SWC_10_YearSin_YearCos,24,3,0.004124210216104984,0.006757807917892933
Station6,CNN,SWC_10_YearSin_YearCos,24,4,0.004079783335328102,0.006456369999796152
Station6,CNN,SWC_10_YearSin_YearCos,24,5,0.004059071186929941,0.006359448190778494
Station6,CNN,SWC_10_YearSin_YearCos,24,6,0.004040802363306284,0.006731954403221607
Station6,CNN,SWC_10_YearSin_YearCos,24,7,0.0040465351194143295,0.006478413939476013
Station6,CNN,SWC_10_YearSin_YearCos,24,8,0.004042299930006266,0.006656612269580364
