Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.007338569965213537,0.009646984748542309
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.006749508436769247,0.009854979813098907
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.006584968883544207,0.010621516034007072
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.006492398679256439,0.009385829791426659
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,5,0.006462151184678078,0.011433998122811317
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,6,0.006347481161355972,0.009837619960308075
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,7,0.006258030887693167,0.009603554382920265
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.0097303232178092,0.014522256329655647
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.007890846580266953,0.013081616722047329
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.007158826105296612,0.012583418749272823
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.008746396750211716,0.010565832257270813
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,5,0.007426256779581308,0.01526893675327301
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,6,0.0070017618127167225,0.010648462921380997
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,7,0.007071876432746649,0.01077068131417036
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.007428776938468218,0.010458387434482574
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.0069709778763353825,0.009883170947432518
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.0068456563167274,0.010014783591032028
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.006787409540265799,0.009176179766654968
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,5,0.006739719770848751,0.009461880661547184
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,6,0.0070742228999733925,0.009962799958884716
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,7,0.007104559801518917,0.010377232916653156
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.011512404307723045,0.01690293289721012
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.010537095367908478,0.017296621575951576
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.009511088952422142,0.016783280298113823
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.009091954678297043,0.019638175144791603
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,5,0.008923047222197056,0.015098493546247482
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,6,0.008824756368994713,0.017398977652192116
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,7,0.008750922046601772,0.017671527341008186
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,8,0.008688732981681824,0.01639288291335106
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.0072871544398367405,0.009258123114705086
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.0065184300765395164,0.009716684930026531
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.006194771267473698,0.010752946138381958
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.005884254816919565,0.014715617522597313
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,1,0.010355907492339611,0.011124366894364357
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,2,0.007346854079514742,0.010896794497966766
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,3,0.00714198499917984,0.010000929236412048
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,4,0.00698630977421999,0.010072644799947739
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,5,0.0069610197097063065,0.009494704194366932
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,6,0.0068488335236907005,0.009277245961129665
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,7,0.006903639063239098,0.00946425274014473
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,8,0.006918366067111492,0.009019244462251663
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,9,0.006860165391117334,0.009520702995359898
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,10,0.006775992456823587,0.011828063987195492
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,48,11,0.006772465538233519,0.010201815515756607
