Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,LSTM,SWC_10_Ppt_RainFlag,168,1,0.01901792362332344,0.015383693389594555
Station6,LSTM,SWC_10_Ppt_RainFlag,168,2,0.018040446564555168,0.015290594659745693
Station6,LSTM,SWC_10_Ppt_RainFlag,168,3,0.017633451148867607,0.014753242023289204
Station6,LSTM,SWC_10_Ppt_RainFlag,168,4,0.01740477979183197,0.01499033160507679
Station6,LSTM,SWC_10_Ppt_RainFlag,168,5,0.017196064814925194,0.014279262162744999
Station6,LSTM,SWC_10_Ppt_RainFlag,168,6,0.017039677128195763,0.014460749924182892
Station6,LSTM,SWC_10_Ppt_RainFlag,168,7,0.016884269192814827,0.014568600803613663
Station6,LSTM,SWC_10_Ppt_RainFlag,168,8,0.016766482964158058,0.013981902971863747
Station6,LSTM,SWC_10_Ppt_RainFlag,168,9,0.016689341515302658,0.014582022093236446
Station6,LSTM,SWC_10_Ppt_RainFlag,168,10,0.016552958637475967,0.014573508873581886
