Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,Autoregressive,SWC_10,168,1,0.022437304258346558,0.02168499305844307
Station6,Autoregressive,SWC_10,168,2,0.021870702505111694,0.02177344635128975
Station6,Autoregressive,SWC_10,168,3,0.021856939420104027,0.022179339081048965
Station6,Autoregressive,SWC_10,168,4,0.021857047453522682,0.022686509415507317
Station6,CNN,SWC_10,168,1,0.019528908655047417,0.019980158656835556
Station6,CNN,SWC_10,168,2,0.018799923360347748,0.021622488275170326
Station6,CNN,SWC_10,168,3,0.01859430968761444,0.02140451781451702
Station6,CNN,SWC_10,168,4,0.018444349989295006,0.02069464512169361
Station6,AttentionLSTM,SWC_10,168,1,0.02170240320265293,0.020972872152924538
Station6,AttentionLSTM,SWC_10,168,2,0.019259609282016754,0.01958843134343624
Station6,AttentionLSTM,SWC_10,168,3,0.018322817981243134,0.019513964653015137
Station6,AttentionLSTM,SWC_10,168,4,0.01778770238161087,0.019170979037880898
Station6,AttentionLSTM,SWC_10,168,5,0.01740269549190998,0.019933663308620453
Station6,AttentionLSTM,SWC_10,168,6,0.017132941633462906,0.0200490839779377
Station6,AttentionLSTM,SWC_10,168,7,0.016960931941866875,0.01985013857483864
Station6,BiLSTM,SWC_10,168,1,0.01886257342994213,0.020498361438512802
Station6,BiLSTM,SWC_10,168,2,0.018319573253393173,0.019784441217780113
Station6,BiLSTM,SWC_10,168,3,0.017985360696911812,0.01971392147243023
Station6,BiLSTM,SWC_10,168,4,0.017595665529370308,0.019765200093388557
Station6,BiLSTM,SWC_10,168,5,0.017176490277051926,0.019886408001184464
Station6,BiLSTM,SWC_10,168,6,0.016973547637462616,0.01954326406121254
Station6,BiLSTM,SWC_10,168,7,0.017147846519947052,0.01961260475218296
Station6,BiLSTM,SWC_10,168,8,0.016916168853640556,0.018983565270900726
Station6,BiLSTM,SWC_10,168,9,0.016621684655547142,0.020001033321022987
Station6,BiLSTM,SWC_10,168,10,0.01633351296186447,0.019820665940642357
Station6,BiLSTM,SWC_10,168,11,0.016164366155862808,0.020235266536474228
Station6,RNN,SWC_10,168,1,0.018840422853827477,0.020856916904449463
Station6,RNN,SWC_10,168,2,0.018781529739499092,0.020672844722867012
Station6,RNN,SWC_10,168,3,0.018688306212425232,0.021103836596012115
Station6,RNN,SWC_10,168,4,0.01863935962319374,0.020591074600815773
Station6,RNN,SWC_10,168,5,0.018679607659578323,0.02125639282166958
Station6,RNN,SWC_10,168,6,0.018637288361787796,0.020740758627653122
Station6,RNN,SWC_10,168,7,0.01858740672469139,0.02089902013540268
Station6,LSTM,SWC_10,168,1,0.019354460760951042,0.02027895487844944
Station6,LSTM,SWC_10,168,2,0.018389638513326645,0.019358787685632706
Station6,LSTM,SWC_10,168,3,0.0177716463804245,0.01923813857138157
Station6,LSTM,SWC_10,168,4,0.017499640583992004,0.018931347876787186
Station6,LSTM,SWC_10,168,5,0.017348570749163628,0.01860012672841549
Station6,LSTM,SWC_10,168,6,0.017070293426513672,0.018897604197263718
Station6,LSTM,SWC_10,168,7,0.016865264624357224,0.018712079152464867
Station6,LSTM,SWC_10,168,8,0.01667696237564087,0.019084321334958076
