Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,AttentionLSTM,SWC_10_Ppt,48,1,0.009721376933157444,0.010743960738182068
Station6,AttentionLSTM,SWC_10_Ppt,48,2,0.007639814633876085,0.01011178269982338
Station6,AttentionLSTM,SWC_10_Ppt,48,3,0.007334258407354355,0.010143366642296314
Station6,AttentionLSTM,SWC_10_Ppt,48,4,0.007138076703995466,0.010173723101615906
Station6,AttentionLSTM,SWC_10_Ppt,48,5,0.007027565035969019,0.01023143995553255
Station6,Autoregressive,SWC_10_Ppt,48,1,0.013216011226177216,0.014734650030732155
Station6,Autoregressive,SWC_10_Ppt,48,2,0.012147263623774052,0.014094497077167034
Station6,Autoregressive,SWC_10_Ppt,48,3,0.011776224710047245,0.013956422917544842
Station6,Autoregressive,SWC_10_Ppt,48,4,0.011508157476782799,0.01380655262619257
Station6,Autoregressive,SWC_10_Ppt,48,5,0.01130988635122776,0.014005937613546848
Station6,Autoregressive,SWC_10_Ppt,48,6,0.011119621805846691,0.013748410157859325
Station6,Autoregressive,SWC_10_Ppt,48,7,0.010969975031912327,0.014551134780049324
Station6,Autoregressive,SWC_10_Ppt,48,8,0.010871406644582748,0.014216517098248005
Station6,Autoregressive,SWC_10_Ppt,48,9,0.01080138236284256,0.014492147602140903
Station6,RNN,SWC_10_Ppt,48,1,0.007436757907271385,0.01001782063394785
Station6,RNN,SWC_10_Ppt,48,2,0.007178984582424164,0.010016101412475109
Station6,RNN,SWC_10_Ppt,48,3,0.007132953964173794,0.0101982606574893
Station6,RNN,SWC_10_Ppt,48,4,0.007114475592970848,0.010118297301232815
Station6,RNN,SWC_10_Ppt,48,5,0.007086390163749456,0.009893438778817654
Station6,RNN,SWC_10_Ppt,48,6,0.007073301821947098,0.010021241381764412
Station6,RNN,SWC_10_Ppt,48,7,0.0070699648931622505,0.009820825420320034
Station6,RNN,SWC_10_Ppt,48,8,0.007058062590658665,0.00989198312163353
Station6,RNN,SWC_10_Ppt,48,9,0.007040989585220814,0.0101922657340765
Station6,RNN,SWC_10_Ppt,48,10,0.0070532141253352165,0.009965799748897552
Station6,LSTM,SWC_10_Ppt,48,1,0.007729961536824703,0.0100183617323637
Station6,LSTM,SWC_10_Ppt,48,2,0.007187944371253252,0.01045371312648058
Station6,LSTM,SWC_10_Ppt,48,3,0.007066776975989342,0.010113321244716644
Station6,LSTM,SWC_10_Ppt,48,4,0.00698062451556325,0.009584669023752213
Station6,LSTM,SWC_10_Ppt,48,5,0.006925112102180719,0.009744311682879925
Station6,LSTM,SWC_10_Ppt,48,6,0.006868463475257158,0.009449094533920288
Station6,LSTM,SWC_10_Ppt,48,7,0.00679646385833621,0.00934967864304781
Station6,LSTM,SWC_10_Ppt,48,8,0.0067145186476409435,0.009295846335589886
Station6,LSTM,SWC_10_Ppt,48,9,0.006672592833638191,0.0095610236749053
Station6,LSTM,SWC_10_Ppt,48,10,0.006631725002080202,0.009472310543060303
Station6,LSTM,SWC_10_Ppt,48,11,0.006736265495419502,0.00954113993793726
Station6,BiLSTM,SWC_10_Ppt,48,1,0.007553383242338896,0.010081891901791096
Station6,BiLSTM,SWC_10_Ppt,48,2,0.007115131709724665,0.010314686223864555
Station6,BiLSTM,SWC_10_Ppt,48,3,0.0069918218068778515,0.009513472206890583
Station6,BiLSTM,SWC_10_Ppt,48,4,0.006904636975377798,0.009392290376126766
Station6,BiLSTM,SWC_10_Ppt,48,5,0.00685498770326376,0.009877781383693218
Station6,BiLSTM,SWC_10_Ppt,48,6,0.006793995387852192,0.00979002844542265
Station6,BiLSTM,SWC_10_Ppt,48,7,0.00671640457585454,0.009381711483001709
Station6,BiLSTM,SWC_10_Ppt,48,8,0.006647347006946802,0.009322027675807476
Station6,BiLSTM,SWC_10_Ppt,48,9,0.006605548318475485,0.009562949649989605
Station6,BiLSTM,SWC_10_Ppt,48,10,0.0066063362173736095,0.009417715482413769
Station6,BiLSTM,SWC_10_Ppt,48,11,0.006508407182991505,0.009175669401884079
Station6,BiLSTM,SWC_10_Ppt,48,12,0.006490608677268028,0.009248255752027035
Station6,BiLSTM,SWC_10_Ppt,48,13,0.006500495597720146,0.009207325987517834
Station6,BiLSTM,SWC_10_Ppt,48,14,0.0064682736992836,0.009685597382485867
Station6,CNN,SWC_10_Ppt,48,1,0.00802948884665966,0.01085091382265091
Station6,CNN,SWC_10_Ppt,48,2,0.007421464659273624,0.010194435715675354
Station6,CNN,SWC_10_Ppt,48,3,0.007319188676774502,0.010188885033130646
Station6,CNN,SWC_10_Ppt,48,4,0.00725920032709837,0.010280022397637367
Station6,CNN,SWC_10_Ppt,48,5,0.00720642413944006,0.010080136358737946
Station6,CNN,SWC_10_Ppt,48,6,0.0071929809637367725,0.010213476605713367
Station6,CNN,SWC_10_Ppt,48,7,0.007171912584453821,0.010346080176532269
Station6,CNN,SWC_10_Ppt,48,8,0.0071571157313883305,0.009956887923181057
Station6,CNN,SWC_10_Ppt,48,9,0.00712980329990387,0.01007856521755457
Station6,CNN,SWC_10_Ppt,48,10,0.007093226537108421,0.00999066885560751
Station6,CNN,SWC_10_Ppt,48,11,0.007051598280668259,0.009861994534730911
Station6,CNN,SWC_10_Ppt,48,12,0.007023968268185854,0.010684200562536716
Station6,CNN,SWC_10_Ppt,48,13,0.006995341274887323,0.010340835899114609
Station6,CNN,SWC_10_Ppt,48,14,0.006950796581804752,0.009713913314044476
Station6,CNN,SWC_10_Ppt,48,15,0.006934814620763063,0.009939178824424744
Station6,CNN,SWC_10_Ppt,48,16,0.006924997549504042,0.010009989142417908
Station6,CNN,SWC_10_Ppt,48,17,0.006901334505528212,0.009575612843036652
Station6,CNN,SWC_10_Ppt,48,18,0.006888783071190119,0.009783043526113033
Station6,CNN,SWC_10_Ppt,48,19,0.0068770162761211395,0.00970227736979723
Station6,CNN,SWC_10_Ppt,48,20,0.00686856172978878,0.01018404308706522
