Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.01880732923746109,0.021108847111463547
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.017521178349852562,0.021548263728618622
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.016917169094085693,0.02091183327138424
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.016547106206417084,0.020406020805239677
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,5,0.016259849071502686,0.0210894662886858
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,6,0.01609852910041809,0.02065403014421463
Station6,Autoregressive,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,7,0.01595141738653183,0.02158098667860031
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.016493890434503555,0.01932438649237156
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.014365939423441887,0.019923891872167587
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.013294346630573273,0.023285724222660065
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.013080624863505363,0.01672883704304695
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,5,0.012345803901553154,0.0229515228420496
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,6,0.01142537035048008,0.020545685663819313
Station6,BiLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,7,0.00968888122588396,0.019799988716840744
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.021584929898381233,0.02187553234398365
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.017535047605633736,0.021985026076436043
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.017426930367946625,0.020695798099040985
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.017475076019763947,0.02182622253894806
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,5,0.017375683411955833,0.019534777849912643
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,6,0.017343947663903236,0.02072204276919365
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,7,0.017450394108891487,0.01988554187119007
Station6,CNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,8,0.017490889877080917,0.021422933787107468
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.01841886155307293,0.020685888826847076
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.015305837616324425,0.02256873808801174
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.013516861945390701,0.021555498242378235
Station6,AttentionLSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.012048310600221157,0.023053105920553207
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.01698070950806141,0.020288491621613503
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.01570613496005535,0.019673457369208336
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.015079028904438019,0.01889488473534584
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.01509112399071455,0.01807370036840439
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,5,0.015174168162047863,0.019545171409845352
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,6,0.014706743881106377,0.0181109718978405
Station6,LSTM,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,7,0.014207412488758564,0.02205290086567402
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,1,0.01738596521317959,0.02239193022251129
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,2,0.016581492498517036,0.018770787864923477
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,3,0.016222627833485603,0.020131854340434074
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,4,0.01592460833489895,0.02093379572033882
Station6,RNN,SWC_10_Ppt_Tair_Wx_Wy_YearSin_YearCos,168,5,0.015680449083447456,0.021333694458007812
