Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,RNN,SWC_10_YearSin_YearCos,48,1,0.009575987234711647,0.010196310468018055
Station6,RNN,SWC_10_YearSin_YearCos,48,2,0.007240926381200552,0.01013929769396782
Station6,RNN,SWC_10_YearSin_YearCos,48,3,0.007206599228084087,0.009998839348554611
Station6,RNN,SWC_10_YearSin_YearCos,48,4,0.007160476874560118,0.010617959313094616
Station6,RNN,SWC_10_YearSin_YearCos,48,5,0.007133457809686661,0.009978980757296085
Station6,RNN,SWC_10_YearSin_YearCos,48,6,0.007119444198906422,0.010026087053120136
Station6,RNN,SWC_10_YearSin_YearCos,48,7,0.007113394793123007,0.009839878417551517
Station6,RNN,SWC_10_YearSin_YearCos,48,8,0.007115447893738747,0.010215319693088531
Station6,RNN,SWC_10_YearSin_YearCos,48,9,0.0071121882647275925,0.009921007789671421
Station6,RNN,SWC_10_YearSin_YearCos,48,10,0.007091139443218708,0.010073819197714329
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,1,0.010043347254395485,0.01116026472300291
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,2,0.007863134145736694,0.0105214212089777
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,3,0.007441418245434761,0.01079448964446783
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,4,0.00722078699618578,0.011967350728809834
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,5,0.007072425913065672,0.010064046829938889
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,6,0.006976286880671978,0.010556742548942566
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,7,0.0075751738622784615,0.010236675851047039
Station6,AttentionLSTM,SWC_10_YearSin_YearCos,48,8,0.0069791642017662525,0.010127457790076733
Station6,CNN,SWC_10_YearSin_YearCos,48,1,0.009555975906550884,0.011014677584171295
Station6,CNN,SWC_10_YearSin_YearCos,48,2,0.00740781519562006,0.009962176904082298
Station6,CNN,SWC_10_YearSin_YearCos,48,3,0.007255304604768753,0.01025141216814518
Station6,CNN,SWC_10_YearSin_YearCos,48,4,0.007228557486087084,0.010352196171879768
Station6,CNN,SWC_10_YearSin_YearCos,48,5,0.007212351076304913,0.010949668474495411
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,1,0.007537155412137508,0.010061998851597309
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,2,0.007156994193792343,0.01045284140855074
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,3,0.007027591113001108,0.009955713525414467
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,4,0.006925446912646294,0.009622194804251194
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,5,0.006847435142844915,0.00932595320045948
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,6,0.006702836137264967,0.009411747567355633
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,7,0.006534882355481386,0.00971297174692154
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,8,0.006437643896788359,0.00912501197308302
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,9,0.006337130907922983,0.009474322199821472
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,10,0.006362441927194595,0.009719912894070148
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,11,0.0061026765033602715,0.008578194305300713
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,12,0.005969802848994732,0.009283875115215778
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,13,0.005916733760386705,0.00900736078619957
Station6,BiLSTM,SWC_10_YearSin_YearCos,48,14,0.005924308206886053,0.009317037649452686
Station6,LSTM,SWC_10_YearSin_YearCos,48,1,0.007918788120150566,0.010216521099209785
Station6,LSTM,SWC_10_YearSin_YearCos,48,2,0.0072273267433047295,0.010023863054811954
Station6,LSTM,SWC_10_YearSin_YearCos,48,3,0.007082819938659668,0.00984281674027443
Station6,LSTM,SWC_10_YearSin_YearCos,48,4,0.006932117510586977,0.00958554819226265
Station6,LSTM,SWC_10_YearSin_YearCos,48,5,0.006821881048381329,0.009662085212767124
Station6,LSTM,SWC_10_YearSin_YearCos,48,6,0.006748043466359377,0.009377903304994106
Station6,LSTM,SWC_10_YearSin_YearCos,48,7,0.00665478128939867,0.009646092541515827
Station6,LSTM,SWC_10_YearSin_YearCos,48,8,0.006614020559936762,0.009297970682382584
Station6,LSTM,SWC_10_YearSin_YearCos,48,9,0.006534100044518709,0.0098269609734416
Station6,LSTM,SWC_10_YearSin_YearCos,48,10,0.0064672986045479774,0.00929966103285551
Station6,LSTM,SWC_10_YearSin_YearCos,48,11,0.006381469313055277,0.009547963738441467
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,1,0.012857604771852493,0.014425533823668957
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,2,0.012297031469643116,0.014393210411071777
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,3,0.012212030589580536,0.015554938465356827
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,4,0.012154829688370228,0.013925929553806782
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,5,0.012117215432226658,0.014208959415555
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,6,0.012077213265001774,0.013946346938610077
Station6,Autoregressive,SWC_10_YearSin_YearCos,48,7,0.012051437050104141,0.014217190444469452
