Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,AttentionLSTM,SWC_10,168,1,0.019847409799695015,0.016977066174149513
Station6,AttentionLSTM,SWC_10,168,2,0.018962925300002098,0.014988863840699196
Station6,AttentionLSTM,SWC_10,168,3,0.018313808366656303,0.015462425537407398
Station6,AttentionLSTM,SWC_10,168,4,0.018065279349684715,0.014854236505925655
Station6,AttentionLSTM,SWC_10,168,5,0.017896095290780067,0.014694705605506897
Station6,AttentionLSTM,SWC_10,168,6,0.01774417795240879,0.014577801339328289
Station6,AttentionLSTM,SWC_10,168,7,0.01760689541697502,0.016014765948057175
Station6,AttentionLSTM,SWC_10,168,8,0.01749512553215027,0.014496517367661
Station6,AttentionLSTM,SWC_10,168,9,0.01743079349398613,0.014428709633648396
Station6,AttentionLSTM,SWC_10,168,10,0.017340492457151413,0.01419064961373806
Station6,AttentionLSTM,SWC_10,168,11,0.017270881682634354,0.014941648580133915
Station6,AttentionLSTM,SWC_10,168,12,0.017228519544005394,0.015150297433137894
Station6,AttentionLSTM,SWC_10,168,13,0.017160532996058464,0.014366047456860542
Station6,Autoregressive,SWC_10,168,1,0.019911477342247963,0.01567305438220501
Station6,Autoregressive,SWC_10,168,2,0.019726410508155823,0.016797630116343498
Station6,Autoregressive,SWC_10,168,3,0.019717374816536903,0.01580287329852581
Station6,Autoregressive,SWC_10,168,4,0.01970640756189823,0.0164785236120224
Station6,LSTM,SWC_10,168,1,0.019170675426721573,0.017756707966327667
Station6,LSTM,SWC_10,168,2,0.018198076635599136,0.01510581560432911
Station6,LSTM,SWC_10,168,3,0.017781419679522514,0.014545800164341927
Station6,LSTM,SWC_10,168,4,0.017613790929317474,0.014285818673670292
Station6,LSTM,SWC_10,168,5,0.01751084439456463,0.014726182445883751
Station6,LSTM,SWC_10,168,6,0.017407279461622238,0.014165428467094898
Station6,LSTM,SWC_10,168,7,0.01733182929456234,0.013973953202366829
Station6,LSTM,SWC_10,168,8,0.017268545925617218,0.01488796342164278
Station6,LSTM,SWC_10,168,9,0.01722206175327301,0.014331209473311901
Station6,LSTM,SWC_10,168,10,0.017148997634649277,0.014644348062574863
Station6,AttentionLSTM,SWC_10,168,1,0.01982470043003559,0.01542978547513485
Station6,AttentionLSTM,SWC_10,168,2,0.018988370895385742,0.016957828775048256
Station6,AttentionLSTM,SWC_10,168,3,0.018296711146831512,0.015319902449846268
Station6,AttentionLSTM,SWC_10,168,4,0.018026523292064667,0.014821583405137062
Station6,AttentionLSTM,SWC_10,168,5,0.01789676584303379,0.014622732996940613
Station6,AttentionLSTM,SWC_10,168,6,0.0178114902228117,0.014816979877650738
Station6,AttentionLSTM,SWC_10,168,7,0.017661813646554947,0.015814850106835365
Station6,AttentionLSTM,SWC_10,168,8,0.01767006702721119,0.014947755262255669
Station6,AttentionOnly,SWC_10,168,1,0.04879036173224449,0.031240269541740417
Station6,AttentionOnly,SWC_10,168,2,0.04549073800444603,0.03282199800014496
Station6,AttentionOnly,SWC_10,168,3,0.04549114778637886,0.03230161592364311
Station6,AttentionOnly,SWC_10,168,4,0.045494213700294495,0.03192349150776863
Station6,Transformer,SWC_10,168,1,0.04871649667620659,0.03270919620990753
Station6,Transformer,SWC_10,168,2,0.04549240693449974,0.03183414041996002
Station6,Transformer,SWC_10,168,3,0.04548899084329605,0.033012326806783676
Station6,Transformer,SWC_10,168,4,0.04548921808600426,0.034701842814683914
Station6,Transformer,SWC_10,168,5,0.04549273103475571,0.03221501037478447
Station6,MultiheadLSTM,SWC_10,168,1,0.019531983882188797,0.01505814678966999
Station6,MultiheadLSTM,SWC_10,168,2,0.018471915274858475,0.014870488084852695
Station6,MultiheadLSTM,SWC_10,168,3,0.01770390011370182,0.014671038836240768
Station6,MultiheadLSTM,SWC_10,168,4,0.017508268356323242,0.014237409457564354
Station6,MultiheadLSTM,SWC_10,168,5,0.017382796853780746,0.014458361081779003
Station6,MultiheadLSTM,SWC_10,168,6,0.01726400852203369,0.014491921290755272
Station6,MultiheadLSTM,SWC_10,168,7,0.017285022884607315,0.014524071477353573
