Station,Model,Features,Offset,Epoch,Loss,Validation Loss
Station6,AttentionLSTM,SWC_10_Ppt,168,1,0.019322805106639862,0.014919163659214973
Station6,AttentionLSTM,SWC_10_Ppt,168,2,0.018338864669203758,0.015118740499019623
Station6,AttentionLSTM,SWC_10_Ppt,168,3,0.01791028305888176,0.014800543896853924
Station6,AttentionLSTM,SWC_10_Ppt,168,4,0.01772204414010048,0.014987820759415627
Station6,AttentionLSTM,SWC_10_Ppt,168,5,0.01759004406630993,0.015851186588406563
Station6,AttentionLSTM,SWC_10_Ppt,168,6,0.01749352365732193,0.015091575682163239
Station6,Autoregressive,SWC_10_Ppt,168,1,0.019734719768166542,0.016334468498826027
Station6,Autoregressive,SWC_10_Ppt,168,2,0.01905220001935959,0.015293119475245476
Station6,Autoregressive,SWC_10_Ppt,168,3,0.01897970400750637,0.015163293108344078
Station6,Autoregressive,SWC_10_Ppt,168,4,0.018931755796074867,0.015514584258198738
Station6,Autoregressive,SWC_10_Ppt,168,5,0.01889209821820259,0.016277696937322617
Station6,Autoregressive,SWC_10_Ppt,168,6,0.01886705309152603,0.016005873680114746
Station6,LSTM,SWC_10_Ppt,168,1,0.018717944622039795,0.01490130927413702
Station6,LSTM,SWC_10_Ppt,168,2,0.01828034780919552,0.014695276506245136
Station6,LSTM,SWC_10_Ppt,168,3,0.01784703880548477,0.014286083169281483
Station6,LSTM,SWC_10_Ppt,168,4,0.01758742518723011,0.014068094082176685
Station6,LSTM,SWC_10_Ppt,168,5,0.01742190681397915,0.01395297609269619
Station6,LSTM,SWC_10_Ppt,168,6,0.017307907342910767,0.014772923663258553
Station6,LSTM,SWC_10_Ppt,168,7,0.017205674201250076,0.014334986917674541
Station6,LSTM,SWC_10_Ppt,168,8,0.017115360125899315,0.014061758294701576
